46e738668c535483edb3fd8cb577f40269d0d677dc9ef09427db8e3efc1f81e6,8736811f2515e77bc332f7fa4ccb425fa52ae56568d8b25cbb484057ea08c53f,d727a1783612e8ccca3b090c8a6cc4ecc2525b00d14a0cf76ae25b8c2fdb4c59,8a0f0b85a65219b80110a7f5460d8ddfa0df35d78188588e44e2ba2908942eb7,0fb90e557efb68a20faa8e5a25d67ee7127f9d198a6c04db0c28a7d347c359f2,99b1a3b1716be03e26bde787e337d80bd0cfb47d0240972baa42b738b725aa77,49b0ede59d0fb52d59c21f40d351e2604ddb52b0baf6d31e9269c54340e58eb8,8e142037282226077a1d7a97425c7dabf0abd293a22bd8d1c653eeccb02fbb42
"0","710000101","710000105","710100011","710000102","710000001","100","710000104"
"0","710000201","710000203","710100021","710000202","710000002","100","710000204"
"0","710000301","710000305","710100031","710000304","710000003","100","710000302"
"0","710000401","710000405","710100041","710000404","710000004","100","710000402"
"0","710000502","710000501","710100051","710000505","710000005","100","710000504"
"710000604","710000601","710000602","710100061","710000605","710000006","100","710000603"
"710000705","710000704","710000702","710100071","710000701","710000007","100","710000703"
"710000804","710000805","710000801","710100081","710000802","710000008","100","710000803"
"710000905","710000902","710000904","710100091","710000903","710000009","100","710000901"
"0","0","0","710100101","0","710000010","100","710001001"
"710001104","710001101","710001105","710100111","710001103","710000011","100","710001102"
"710001204","710001205","710001202","710100121","710001201","710000012","100","710001203"
"710001305","710001301","710001302","710100131","710001303","710000013","100","710001304"
"710001405","710001401","710001402","710100141","710001404","710000014","100","710001403"
"710001504","710001501","710001502","710100151","710001505","710000015","100","710001503"
"710001604","710001602","710001603","710100161","710001601","710000016","100","710001605"
"710001704","710001703","710001702","710100171","710001701","710000017","100","710001705"
"710001805","710001801","710001802","710100181","710001804","710000018","100","710001803"
"710001905","710001902","710001903","710100191","710001901","710000019","100","710001904"
"0","710002002","0","710100201","710002001","710000020","100","710002002"
"710002105","710002104","710002101","710100211","710002102","710000021","100","710002103"
"710002205","710002204","710002202","710100221","710002201","710000022","100","710002203"
"710002305","710002302","710002301","710100231","710002304","710000023","100","710002303"
"710002405","710002404","710002402","710100241","710002401","710000024","100","710002403"
"710002505","710002502","710002504","710100251","710002503","710000025","100","710002501"
"710002604","710002602","710002605","710100261","710002601","710000026","100","710002603"
"710002704","710002702","710002701","710100271","710002705","710000027","100","710002703"
"710002804","710002801","710002805","710100281","710002802","710000028","100","710002803"
"710002905","710002901","710002902","710100291","710002904","710000029","100","710002903"
"0","710003002","710003001","710100301","710003003","710000030","100","710003002"
"710003105","710003102","710003104","710100311","710003101","710000031","100","710003103"
"710003205","710003204","710003202","710100321","710003201","710000032","100","710003203"
"710003305","710003304","710003301","710100331","710003302","710000033","100","710003303"
"710003405","710003404","710003401","710100341","710003402","710000034","100","710003403"
"710003505","710003501","710003504","710100351","710003502","710000035","100","710003503"
"710003605","710003601","710003604","710100361","710003602","710000036","100","710003603"
"710003705","710003704","710003702","710100371","710003701","710000037","100","710003703"
"710003805","710003801","710003802","710100381","710003804","710000038","100","710003803"
"710003904","710003902","710003905","710100391","710003901","710000039","100","710003903"
"0","710004002","710004001","710100401","710004003","710000040","100","710004002"
"710004105","710004102","710004101","710100411","710004104","710000041","100","710004103"
"710004205","710004203","710004201","710100421","710004202","710000042","100","710004204"
"710004305","710004304","710004301","710100431","710004302","710000043","100","710004303"
"710004405","710004402","710004404","710100441","710004403","710000044","100","710004401"
"710004505","710004501","710004504","710100451","710004502","710000045","100","710004503"
"710004605","710004604","710004601","710100461","710004602","710000046","100","710004603"
"710004705","710004701","710004704","710100471","710004702","710000047","100","710004703"
"710004804","710004801","710004803","710100481","710004802","710000048","100","710004805"
"710004905","710004904","710004902","710100491","710004901","710000049","100","710004903"
"710005004","710005002","710005001","710100501","710005003","710000050","100","710005002"
"710005105","710005102","710005101","710100511","710005103","710000051","100","710005104"
"710005205","710005202","710005201","710100521","710005204","710000052","100","710005203"
"710005304","710005301","710005305","710100531","710005303","710000053","100","710005302"
"710005404","710005402","710005403","710100541","710005401","710000054","100","710005405"
"710005505","710005504","710005501","710100551","710005502","710000055","100","710005503"
