e0092e46352bd8a7f35b5cbd50bfbda23c254f642cd9c0db6ae8a23b0da305c8,6f9b413c3db645a5021fbea17a2d74b020283c8468e599fff97894cb231ab76c,c40e90f79386aa422e3ee8ffd16b8636ac1adf202fa410fb8c6836747d051636,0a6ab1f81b35af8ffa196a0f9729b93c6b4b7b03cfee46d8fd1cf4846baca7f7,934552fb6d4493f5ce5e9bdd1d914ae440254b7d9bbd4d92dfa5be276bc8d5fb,ac22006cc615583ca4048b4c89f35860a64137a4641922259577ba91586c4189,f9707cce22d8e6226bb58b63c60d0e536a495c25a1c0dea8eed49cbbd9cc8526,502a3c48d001e1555bd9151a9f0977047835fd05b5e9f47948f5b6eb6f202fe7,74042a82dd122bc60f1480deafb15abb23d784390326a0ece34a7760cd5856cc,4f24f211fc8c2b5a24f32e2b76fd9c2fdf58bcbe8e40fee75121447690caa168,0303aed0c17edf0b9cccc7d89e6f356abdfd7f3e77bc1ea63b16feb79b77b821,a880947333814d4c22364a0d64d3f0b2fec4bab7f7f01709dac0185fe70c6212,ba0aeaf47c56cadaa9cb7be5b98f9dc76922c42528e845a5c172d771ff0e6da0,e8170866b35b881886ef1059457915e29e4540972cf5233dc9a4aaeff3ce7021,df5df5e1848ce123704b111eec3834689f3151ee6496431361f9f29a995d093d,845a660ad418cd3749c7d3a7c7484ff713f93110a242cc3ab5723c15ea8b1b0d,f7567f1e0cc1e887032e6347a903db6e7572a7b8244f38051dcd11b00db3df6a,ffaa8a557ee5a033673935ebc4901eb3d687287c68f1f5e9fd20e3073eb17e41,bfd67fca71e2689216949512c4019ec68229e14e308b42b39026e7fa5b3c0046,ff1f30e13e26f48ce2760ca2a7bd0431dc4c717b2a674e5a1be18aa778d23c96,275fc9a64e93cfca63f9cf4233db211e005d39b9159a18b3197e045f6d89cd37,c0d0c10bcb936e7fe3ad68320b19629c80fdcf86283c973e7d0a38d1f2a04151,f34064e63655d232f8179ba544d1706d91640eec8f21e453bd9cce937670bda0,cb8517166c4887562a575d1b4d67be0579cf0593a73265d81ef1e12e70f71d0c,f4c85df86fe85fd30378a5516414a2473b266d37d7342126170b6ab280f26069,91a4265f907b0ebd5e1cbb0d98bf72d347a758deb5b9d311a75a472c9983ae0b,775cd85facc07d6dd2505a4f806044813fdce1171a16607e5f2720861dc4c8ce,489df69a11a6914673bb4062e8f5896e0d3330659dcb4dc20bd1264753972fce,7750d264af278f7fcf662410ca07172b3696cf665cb446c6e294a36ee72146dc,145788e2d69bb85849579c830debc1d0db93698700aff08589141263f51c143e,0c678662e4fe3e1d1fab08b18a58778627788239f674242b520b3a0eaeed8cab,c9105da99990b6926c010b6261c610fe54c256cffb195abcbbcf7bc0eb854bae,2e77ee6629d522b70955917d967346a36be7de28330cbe2adf9979e17d4b55ae,8f58380dc9052420d32e9f985cb45e8de9e68a858b983a74bf0ce6a64c934dae
"1","81000105","0","20001","81000105","796","1","0","-50","1","0","0","0.6","20001101","270","-76","1","-40","200010","0","0","bgm_M47","1","bgm_M47","1.5","770","BOSS戰(NORMAL)","90","650001011","660001001","0","340","0","2000101"
"1","81000106","0","20001","81000106","70","1","0","-50","1","0","0","0.6","20001201","270","-180","1","-210","200010","0","0","bgm_M47","2","bgm_M47","1.5","60","BOSS戰(HARD)","90","650001021","660001002","0","341","0","2000102"
"1","81000106","0","20001","81000106","520","1","0","-50","1","0","0","0.6","20001201","270","10","1","-40","200010","0","0","bgm_M47","3","bgm_M47","1.5","470","Boss戰(VERYHARD)","90","650001031","660001003","0","344","0","2000103"
"1","81000205","0","20002","81000205","850","1","0","0","1","0","0","0.6","20002101","40","20","1","-30","510021","0","0","bgm_M102","1","bgm_M102","1.3","750","BOSS戰(NORMAL)","90","650002011","660002001","0","5002301","0","2000201"
"1","81000207","0","20002","81000207","-250","1","0","0","1","0","0","0.6","20002201","40","125","1","20","510022","0","0","bgm_M102","2","bgm_M102","1.3","140","BOSS戰(HARD)","90","650002021","660002002","0","5002302","0","2000202"
"1","81000207","0","20002","81000207","500","1","0","0","1","0","0","0.6","20002201","40","10","1","-40","510022","0","0","bgm_M102","3","bgm_M102","1.3","450","Boss戰(VERYHARD)","90","650002031","660002003","345","344","0","2000203"
"1","81000305","0","20003","81000305","830","1","0","30","1","0","0","0.6","20003101","20","10","1","-40","510031","0","0","bgm_M109","1","bgm_M109","1.1","730","BOSS戰(NORMAL)","90","650003011","660003001","0","5003302","0","2000301"
"1","81000306","0","20003","81000306","210","1","0","30","1","0","0","0.6","20003201","20","90","1","20","510032","0","0","bgm_M109","2","bgm_M109","1.1","180","BOSS戰(HARD)","90","650003021","660003002","0","5003301","0","2000302"
"1","81000306","0","20003","81000306","500","1","0","30","1","0","0","0.6","20003201","20","10","1","-40","510032","0","0","bgm_M109","3","bgm_M109","1.1","450","BOSS戰(VERY HARD)","90","650003031","660003003","345","344","0","2000303"
"1","81000405","0","20004","81000405","870","1","0","30","1","0","0","0.6","20004101","20","10","1","-40","510041","0","0","bgm_M116","1","bgm_M116","1.1","770","BOSS戰(NORMAL)","90","650004011","660004001","0","5004301","0","2000401"
"1","81000406","0","20004","81000406","-30","1","0","30","1","0","0","0.6","20004201","20","10","1","-40","510042","0","0","bgm_M116","2","bgm_M116","1.1","450","BOSS戰(HARD)","90","650004021","660004002","0","5004302","0","2000402"
"1","81000406","0","20004","81000406","500","1","0","30","1","0","0","0.6","20004201","20","-10","1","-40","510042","0","0","bgm_M116","3","bgm_M116","1.1","450","BOSS戰(VERY HARD)","90","650004031","660004003","0","5004308","0","2000403"
