fe84c888ef4c27ead4acf73e5317881b1f7115a956545907399a4e4f69c1b069,6087f3be3c65b424742f2a6d6d5ef86a81cdf9007cb3cab6b91f9e238bfebbbd,cc305f0b8a88283b3187f9b9ed1446dda540e55c37dde2f36a9782c866df911f,762c317ca8956689c646fafc171eb13b4f53d5defa478822c94baf22a84de5ba
"step1","101","0","10101"
"step2","101","10101","10102"
"step3","101","10102","10103"
"step4","101","10103","10104"
"step5","101","10104","10105"
"step6","101","10105","10106"
"step7","101","10106","10107"
"step1","102","0","10201"
"step2","102","10201","10202"
"step3","102","10202","10203"
"step4","102","10203","10204"
"step5","102","10204","10205"
"step6","102","10205","10206"
"step7","102","10206","10207"
"step1","103","0","10301"
"step2","103","10301","10302"
"step3","103","10302","10303"
"step4","103","10303","10304"
"step5","103","10304","10305"
"step1","201","0","20101"
"step1","202","0","20201"
"step1","203","0","20301"
"step1","301","0","30101"
"step2","301","30101","30102"
"step3","301","30102","30103"
"step4","301","30103","30104"
