8c54d21cff8fb5d5e6f7c6fead470e45d1cf11f6073c0259f36fcc82e3dfc796,6f5354914ef7a5d1cb9116d74f7e9ca67a2670714f2c4f22a37635ff04887095,217c7f94141a4109e54f7a2d4f97f0d9e2f3ea6a0e71af4483fb6453f64be889,aa9bc60b7a974ebb4346550e0b9e384029bd752229741af266f324eec46c1956,679441c7f91ece90283195ab521c8b52c7e1babc1de42fa77b722ceb005a5165,1b2cc6078f900663a586ccc8f18eec0bebe2db1317e881bd0422857570ffce51,ef6334e6a95a4feadc8d11f72931a7b3f3dad51578db4b2b8619550af66fef61,dd0a8dfe2d4b4ac358be9b7c28d4605e75a6806d1a42fc966bf38a9c7fbd925f,d02a6e064bee02b8ac22bbb0de7f7f1bb88e86aa5be5030c84b40a8ec3776a4f,c5dc224f29c3f9c11b3d10ab6c405e13553f1b635acf8eff22b49758c7305324,56e2ca795d300026683082dc6302f6c62d6a2e5aec91bda8209feaf302b5b2d3,988439de3773565027f720261793bc22938d66976fa884d1472f4a297d319c8d,bfaf8ee17d7ca8651596dbff2a4ab8e2efe6f92b55c8b43a8eb078a95f795fbd,549ddefc70314be27f0fd846baf4292564e84bdd521d257aa8331669d467841d,1b3e4700054aaf55bb7e5d36c4e299b4fed08ca5dc9177632a0e021d41d0dbf9,a249e4ed5678d9ff7545fec06daae30e8249d3c3cda59f7017fa5c3c6e88c9ca,a043f172eeae446c5cbfbd6d79f853b098c5c7079ae5b76ed4c4dc409f99e733,1d533d583126542d798611b65bc4640fba5919d85957e4102b6d5280382e1a64,8ded97b56012c9dfd905d0f87b747f872d6bc0ff47dca674d9d80ae79d43b2fd,d4e7da70133fd211b27abda999614b7e03a1feedbe8e39526e5054e03d91fb87,503778b3b5ead3a52981ac8403f06f835847c6b4725c709fded74c27244cbe7f,80ab843dd2a5e8592243779942ebcd9957dfd19b6e720a245d719140b4f474d7,a057ffb250ed3d4975fa3f2aff1ce1c6c6c05e1cffcfb0bf6742c184bc490772,4a30054d708028b97a305b94f2c5ed15e56271bd8e0367b7a153e12aabb9776c,3c943f85623cee8edc3116b4ad9ca2d0c098321476be24affddf26ca496e4ccb,79b8fc1c762a84290e3fac3eab3386249eb4e0c11f24faf814c8c01f99d0fb82,d1d82267a6cd5355dd983a566ecc58ad4c58ebe56b943141ad9721602cce0567,0162bd22dd9c22af8c9801eeaad540cb6ec58e2ca0cf5e42eb613fde36cfe074,c06384e92eb249da7f8ab0d711b7d317182ad81cdbd57f4ac4126f9f441e9e91,d212a9b1a99d7569e41ffb272c43a52d960fd6ceaea0a096fc3d63e4553df2cd,e1f0e07448e0ae931b683e3c6e11fead524991c422193a637a6ab2de2558ac55,de0344da2fd13b10acd8ec03ca810c9ca6e816ea28e60496eac11d387cd6e9e4,42efbe1b6ebdf8f0090439fd414c81d52245000515025cd28319eec673f49dae,3f4b59807b941b55eb933a6c7f578da16702b6c7617d028079a3cadbcc845b9d,5a5d4bafddcb2b3f8c751e472ca0a0a7c2a6c17ee33603053dbf44899d785a9a,ececcdd28d97f28fd324a08a6f62a38f39a830aec007f3abc0aba3a2c339dd59,732468bc8fcace0441889763e4b8a142e44195f4fe5e9c004477868a23cf3d3b,685960faaf2204b6398202471c349afd954884d07d801b75dacfce02e469afd5,93698de31bcffbde877058bcd13a6106d18b994b53e42233d774cc6e8d338d30,f86de294a04c5d8dfcbf37f6377fa0a8d7d0a9477f106fc8e369d21ed3892afd,390fdfc5c46a33dc156a3d014e801bbfb83c0754bfb8357470258d06fcfc492d,740833985e90848d775292c89952f0eaf8de43f4d34f8ed274bb6925e141b89f,710b04f81b935d5a38d2c9e698328a44434f6541b51eb3199d9e8437b70a9de5,ba3cf109433752c952eb7a69404ebbd055711dddbf7a3c3452e462577d727428
"0","0","0","401010011","1","401010051","0","0","0","10010105","1","10010103","401010021","1","0","1","10010104","0","1","1","10010101","0","1","1.1","401010031","0","710011","401010041","0","100000","0","1001101","1","1001102","1.2","1001","0.03","10010102","1001104","1","1001105","1001103","0","1.1"
"0","0","0","401010011","2","401010051","0","0","0","10010105","1","10010103","401010021","1","0","-1","10010104","0","2","1","10010101","0","2","1.5","401010031","0","710011","401010041","0","100000","0","1001106","1.2","1001107","2","1001","0.06","10010102","1001109","1.2","1001110","1001108","0","1.7"
"0","0","0","401020011","1","401020051","0","0","0","10020105","1","10020103","401020021","1","0","1","10020104","0","1","1","10020101","0","3","1.1","401020031","0","710021","401020041","0","100000","0","1002101","1","1002102","1.2","1002","0.03","10020102","1002104","1","1002105","1002103","0","1.1"
"0","0","0","401020061","2","401020101","0","0","0","10020105","1","10020103","401020071","1","0","-1","10020104","0","2","1","10020101","0","4","1.5","401020081","0","710021","401020091","0","100000","0","1002106","1.2","1002107","2","1002","0.06","10020102","1002109","1.2","1002110","1002108","0","1.7"
"0","0","0","401030011","1","401030051","0","0","0","10030105","1","10030103","401030021","1","0","1","10030104","0","1","1","10030101","0","5","1.1","401030031","0","710031","401030041","0","100000","0","1003101","1","1003102","1.2","1003","0.03","10030102","1003104","1","1003105","1003103","0","1.1"
"0","0","0","401030061","2","401030101","0","0","0","10030105","1","10030103","401030071","1","0","-1","10030104","0","2","1","10030101","0","6","1.5","401030081","0","710031","401030091","0","100000","0","1003106","1.2","1003107","2","1003","0.06","10030102","1003109","1.2","1003110","1003108","0","1.7"
"0","0","0","401040011","1","401040051","0","0","0","10040105","1","10040103","401040021","1","0","1","10040104","0","1","1","10040101","0","7","1.1","401040031","0","710041","401040041","0","100000","0","1004101","1","1004102","1.2","1004","0.03","10040102","1004104","1","1004105","1004103","0","1.1"
"0","0","0","401040061","2","401040101","0","0","0","10040105","1","10040103","401040071","1","0","-1","10040104","0","2","1","10040101","0","8","1.5","401040081","0","710041","401040091","0","100000","0","1004106","1.2","1004107","2","1004","0.06","10040102","1004109","1.2","1004110","1004108","0","1.7"
"0","0","0","401040111","1","401040151","0","0","0","10050105","1","10050103","401040121","1","0","1","10050104","0","1","1","10050101","0","9","1.1","401040131","0","710051","401040141","0","100000","0","1004101","1","1004102","1.2","1005","0.03","10050102","1004104","1","1004105","1004103","0","1.1"
"0","0","0","401040161","2","401040201","0","0","0","10050105","1","10050103","401040171","1","0","-1","10050104","0","2","1","10050101","0","10","1.5","401040181","0","710051","401040191","0","100000","0","1004106","1.2","1004107","2","1005","0.06","10050102","1004109","1.2","1004110","1004108","0","1.7"
"0","0","0","401040211","1","401040251","0","0","0","10060105","1","10060103","401040221","1","0","1","10060104","0","1","1","10060101","0","11","1.3","401040231","0","710061","401040241","0","100000","0","1004101","1","1004102","1.5","1006","0.03","10060102","1004104","1","1004105","1004103","0","1.3"
"0","0","0","401040261","2","401040301","0","0","0","10060105","1","10060103","401040271","1","0","-1","10060104","0","2","1","10060101","0","12","1.8","401040281","0","710061","401040291","0","100000","0","1004106","1.3","1004107","2","1006","0.06","10060102","1004109","1.3","1004110","1004108","0","1.8"
"0","0","0","401040311","1","401040351","0","0","0","10070105","1","10070103","401040321","1","0","1","10070104","0","1","1","10070101","0","13","1.3","401040331","0","710071","401040341","0","100000","0","1004101","1","1004102","1.5","1007","0.03","10070102","1004104","1","1004105","1004103","0","1.3"
"0","0","0","401040361","2","401040401","0","0","0","10070105","1","10070103","401040371","1","0","-1","10070104","0","2","1","10070101","0","14","1.8","401040381","0","710071","401040391","0","100000","0","1004106","1.3","1004107","2","1007","0.06","10070102","1004109","1.3","1004110","1004108","0","1.8"
