732468bc8fcace0441889763e4b8a142e44195f4fe5e9c004477868a23cf3d3b,549ddefc70314be27f0fd846baf4292564e84bdd521d257aa8331669d467841d,988439de3773565027f720261793bc22938d66976fa884d1472f4a297d319c8d,8ded97b56012c9dfd905d0f87b747f872d6bc0ff47dca674d9d80ae79d43b2fd,4a30054d708028b97a305b94f2c5ed15e56271bd8e0367b7a153e12aabb9776c,93698de31bcffbde877058bcd13a6106d18b994b53e42233d774cc6e8d338d30,a057ffb250ed3d4975fa3f2aff1ce1c6c6c05e1cffcfb0bf6742c184bc490772,217c7f94141a4109e54f7a2d4f97f0d9e2f3ea6a0e71af4483fb6453f64be889,c5dc224f29c3f9c11b3d10ab6c405e13553f1b635acf8eff22b49758c7305324,685960faaf2204b6398202471c349afd954884d07d801b75dacfce02e469afd5,d1d82267a6cd5355dd983a566ecc58ad4c58ebe56b943141ad9721602cce0567,ececcdd28d97f28fd324a08a6f62a38f39a830aec007f3abc0aba3a2c339dd59,8c54d21cff8fb5d5e6f7c6fead470e45d1cf11f6073c0259f36fcc82e3dfc796,710b04f81b935d5a38d2c9e698328a44434f6541b51eb3199d9e8437b70a9de5,d212a9b1a99d7569e41ffb272c43a52d960fd6ceaea0a096fc3d63e4553df2cd,740833985e90848d775292c89952f0eaf8de43f4d34f8ed274bb6925e141b89f,a043f172eeae446c5cbfbd6d79f853b098c5c7079ae5b76ed4c4dc409f99e733,bfaf8ee17d7ca8651596dbff2a4ab8e2efe6f92b55c8b43a8eb078a95f795fbd,679441c7f91ece90283195ab521c8b52c7e1babc1de42fa77b722ceb005a5165,0162bd22dd9c22af8c9801eeaad540cb6ec58e2ca0cf5e42eb613fde36cfe074,6f5354914ef7a5d1cb9116d74f7e9ca67a2670714f2c4f22a37635ff04887095,3f4b59807b941b55eb933a6c7f578da16702b6c7617d028079a3cadbcc845b9d,e1f0e07448e0ae931b683e3c6e11fead524991c422193a637a6ab2de2558ac55,ef6334e6a95a4feadc8d11f72931a7b3f3dad51578db4b2b8619550af66fef61,79b8fc1c762a84290e3fac3eab3386249eb4e0c11f24faf814c8c01f99d0fb82,d02a6e064bee02b8ac22bbb0de7f7f1bb88e86aa5be5030c84b40a8ec3776a4f,1d533d583126542d798611b65bc4640fba5919d85957e4102b6d5280382e1a64,aa9bc60b7a974ebb4346550e0b9e384029bd752229741af266f324eec46c1956,1b2cc6078f900663a586ccc8f18eec0bebe2db1317e881bd0422857570ffce51,1b3e4700054aaf55bb7e5d36c4e299b4fed08ca5dc9177632a0e021d41d0dbf9,5a5d4bafddcb2b3f8c751e472ca0a0a7c2a6c17ee33603053dbf44899d785a9a,390fdfc5c46a33dc156a3d014e801bbfb83c0754bfb8357470258d06fcfc492d,f86de294a04c5d8dfcbf37f6377fa0a8d7d0a9477f106fc8e369d21ed3892afd,42efbe1b6ebdf8f0090439fd414c81d52245000515025cd28319eec673f49dae,80ab843dd2a5e8592243779942ebcd9957dfd19b6e720a245d719140b4f474d7,ba3cf109433752c952eb7a69404ebbd055711dddbf7a3c3452e462577d727428,de0344da2fd13b10acd8ec03ca810c9ca6e816ea28e60496eac11d387cd6e9e4,d4e7da70133fd211b27abda999614b7e03a1feedbe8e39526e5054e03d91fb87,56e2ca795d300026683082dc6302f6c62d6a2e5aec91bda8209feaf302b5b2d3,3c943f85623cee8edc3116b4ad9ca2d0c098321476be24affddf26ca496e4ccb,dd0a8dfe2d4b4ac358be9b7c28d4605e75a6806d1a42fc966bf38a9c7fbd925f,a249e4ed5678d9ff7545fec06daae30e8249d3c3cda59f7017fa5c3c6e88c9ca,c06384e92eb249da7f8ab0d711b7d317182ad81cdbd57f4ac4126f9f441e9e91,503778b3b5ead3a52981ac8403f06f835847c6b4725c709fded74c27244cbe7f
"0.03","1","10010103","1","1.1","1001104","1","0","10010105","10010102","710011","1001","0","0","100000","1001103","10010104","401010021","1","401010041","0","1001102","0","0","0","0","0","401010011","401010051","0","1.2","1001105","1","1","0","1.1","1001101","1","1","401010031","0","1","0","10010101"
"0.06","1","10010103","2","1.5","1001109","2","0","10010105","10010102","710011","1001","0","0","100000","1001108","10010104","401010021","2","401010041","0","1001107","0","0","0","0","0","401010011","401010051","0","2","1001110","1.2","1.2","0","1.7","1001106","1","1","401010031","0","-1","0","10010101"
"0.03","1","10020103","1","1.1","1002104","3","0","10020105","10020102","710021","1002","0","0","100000","1002103","10020104","401020021","1","401020041","0","1002102","0","0","0","0","0","401020011","401020051","0","1.2","1002105","1","1","0","1.1","1002101","1","1","401020031","0","1","0","10020101"
"0.06","1","10020103","2","1.5","1002109","4","0","10020105","10020102","710021","1002","0","0","100000","1002108","10020104","401020071","2","401020091","0","1002107","0","0","0","0","0","401020061","401020101","0","2","1002110","1.2","1.2","0","1.7","1002106","1","1","401020081","0","-1","0","10020101"
"0.03","1","10030103","1","1.1","1003104","5","0","10030105","10030102","710031","1003","0","0","100000","1003103","10030104","401030021","1","401030041","0","1003102","0","0","0","0","0","401030011","401030051","0","1.2","1003105","1","1","0","1.1","1003101","1","1","401030031","0","1","0","10030101"
"0.06","1","10030103","2","1.5","1003109","6","0","10030105","10030102","710031","1003","0","0","100000","1003108","10030104","401030071","2","401030091","0","1003107","0","0","0","0","0","401030061","401030101","0","2","1003110","1.2","1.2","0","1.7","1003106","1","1","401030081","0","-1","0","10030101"
"0.03","1","10040103","1","1.1","1004104","7","0","10040105","10040102","710041","1004","0","0","100000","1004103","10040104","401040021","1","401040041","0","1004102","0","0","0","0","0","401040011","401040051","0","1.2","1004105","1","1","0","1.1","1004101","1","1","401040031","0","1","0","10040101"
"0.06","1","10040103","2","1.5","1004109","8","0","10040105","10040102","710041","1004","0","0","100000","1004108","10040104","401040071","2","401040091","0","1004107","0","0","0","0","0","401040061","401040101","0","2","1004110","1.2","1.2","0","1.7","1004106","1","1","401040081","0","-1","0","10040101"
"0.03","1","10050103","1","1.1","1004104","9","0","10050105","10050102","710051","1005","0","0","100000","1004103","10050104","401040121","1","401040141","0","1004102","0","0","0","0","0","401040111","401040151","0","1.2","1004105","1","1","0","1.1","1004101","1","1","401040131","0","1","0","10050101"
"0.06","1","10050103","2","1.5","1004109","10","0","10050105","10050102","710051","1005","0","0","100000","1004108","10050104","401040171","2","401040191","0","1004107","0","0","0","0","0","401040161","401040201","0","2","1004110","1.2","1.2","0","1.7","1004106","1","1","401040181","0","-1","0","10050101"
"0.03","1","10060103","1","1.3","1004104","11","0","10060105","10060102","710061","1006","0","0","100000","1004103","10060104","401040221","1","401040241","0","1004102","0","0","0","0","0","401040211","401040251","0","1.5","1004105","1","1","0","1.3","1004101","1","1","401040231","0","1","0","10060101"
"0.06","1","10060103","2","1.8","1004109","12","0","10060105","10060102","710061","1006","0","0","100000","1004108","10060104","401040271","2","401040291","0","1004107","0","0","0","0","0","401040261","401040301","0","2","1004110","1.3","1.3","0","1.8","1004106","1","1","401040281","0","-1","0","10060101"
"0.03","1","10070103","1","1.3","1004104","13","0","10070105","10070102","710071","1007","0","0","100000","1004103","10070104","401040321","1","401040341","0","1004102","0","0","0","0","0","401040311","401040351","0","1.5","1004105","1","1","0","1.3","1004101","1","1","401040331","0","1","0","10070101"
"0.06","1","10070103","2","1.8","1004109","14","0","10070105","10070102","710071","1007","0","0","100000","1004108","10070104","401040371","2","401040391","0","1004107","0","0","0","0","0","401040361","401040401","0","2","1004110","1.3","1.3","0","1.8","1004106","1","1","401040381","0","-1","0","10070101"
