f27320960c8ada674596af5039f9be8430d2ca4f4b39fd6acc6fea029f343a4c,d7fd609424d54330c8e3d1dddaf803326b26b5e21fee70c301d4896072429620,13952c00046e6c65bcb778dff7864f73a0a1216615ff1c5bf66d5f14ca58c1eb,447213df390a704f842062c3768a9269eec8b136efb36f460796c4459595bdfb,0210115ea9f08b21ceff54c142f1801d23576718bc1772d31ecda7af96d3ce40,815b05bafb47d1675a86aab6c0820259205fcbc9daa6a0727199838c4b303ba8
"1","102013011","1","5201087","301","10201"
"1","102014021","1","5201081","402","10201"
"0","102014022","101","5201082","402","10201"
"1","102015011","1","5201066","501","10201"
"2","102015012","1","5201067","501","10201"
"3","102015013","1","5201068","501","10201"
"4","102015014","1","5201069","501","10201"
"5","102015015","1","5201070","501","10201"
"6","102015016","1","5201071","501","10201"
"7","102015017","1","5201072","501","10201"
"8","102015018","1","5201073","501","10201"
