818a7477fc52aa635e078cd612716b57fe4d75638f6c1a99c2f81eafdb9c6c0b,706605668ab6453341615c3f9b9a0580f469d036f5e0a509eee23e7355dded11,760185b156dc0cc53138fb1898193e0ff68619f9b57d1bf1dabf186f93eb6bf4,cadde393792e9fa2785c010a360b0369a942ba2c8f5dbb4303c77d645537907c,e8022fc94356cbef455b982ec9c615aaac8cc90d2098d46c9dacb88690b037de,386ad440a69527a5913c164abdb60935a3b1669a8ea19ac0a0301bd685e9e717,1156f765d0c9ec9f9602f6f8a2c1c44208c517e27d819a46ccf3e442ae98ded6,71a6511a1926fce6bcdc8c37c68cac99cb5f2918468e0ca3bf8df784be215c23,1c27d5ab30607194366073bb064cf3ced889747b52fef0db05f894f14101829e,00b5eefb20d294972c4eb599070ed8c6f0adf609b288124f23206afc46c2928f,c0f6749556148537e677c13c9024f31de6c451c2671fa4776761115905c16e12,f50263ea628054745553cb3bb7f16c9602b06636e76bf586a10d317c29b96a12,db3448d52e76d58023732ef86dcdd408f5e64cf1ec7edeb56c4ca4e76048ce37,d3c836b27d677a1f96548e8a26cc01c5f4314076aad4efd3012c8d1facfe9a79
"2","3.414","2018/01/31 12:00:00","0","53003","0","1","190801","1","-416.5","花凜","2030/01/01 14:59:59","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","53"
"2","3.099","2018/01/31 12:00:00","0","53004","0","1","190801","2","-416.5","花凜","2030/01/01 14:59:59","將任務完成，\n並獲得獎勵吧！","53"
"2","2.801","2018/01/31 12:00:00","0","54003","0","1","190801","3","-416.5","花凜","2030/01/01 14:59:59","似乎有能夠\n領取的獎勵了。\n請確認看看","54"
"2","0","2018/01/31 12:00:00","0","54004","0","2","190801","4","-416.5","花凜","2030/01/01 14:59:59","能夠領取獎勵了！\n請檢查看看","54"
"2","5.506","2018/01/31 12:00:00","0","55003","0","1","190801","1","-363","花凜","2030/01/01 14:59:59","這裡是公會管理協會！\n如果您持有討伐證的話，\n就能夠交換獎勵哦","55"
"1","1.216","2018/01/31 12:00:00","0","55004","0","2","190801","2","-363","花凜","2030/01/01 14:59:59","辛苦了！\n在這裡，能夠以討伐證\n來換取獎勵哦！","55"
"1","1.539","2018/01/31 12:00:00","0","56003","0","2","190801","3","-363","花凜","2030/01/01 14:59:59","辛苦了\n別忘記使用討伐證\n來進行交換哦！","56"
"1","1.875","2018/01/31 12:00:00","0","56004","0","2","190801","4","-363","花凜","2030/01/01 14:59:59","結束了呢─\n討伐證就是努力的證明！\n拿來換取獎勵吧！","56"
"1","0","2018/01/31 12:00:00","0","57003","0","1","190801","5","-416.5","花凜","2030/01/01 14:59:59","參加活動辛苦了！\n各位活躍的樣子\n我們始終非常感謝","57"
"2","3.414","2020/10/19 16:00:00","10043","10043001","0","1","190801","1","-416.5","花凜","2020/10/28 15:59:59","如果完成任務的話，\n就能夠獲得獎勵哦！\n請加油吧","53"
"2","3.099","2020/10/19 16:00:00","10043","10043002","0","1","190801","2","-416.5","花凜","2020/10/28 15:59:59","將任務完成，\n並獲得獎勵吧！","53"
"2","2.801","2020/10/19 16:00:00","10043","10043003","0","1","190801","3","-416.5","花凜","2020/10/28 15:59:59","似乎有能夠\n領取的獎勵了，\n請確認看看。","54"
