55a92f3aa7c6b0ad8cadae566249ae0693337b40bb76c31674c251718561f6bd,22a4a4f6f0c4b1b3ce5145c017d65f3fb67f32dce05d27c7720f0c16c315a6ce,9ad36480d22e6f294fa87f7ab46044344fb095f687fc986170c5563ad889b5ad,14fd1c6ee62ce796ae963d9fabf013fc271016bee86c4db7363aa5c58bdef01d,1c97826c9e25380cd69d55456c75a1f1b8a3529da94762b76d474f5b90bb6328
"100001011","150000","94002","10000101","12"
"100001012","6","22003","10000101","2"
"100001021","500000","94002","10000102","12"
"100001022","6","22003","10000102","2"
"100001031","500000","94002","10000103","12"
"100001032","3","140001","10000103","4"
"100001033","3","25001","10000103","2"
"100001041","500000","94002","10000104","12"
"100001042","6","22003","10000104","2"
"100001051","500000","94002","10000105","12"
"100001052","4","140001","10000105","4"
"100001053","4","25001","10000105","2"
"100001061","500000","94002","10000106","12"
"100001062","6","22003","10000106","2"
"100001071","500000","94002","10000107","12"
"100001072","4","140001","10000107","4"
"100001073","4","25001","10000107","2"
"100001081","500000","94002","10000108","12"
"100001082","6","22003","10000108","2"
"100001091","500000","94002","10000109","12"
"100001092","4","140001","10000109","4"
"100001093","4","25001","10000109","2"
"100505011","120000","94002","10050501","12"
"100505012","3","22003","10050501","2"
"100505021","120000","94002","10050502","12"
"100505022","4","22003","10050502","2"
"100505031","120000","94002","10050503","12"
"100505032","4","22003","10050503","2"
"100505111","120000","94002","10050511","12"
"100505112","3","22003","10050511","2"
"100505121","160000","94002","10050512","12"
"100505122","4","22003","10050512","2"
"100606011","120000","94002","10060601","12"
"100606012","3","22003","10060601","2"
"100606021","120000","94002","10060602","12"
"100606022","4","22003","10060602","2"
"100606031","120000","94002","10060603","12"
"100606032","4","22003","10060603","2"
"100606111","120000","94002","10060611","12"
"100606112","3","22003","10060611","2"
"100606121","160000","94002","10060612","12"
"100606122","4","22003","10060612","2"
"100707011","120000","94002","10070701","12"
"100707012","3","22003","10070701","2"
"100707021","120000","94002","10070702","12"
"100707022","4","22003","10070702","2"
"100707031","120000","94002","10070703","12"
"100707032","4","22003","10070703","2"
"100707111","120000","94002","10070711","12"
"100707112","3","22003","10070711","2"
"100707121","160000","94002","10070712","12"
"100707122","4","22003","10070712","2"
"100808011","120000","94002","10080801","12"
"100808012","3","22003","10080801","2"
"100808021","120000","94002","10080802","12"
"100808022","4","22003","10080802","2"
"100808031","120000","94002","10080803","12"
"100808032","4","22003","10080803","2"
"100808111","120000","94002","10080811","12"
"100808112","3","22003","10080811","2"
"100808121","160000","94002","10080812","12"
"100808122","4","22003","10080812","2"
