7895744380e5131459cd5dadc8de774bfd3b95d8a26d5f1551ccca8566d094af,95061085aa2af4f90224c292426fe3d97a0c993f62ec37030f901f4df4e2a2a1,7129b1433e0a55a0bf658e2a133492f3a1b1840e130e5b9cebbbccaca7b99dab,ca93f343a3b6f0d3f86d3d27ca1f8a7eca867263281d52df961ce7d2314c552c
"8","91002","1000","100"
"2","23003","2000","500"
"2","25011","3000","5000"
"2","25012","4000","5000"
"2","25013","5000","5000"
"2","25014","6000","5000"
"2","25015","7000","5000"
"2","25021","8000","2500"
"8","91002","9000","100"
"2","21953","10000","1"
"2","90005","12000","50"
"2","23003","14000","500"
"2","25011","16000","5000"
"2","25012","18000","5000"
"2","25013","20000","5000"
"2","25014","23000","5000"
"2","25015","26000","5000"
"2","25021","29000","2500"
"8","91002","32000","100"
"2","41000","35000","1"
"2","90005","39000","50"
"2","23003","43000","500"
"2","25011","47000","5000"
"2","25012","51000","5000"
"2","25013","55000","5000"
"2","25014","60000","5000"
"2","25015","65000","5000"
"2","25021","70000","2500"
"8","91002","75000","100"
"2","26203","80000","1"
"2","90005","90000","50"
"2","23003","100000","500"
"2","25011","150000","5000"
"2","25012","200000","5000"
"2","25013","250000","5000"
"2","25014","300000","5000"
"2","25015","350000","5000"
"2","25021","400000","2500"
"8","91002","450000","100"
"2","21953","500000","1"
"2","90005","550000","50"
"2","23003","600000","500"
"2","25011","650000","5000"
"2","25012","700000","5000"
"2","25013","750000","5000"
"2","25014","800000","5000"
"2","25015","850000","5000"
"2","25021","900000","2500"
"8","91002","950000","100"
"2","25101","1000000","1"
"2","90005","1050000","50"
"2","23003","1100000","500"
"2","25011","1150000","5000"
"2","25012","1200000","5000"
"2","25013","1250000","5000"
"2","25014","1300000","5000"
"2","25015","1350000","5000"
"2","25021","1400000","2500"
"8","91002","1450000","100"
"2","26203","1500000","1"
"2","90005","1550000","50"
"2","23003","1600000","500"
"2","25011","1650000","5000"
"2","25012","1700000","5000"
"2","25013","1750000","5000"
"2","25014","1800000","5000"
"2","25015","1850000","5000"
"2","25021","1900000","2500"
"8","91002","1950000","100"
"2","41000","2000000","1"
"2","90005","2050000","50"
"2","23003","2100000","500"
"2","25011","2150000","5000"
"2","25012","2200000","5000"
"2","25013","2250000","5000"
"2","25014","2300000","5000"
"2","25015","2350000","5000"
"2","25021","2400000","2500"
"8","91002","2450000","100"
"2","26203","2500000","1"
"2","90005","2550000","50"
"2","23003","2600000","500"
"2","25011","2650000","10000"
"2","25012","2700000","10000"
"2","25013","2750000","10000"
"2","25014","2800000","10000"
"2","25015","2850000","10000"
"2","25021","2900000","5000"
"8","91002","2950000","100"
"2","21953","3000000","1"
"2","90005","3050000","50"
"2","23003","3100000","500"
"2","25011","3150000","10000"
"2","25012","3200000","10000"
"2","25013","3250000","10000"
"2","25014","3300000","10000"
"2","25015","3350000","10000"
"2","25021","3400000","5000"
"8","91002","3450000","100"
"2","26203","3500000","1"
"2","90005","3550000","50"
"2","23003","3600000","500"
"2","25011","3650000","10000"
"2","25012","3700000","10000"
"2","25013","3750000","10000"
"2","25014","3800000","10000"
"2","25015","3850000","10000"
"2","25021","3900000","5000"
"8","91002","3950000","100"
"2","41000","4000000","1"
"2","90005","4050000","50"
"2","23003","4100000","500"
"2","25011","4150000","10000"
"2","25012","4200000","10000"
"2","25013","4250000","10000"
"2","25014","4300000","10000"
"2","25015","4350000","10000"
"2","25021","4400000","5000"
"8","91002","4450000","100"
"2","26203","4500000","1"
"2","90005","4550000","50"
"2","23003","4600000","500"
"2","25011","4650000","10000"
"2","25012","4700000","10000"
"2","25013","4750000","10000"
"2","25014","4800000","10000"
"2","25015","4850000","10000"
"2","25021","4900000","5000"
"8","91002","4950000","100"
"2","25101","5000000","1"
