b365becc1c08fcef01771d393f0901c9758863279b2a92b0e2ae62d663e714ee,66d45aa28f2191a062b8ad2ed7d0d46485a2bd4f722e4182c5a5f62e3c455523,481fdd6e9e9647221914853ef87b1871d829f794f66b8880336244cf150798fe,fffb51d91a1e11f67c4dc784a58586c620681e339897756bd22af70d65890098,706ac1dcd85e4b5e1b7cd7e5593e65fca43b99e73bc8b98d47e421e0312465ce,f77e07c94b75511c1ad6a1c355acc39a879185e33cb9fff7145014c7ee96e5d0,8bf3bc871f72fd247b9cca57eaaf28771621fd1f49fcb62fc425c721e5a34b2f,b751a0c4cbba4450551f3fd2a363b007f5ba44577a4aadf671c54b3ca91bfd21,3db370b1a58262fe66904d80f99214873bc9e7b21b4a2822cd2df34e2bd27803,920d98c2c3eac54b592fd1433bcf3d2f4c76218278b7ba8c69e5f1950157de56,9a409ba04b69e45a5394932c77cf06c3119abc7264708991dad54786527a90f0,f3a87456aab148586ff79430708286529a61c6d898163c7f7cd62d968c545a9c,a87ea2bacbb80461da474931d4988e7b3c9a566decd89f4639dc243575c771b5,f846b9c1e5821720fb6394be8f4a82c02e95129fc64550361b479a2d44d25484,26587294b4abe2ef82b6704bf2cedaf184703272fbc5e358e21a26b8a0a43c6e
"20014","2030/04/01 14:59:59","99001001","0","99001001","660014101","0","打倒 1 隻惡代官（NORMAL限定）","1004110","8006","9001","1","601","2019/09/03 16:00:00","1"
"20014","2030/04/01 14:59:59","99001002","0","99001002","660014201","0","打倒 1 隻惡代官（HARD限定）","1004111","8007","9001","1","601","2019/09/03 16:00:00","1"
"20014","2030/04/01 14:59:59","99001003","0","99001003","660014301","0","打倒 1 隻惡代官（VERY HARD限定）","1004112","8010","9001","1","601","2019/09/03 16:00:00","1"
"10041","2030/04/01 14:59:59","99001004","0","99001004","610041401","0","打倒 1 隻惡代官（SPECIAL限定）","1004113","6011","9001","1","601","2019/09/03 16:00:00","1"
"10153","2030/04/01 14:59:59","99001005","0","99001005","610153101","0","打倒 1 隻貝特魯吉烏斯（NORMAL限定）","1005310","6006","9001","1","601","2019/10/01 16:00:00","1"
"10153","2030/04/01 14:59:59","99001006","0","99001006","610153201","0","打倒 1 隻貝特魯吉烏斯（HARD限定）","1005311","6007","9001","1","601","2019/10/01 16:00:00","1"
"10153","2030/04/01 14:59:59","99001007","0","99001007","610153301","0","打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","1005312","6010","9001","1","601","2019/10/01 16:00:00","1"
"10153","2030/04/01 14:59:59","99001008","0","99001008","610153401","0","打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","1005313","6011","9001","1","601","2019/10/01 16:00:00","1"
"20015","2030/04/01 14:59:59","99001009","0","99001009","660015101","0","打倒 1 隻雨神大人（NORMAL限定）","1004310","8006","9001","1","601","2019/11/01 16:00:00","1"
"20015","2030/04/01 14:59:59","99001010","0","99001010","660015201","0","打倒 1 隻雨神大人（HARD限定）","1004311","8007","9001","1","601","2019/11/01 16:00:00","1"
"20015","2030/04/01 14:59:59","99001011","0","99001011","660015301","0","打倒 1 隻雨神大人（VERY HARD限定）","1004312","8010","9001","1","601","2019/11/01 16:00:00","1"
