110b0b404b03e96cc6b73a992c03e47e83db47501ea78d0382737732e8c6685c,ba8fe2f726966e33682e15abbb60ddf42fd5346ccc4a0b6d54bd6b0707cbf164,953ec6ac15398d0fdca26429a6064090cdc52e7f6bab29e72de4f5c26da16569,da1ba2f69bf8f18cdd0f78c9be5d29b5e08573443e41ae438b1949bacdd2c96c,5d000f790ed60d282ad024563bbb978df6195c57d37e4b55d1a8b6668f006d7a
"傷害值衰減","75000001","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000101"
"賦予TP上升的上限","75000001","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000102"
"提升物理防禦力（不可降低）","75000001","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000103"
"提升魔法防禦力（不可降低）","75000001","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000104"
"降低HP吸收","75000001","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000105"
"減少降低TP","75000001","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000106"
"傷害值衰減","75000002","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000201"
"賦予TP上升的上限","75000002","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","500000202"
"提升物理防禦力（不可降低）","75000002","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","500000203"
"提升魔法防禦力（不可降低）","75000002","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","500000204"
"降低HP吸收","75000002","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","500000205"
"減少降低TP","75000002","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","500000206"
"傷害值衰減","75000003","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","500000301"
