5d000f790ed60d282ad024563bbb978df6195c57d37e4b55d1a8b6668f006d7a,953ec6ac15398d0fdca26429a6064090cdc52e7f6bab29e72de4f5c26da16569,da1ba2f69bf8f18cdd0f78c9be5d29b5e08573443e41ae438b1949bacdd2c96c,ba8fe2f726966e33682e15abbb60ddf42fd5346ccc4a0b6d54bd6b0707cbf164,110b0b404b03e96cc6b73a992c03e47e83db47501ea78d0382737732e8c6685c
"500000101","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000001","傷害值衰減"
"500000102","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000001","賦予TP上升的上限"
"500000103","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000001","提升物理防禦力（不可降低）"
"500000104","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000001","提升魔法防禦力（不可降低）"
"500000105","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000001","降低HP吸收"
"500000106","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000001","減少降低TP"
"500000201","18","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","75000002","傷害值衰減"
"500000202","17","戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","75000002","賦予TP上升的上限"
"500000203","boss_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75000002","提升物理防禦力（不可降低）"
"500000204","boss_magic_def_lower_limit","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","75000002","提升魔法防禦力（不可降低）"
"500000205","9","戰鬥開始時，特大幅度降低全體角色的HP吸收。","75000002","降低HP吸收"
"500000206","boss_tp_down_cut","戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","75000002","減少降低TP"
