3d61cb459f89194d48b095b28813cc4c636a2926d0ee9bda2755022ba9c144dc,b3f67cb1d9349af93e7f69c2e71f0dbf3e71e515931418b7d0a718ee44bbc909,448b29fa0613df651c04b95b2e3bfcff48af2eeb3c453b43aa7b36622d31a138,65276256fbce98d31e3594bb2b144afe896c5a41c83ccd9d3580c7a04dbdda68,8cd0850592cdcebf85901a44a49c782876405d0643836a13b2c107f122454c22,b1d470a2010b85e99b853117693a0a9bd31f6c647d25df709986212961d6cc35,3724f4180780ba7d6be1ef2d2c316624b9d039785f9386617f79b7bef5230e5d
"0","10070","1007001","0","0","20039101","圖畫日記之1"
"0","10070","1007002","0","1007001","20039101","圖畫日記之2"
"0","10070","1007003","0","1007002","20039103","圖畫日記之3"
"0","10070","1007004","0","1007003","20039106","圖畫日記之4"
"0","10070","1007005","0","1007004","20039107","圖畫日記之5"
"0","10070","1007006","0","1007005","20039110","圖畫日記之6"
"0","10070","1007007","0","1007006","20039112","圖畫日記之7"
"2003901","10070","1007008","0","1007007","0","圖畫日記之8"
"2003901","10070","1007009","0","1007007","0","惠理子的圖畫日記"
"2003901","10070","1007010","0","1007007","0","靜流的圖畫日記"
"0","10070","1007011","2021/11/15 16:00:00","0","20039101","圖畫日記之1(批閱)"
"0","10070","1007012","2021/11/15 16:00:00","0","20039101","圖畫日記之2(批閱)"
"0","10070","1007013","2021/11/15 16:00:00","0","20039103","圖畫日記之3(批閱)"
"0","10070","1007014","2021/11/15 16:00:00","0","20039106","圖畫日記之4(批閱)"
"0","10070","1007015","2021/11/15 16:00:00","0","20039107","圖畫日記之5(批閱)"
"0","10070","1007016","2021/11/15 16:00:00","0","20039110","圖畫日記之6(批閱)"
"0","10070","1007017","2021/11/15 16:00:00","0","20039112","圖畫日記之7(批閱)"
"2003901","10070","1007018","2021/11/15 16:00:00","0","0","圖畫日記之8(批閱)"
"2003901","10070","1007019","2021/11/15 16:00:00","0","0","惠理子的圖畫日記(批閱)"
"2003901","10070","1007020","2021/11/15 16:00:00","0","0","靜流的圖畫日記(批閱)"
