f061e584b84a07dd23f4bcc5121c5a34c4dce0498e7b0ec4b168b9687e0771e6,105f33992ca8198b025bb3afb06eaed60707f60873409783a0d1d18ead2b27d2,f7ab3ad553aed6ace0b32e9e02ded71d9d472f82319d078c7de918d3f45e24c1,bee8126e4f752d77f987a4cdee83b6434b87b6a17cfa9389164e2869ec2c8b4c,9164e371bfbde53cc88478d655fdd759286d4f998407fa5127ead8d9863ed018,5bf429cdebca9c5e2f2d357c101a254db465f5864238b32ceef26e861e714717,bfaea96e4e4f01cb9916fe7a611067d9e9679df21f70aa94159e7b8b2be12eb9,a5ddb276b442d50c74d01c1e49f3e45bc541664f17e3647ce552e689c5712fa7,ec917786461fb3ed96f3be7af2c68b4a1440a79e02a3920ae5c8aebe7d337baf,c6540dbcee850c9ee836a7e3f0f8fb342beb3f5d8963a819c53f95984311bf73,e7f05dfacb5a699d42baaffab41974f7b1809ad0b3adb667ccdd70e9c4bcc618
"1","160","101001","-420","1","0","-230","101","5","cgg_idle_normal","100"
"1","1.6","101002","375","105811","1","-230","101","1","cgg_idle_def","100"
"1","1.6","101003","490","106011","1","-230","101","1","cgg_idle_def","101"
"1","0.1","101004","1","1","0","1","101","6","","1"
"105811","0.1","101005","1","1","0","1","101","6","","1"
"106011","0.1","101006","1","1","0","1","101","6","","1"
"0.2","","101007","","0","","","101","93","",""
"vo_minigame_1007","","101008","0","vo_minigame_1007_top_talk_1_001","","","101","21","","0"
"105811","0","101009","0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","0","0","101","11","0","4"
"1","0.2","101010","","cgg_idle_surprise1","","","101","3","","1"
"105811","0.2","101011","cgg_talk_surprise_kira","cgg_surprise_kira","0","1","101","3","","0"
"2.1","","101012","","0","","","101","93","",""
"1","0.2","101013","","cgg_idle_surprise3","","","101","3","","1"
"105811","0.2","101014","","cgg_talk_joy1","","","101","3","","1"
"101009","","101015","","","","","101","91","",""
"105811","0.2","101016","","cgg_idle_def","","","101","3","","1"
"vo_minigame_1007","","101017","0","vo_minigame_1007_top_talk_1_002","","","101","21","","0"
"106011","0","101018","0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","0","0","101","11","0","5"
"1","0.2","101019","","cgg_idle_reaction1","","","101","3","","1"
"106011","0.2","101020","","cgg_talk_surprise1","","","101","3","","1"
"2.1","","101021","","0","","","101","93","",""
"1","0.2","101022","","cgg_idle_nod","","","101","3","","1"
"106011","0.2","101023","","cgg_talk_bitter","","","101","3","","1"
"101018","","101024","","","","","101","91","",""
"0.5","","101025","","0","","","101","93","",""
"1","0.2","101026","","cgg_idle_normal","","","101","3","","1"
"106011","0.2","101027","","cgg_idle_def","","","101","3","","1"
"105811","0.2","101028","","cgg_idle_joy2","","","101","3","","1"
"105811","0.2","101029","","10","","","101","12","","1.4"
"3","","101030","","0","","","101","93","",""
"105811","0.2","101031","","cgg_idle_def","","","101","3","","1"
"106011","0.2","101032","","cgg_talk_surprise_dere","","","101","3","","1"
"106011","0.2","101033","","8","","","101","12","","1.4"
"3","","101034","","0","","","101","93","",""
"106011","0.2","101035","","cgg_idle_def","","","101","3","","1"
"1","0.2","101036","cgg_idle_surprise1","cgg_surprise1","0","1","101","3","","0"
"1","0.2","101037","","4","","","101","12","","1.4"
"3","","101038","","0","","","101","93","",""
"101026","","101039","","0","","","101","101","",""
"0","","101040","","0.5","","","101","22","",""
"1","0.1","101041","1","1","0","0","101","6","","1"
"105811","0.1","101042","1","1","0","0","101","6","","1"
"106011","0.1","101043","1","1","0","0","101","6","","1"
"0.1","","101044","","0","","","101","93","",""
"1","0","101045","","cgg_idle_normal","","","101","3","","1"
"105811","0","101046","","cgg_idle_def","","","101","3","","1"
"106011","0","101047","","cgg_idle_def","","","101","3","","1"
"1","160","102001","-420","1","0","-230","102","5","cgg_idle_normal","100"
"1","1.6","102002","375","105911","1","-230","102","1","cgg_idle_def","100"
"1","1.6","102003","490","106411","1","-230","102","1","cgg_idle_def","101"
"1","0.1","102004","1","1","0","1","102","6","","1"
"105911","0.1","102005","1","1","0","1","102","6","","1"
"106411","0.1","102006","1","1","0","1","102","6","","1"
"0.2","","102007","","0","","","102","93","",""
"vo_minigame_1007","","102008","0","vo_minigame_1007_top_talk_2_003","","","102","21","","0"
"105911","0","102009","0","我們抵達\n演唱會會場了，\n這裡非常大，\n非常開闊呢……","0","0","102","11","0","5"
"1","0.2","102010","","cgg_idle_surprise1","","","102","3","","1"
"105911","0.2","102011","","cgg_lookup","","","102","3","","0"
"2.6","","102012","","0","","","102","93","",""
"105911","0.2","102013","","cgg_talk_wish_surprise","","","102","3","","1"
"102009","","102014","","","","","102","91","",""
"105911","0.4","102015","","cgg_idle_def","","","102","3","","1"
"vo_minigame_1007","","102016","0","vo_minigame_1007_top_talk_2_004","","","102","21","","0"
"106411","0","102017","0","慈樂之音的演唱會……\n呵呵，真令人期待呢。\n啊，我可以\n去看一下周邊嗎？","0","0","102","11","0","4"
"1","0.2","102018","","cgg_idle_reaction1","","","102","3","","1"
"106411","0.2","102019","","cgg_talk_surprise1","","","102","3","","1"
"2.6","","102020","","0","","","102","93","",""
"1","0.2","102021","cgg_idle_nod","cgg_talk_nod","0","1","102","3","","0"
"106411","0.2","102022","","cgg_talk_joy3_blink","","","102","3","","1"
"3.2","","102023","","0","","","102","93","",""
"1","0.2","102024","","cgg_idle_reaction5","","","102","3","","1"
"106411","0.2","102025","","cgg_talk_normal","","","102","3","","1"
"102017","","102026","","","","","102","91","",""
"0.5","","102027","","0","","","102","93","",""
"106411","0.2","102028","","cgg_idle_def","","","102","3","","1"
"1","0.2","102029","","cgg_idle_normal","","","102","3","","1"
"105911","0.2","102030","","cgg_talk_joy3_blink","","","102","3","","1"
"105911","0.2","102031","","10","","","102","12","","1.4"
"3","","102032","","0","","","102","93","",""
"105911","0.2","102033","","cgg_idle_def","","","102","3","","1"
"106411","0.2","102034","","cgg_talk_joy1","","","102","3","","1"
"106411","0.2","102035","","11","","","102","12","","1.4"
"3","","102036","","0","","","102","93","",""
"106411","0.2","102037","","cgg_idle_def","","","102","3","","1"
"1","0.2","102038","","cgg_idle_surprise3","","","102","3","","1"
"1","0.2","102039","","6","","","102","12","","1.4"
"3","","102040","","0","","","102","93","",""
"102029","","102041","","0","","","102","101","",""
"0","","102042","","0.5","","","102","22","",""
"1","0.1","102043","1","1","0","0","102","6","","1"
