32e631e5b0eb417324c3bca99d23be462a13e4bb693d84c320ddcb778a8186c1,ef7d281e302ef8f8841306c50427deb111dd040d677034dd0104a2be06da2112,45a301678fc86334fbdd86ad2243260058aac9731a1473b7ca383c9576e65054,c2efa3e6b1b6c1cfcc3440035babfcf712b53ece32f53a6c258130a89bd9e217,b60ad92891071372ed938fc7fa57ead849df428ef73405b45a933e04edd7bb70,fe6f5b5b7626c38c6e05ecad7b0c5876eac73c825311bc679ae16577785feeac,6643bea95edf85bce6e6b474f4b23e0e22ba730ea6a854c7ac1a76993c2465d8,5352247009d5393526aa7fb4151c0b67ef4de983b195d7759f647a1127589e1d,8a80612bf28cc5a72cf111bcb51d1815035d13160533648d7c094c9899ede80e,200ee7d768e352a99e686cbb91c93c34610ea2a6c9516781747fdb7fc30c2d31,623e87a0eafb50a6092c9093271df8391c74f1454bc709edf6cb20054c972181,a5e1069fccc035649fdc51c25e9a357fd482d10a7452ce9a63970f29fccccc86,cb30271c7fda5f7ee9499766477a528721bd407adc871c46b3ac0eec0e749341,e64944dbf3623a01e6b90e8c66a17f8d8f5b5db7c1b50f6d1b286e9ab91f187d
"bgm_M32","201","20001","塔爾格姆地區","0","1","1","0","20001101","bgm_M32","0","0","0","0"
"bgm_M32","201","20001","塔爾格姆地區","0","1","0","0","20001201","bgm_M32","0","0","0","0"
"bgm_M98_2","201","20002","馬席納地區","0","1","0","0","20002101","bgm_M98","0","0","0","0"
"bgm_M98_2","201","20002","馬席納地區","0","1","0","0","20002201","bgm_M98","0","0","0","0"
"bgm_M106","201","20003","蘭德索爾郊外","0","1","0","0","20003101","bgm_M106","0","0","0","0"
"bgm_M106","201","20003","蘭德索爾郊外","0","1","0","0","20003201","bgm_M106","0","0","0","0"
"bgm_M112","201","20004","塔帕斯海灘 周邊","0","1","0","0","20004101","bgm_M112","0","0","0","0"
"bgm_M112","201","20004","塔帕斯海灘 周邊","0","1","0","0","20004201","bgm_M112","0","0","0","0"
"bgm_M121","201","20005","伊爾席翁的孤島","0","1","0","0","20005101","bgm_M121","0","0","0","0"
"bgm_M121","201","20005","伊爾席翁的孤島","0","1","0","0","20005201","bgm_M121","0","0","0","0"
"bgm_M128","201","20006","王城蘭德索爾","0","1","0","0","20006101","bgm_M128","0","0","0","85"
"bgm_M128","201","20006","王城蘭德索爾","0","1","0","0","20006201","bgm_M128","0","0","0","0"
"bgm_M135","201","20007","蘭德索爾郊外","0","1","1","0","20007101","bgm_M135","0","0","0","0"
"bgm_M29","201","20007","靈界","208","1","2","1","20007102","bgm_M29","0","202","80","0"
"bgm_M135","201","20007","蘭德索爾中央地區","209","1","3","1","20007103","bgm_M135","1","202","0","0"
"bgm_M135","201","20007","蘭德索爾郊外","0","1","1","0","20007201","bgm_M135","31","0","0","0"
"bgm_M162","201","20008","蘭德索爾近郊","0","1","0","0","20008101","bgm_M162","0","0","0","35"
"bgm_M162","201","20008","蘭德索爾近郊","0","1","0","0","20008201","bgm_M162","0","0","0","0"
"bgm_M171","201","20009","咲戀育幼院","0","1","1","0","20009101","bgm_M171","11","0","0","110"
"bgm_M171","201","20009","王城蘭德索爾","0","1","1","0","20009201","bgm_M171","0","0","0","0"
"bgm_M182","201","20010","往神殿的參道","0","1","1","0","20010101","bgm_M182","0","0","180","1"
"bgm_M182","201","20010","往神殿的參道","0","1","1","0","20010201","bgm_M182","0","0","0","0"
"bgm_M189","201","20011","王城蘭德索爾","0","1","1","0","20011101","bgm_M189","0","0","0","0"
"bgm_M189","201","20011","廚房競技場","0","1","2","0","20011102","bgm_M189","0","0","0","110"
"bgm_M189","201","20011","廚房競技場","0","1","1","0","20011201","bgm_M189","0","0","0","0"
