c579b350b0f52d6712c40ba6b79dd1102bcf92e5702ccb2143d72957c30b9bcb,2bd3dd619443ae11530a4eccf2ec1f3665e59715cef4fd8fb57d0c187a6352af,3744f3723a25ee3dcac140d3b9e3ec5fb0073cfa3d529a82d0c8b7e741bd53f2,6ccf1b30b02f11af736eb1a5567ac1092794edb7c4acd6ec5d1df7fc2e732099,98f42579b83812f69e52c611536cbd2f43b148421ef2b0f0970e8fbb60d9290b
"bgm_M125","81000104","70","0","1"
"bgm_M125","81000104","110","0","2"
"bgm_M125","81000104","130","0","3"
"bgm_M125","81000104","150","0","4"
"bgm_M125","81000104","170","0","5"
"bgm_M125","81000104","190","0","6"
"bgm_M125","81000104","210","0","7"
"bgm_M125","81000104","230","0","8"
"bgm_M125","81000104","250","0","9"
"bgm_M125","81000104","270","0","10"
"bgm_M125","81000104","290","0","11"
"bgm_M125","81000104","310","0","12"
"bgm_M125","81000104","330","0","13"
"bgm_M125","81000104","350","73140350","14"
"bgm_M125","81000104","360","73150360","15"
"bgm_M125","81000104","370","73160370","16"
"bgm_M125","81000104","380","73170380","17"
"bgm_M125","81000104","390","73180390","18"
"bgm_M125","81000104","400","73190400","19"
"bgm_M125","81000104","410","73200410","20"
"bgm_M125","81000104","420","73210420","21"
"bgm_M125","81000104","430","73220430","22"
"bgm_M125","81000104","440","73230440","23"
"bgm_M125","81000104","450","73240450","24"
"bgm_M125","81000104","460","73250460","25"
"bgm_M125","81000104","470","73260470","26"
"bgm_M125","81000104","480","73270480","27"
"bgm_M125","81000104","490","73280490","28"
"bgm_M125","81000104","500","73290500","29"
"bgm_M125","81000104","510","73300510","30"
"bgm_M125","81000104","520","73310520","31"
"bgm_M125","81000104","530","73320530","32"
"bgm_M125","81000104","540","73330540","33"
"bgm_M125","81000104","550","73340550","34"
"bgm_M125","81000104","560","73350560","35"
"bgm_M125","81000104","570","73360570","36"
"bgm_M125","81000104","580","73370580","37"
"bgm_M125","81000104","590","73380590","38"
"bgm_M125","81000104","600","73390600","39"
"bgm_M125","81000104","610","73400610","40"
"bgm_M125","81000104","620","73410620","41"
"bgm_M125","81000104","630","73420630","42"
"bgm_M125","81000104","640","73430640","43"
"bgm_M125","81000104","650","73440650","44"
"bgm_M125","81000104","660","73450660","45"
"bgm_M125","81000104","670","73460670","46"
"bgm_M125","81000104","680","73470680","47"
"bgm_M125","81000104","690","73480690","48"
"bgm_M125","81000104","700","73490700","49"
"bgm_M125","81000104","710","73500710","50"
"bgm_M125","81000104","720","73510720","51"
"bgm_M125","81000104","730","73520730","52"
"bgm_M125","81000104","740","73530740","53"
"bgm_M125","81000104","750","73540750","54"
"bgm_M125","81000104","760","73550760","55"
