98f42579b83812f69e52c611536cbd2f43b148421ef2b0f0970e8fbb60d9290b,c579b350b0f52d6712c40ba6b79dd1102bcf92e5702ccb2143d72957c30b9bcb,2bd3dd619443ae11530a4eccf2ec1f3665e59715cef4fd8fb57d0c187a6352af,6ccf1b30b02f11af736eb1a5567ac1092794edb7c4acd6ec5d1df7fc2e732099,3744f3723a25ee3dcac140d3b9e3ec5fb0073cfa3d529a82d0c8b7e741bd53f2
"1","bgm_M125","81000104","0","70"
"2","bgm_M125","81000104","0","110"
"3","bgm_M125","81000104","0","130"
"4","bgm_M125","81000104","0","150"
"5","bgm_M125","81000104","0","170"
"6","bgm_M125","81000104","0","190"
"7","bgm_M125","81000104","0","210"
"8","bgm_M125","81000104","0","230"
"9","bgm_M125","81000104","0","250"
"10","bgm_M125","81000104","0","270"
"11","bgm_M125","81000104","0","290"
"12","bgm_M125","81000104","0","310"
"13","bgm_M125","81000104","0","330"
"14","bgm_M125","81000104","73140350","350"
"15","bgm_M125","81000104","73150360","360"
"16","bgm_M125","81000104","73160370","370"
"17","bgm_M125","81000104","73170380","380"
"18","bgm_M125","81000104","73180390","390"
"19","bgm_M125","81000104","73190400","400"
"20","bgm_M125","81000104","73200410","410"
"21","bgm_M125","81000104","73210420","420"
"22","bgm_M125","81000104","73220430","430"
"23","bgm_M125","81000104","73230440","440"
"24","bgm_M125","81000104","73240450","450"
"25","bgm_M125","81000104","73250460","460"
"26","bgm_M125","81000104","73260470","470"
"27","bgm_M125","81000104","73270480","480"
"28","bgm_M125","81000104","73280490","490"
"29","bgm_M125","81000104","73290500","500"
"30","bgm_M125","81000104","73300510","510"
"31","bgm_M125","81000104","73310520","520"
"32","bgm_M125","81000104","73320530","530"
"33","bgm_M125","81000104","73330540","540"
"34","bgm_M125","81000104","73340550","550"
"35","bgm_M125","81000104","73350560","560"
"36","bgm_M125","81000104","73360570","570"
"37","bgm_M125","81000104","73370580","580"
"38","bgm_M125","81000104","73380590","590"
"39","bgm_M125","81000104","73390600","600"
"40","bgm_M125","81000104","73400610","610"
"41","bgm_M125","81000104","73410620","620"
"42","bgm_M125","81000104","73420630","630"
"43","bgm_M125","81000104","73430640","640"
"44","bgm_M125","81000104","73440650","650"
"45","bgm_M125","81000104","73450660","660"
"46","bgm_M125","81000104","73460670","670"
"47","bgm_M125","81000104","73470680","680"
"48","bgm_M125","81000104","73480690","690"
"49","bgm_M125","81000104","73490700","700"
"50","bgm_M125","81000104","73500710","710"
"51","bgm_M125","81000104","73510720","720"
"52","bgm_M125","81000104","73520730","730"
"53","bgm_M125","81000104","73530740","740"
"54","bgm_M125","81000104","73540750","750"
"55","bgm_M125","81000104","73550760","760"
