2a6a28ea1d9de33a14105f661809f6627bfbef1c815b42248a6fed64fbdd9300,a3e1ef8bb1dac8884afdd318fdcb989e88cad5e6431eb1b9967ef6a0778e0013,e5f9d70ffbdeb813c795b6e189ef68e7d3f014d590370635c1bb2f71e0fb50b5,655f2e34e0cb506ffc29786084b575523ea982a8687f81635091c09ff8038c4c,b1229f53a9d20993912d3158041118766d13d77075478f52d7092c3860c24568,391fb5e607f1d9222410fdd43adbdfb696416fab5c96b1f7a3e490c5f9f018d4
"5035005","0","10036","0","5035004","0"
"5058005","0","10059","0","5058004","0"
"0","1006201","10063","10062","0","10062115"
"0","1008401","10085","10084","0","10084115"
"0","1008601","10087","10086","0","10086115"
"0","1011001","10111","10110","0","10110115"
"0","1011201","10113","10112","0","10112115"
"0","1013601","10137","10136","0","10136110"
"0","1013801","10139","10138","0","10138115"
"0","2003301","20034","20033","0","20033115"
"0","2004601","20047","20046","0","20046115"
