12e5332f35b3f6b9b864f10f99e0e951b429f98085a04e3c66b4baa483b6f6d7,fe2fb8e889f826a93c25fff048bb1f19af697d12a20b7cda42bf2a403a498fa2,0b5e670f76a69ecf5f6fd9f02f6e49cc474118466e519ad6184fcb6d80e8e1fc,fc19f24c4620c473abba7dc8fb369872aa760b27009a037fd0cb21ef1ab590bb,8dbe840aa972a21a784a677ebc3a44ca6bc23bcac31eaecf345ef1322f9dbca4,ce394eaefa13fb2e11e5a771b5f041743f60b2f10645b8c37926847bee273998,e076fc9e9f87e86d054097109baf7f41fb3d773c66f7a63907c82cfd168602af,6421086e9bd16bcd9765b61f6da5d83882bc4e8de2d9f15cd547cc8e951f0c3c,c0482f5cb1297a6ed121f471f950cfc4c4f78c09c9834401b9a46d424f3539d2,155b638990d33de7bce4f84f31a54ee754d5651b9067d8c15069aaefc75cc775,a3916fae8abcfd30fc27baab70ae5b7329a5ad6bc441c4d7e2906569d6d3314d
"0","10011","1","1001","0","10011105","0","pt","0","1","2"
"1","10015","2","1002","0","10015103","0","m","0","1","2"
"0","10021","3","1003","0","10021108","5021700","pt","0","1","2"
"0","10027","4","1004","0","5027007","5027700","pt","0","1","3"
"0","10040","5","1005","0","10040105","5040700","pt","0","1","2"
"0","10046","6","1006","1","5046006","0","pt","5046006","1","1"
"0","10072","7","1007","3","5072006","0","pt","5072006","1","3"
"0","10080","8","1008","3","5080007","5080700","pt","5080000","0","3"
"0","0","9","1009","0","0","9004201","pt","0","0","0"
"0","10096","10","1010","3","5096007","5096700","pt","5096007","1","1"
"0","10126","11","1012","3","10126107","0","pt","5126000","1","2"
"0","10142","12","1013","1","5142007","5142700","pt","5142000","1","3"
"0","10156","13","1014","1","5156007","5156700","pt","5156000","1","3"
