fe2fb8e889f826a93c25fff048bb1f19af697d12a20b7cda42bf2a403a498fa2,fc19f24c4620c473abba7dc8fb369872aa760b27009a037fd0cb21ef1ab590bb,6421086e9bd16bcd9765b61f6da5d83882bc4e8de2d9f15cd547cc8e951f0c3c,a3916fae8abcfd30fc27baab70ae5b7329a5ad6bc441c4d7e2906569d6d3314d,e076fc9e9f87e86d054097109baf7f41fb3d773c66f7a63907c82cfd168602af,ce394eaefa13fb2e11e5a771b5f041743f60b2f10645b8c37926847bee273998,c0482f5cb1297a6ed121f471f950cfc4c4f78c09c9834401b9a46d424f3539d2,8dbe840aa972a21a784a677ebc3a44ca6bc23bcac31eaecf345ef1322f9dbca4,12e5332f35b3f6b9b864f10f99e0e951b429f98085a04e3c66b4baa483b6f6d7,155b638990d33de7bce4f84f31a54ee754d5651b9067d8c15069aaefc75cc775,0b5e670f76a69ecf5f6fd9f02f6e49cc474118466e519ad6184fcb6d80e8e1fc
"10011","1001","pt","2","0","10011105","0","0","0","1","1"
"10015","1002","m","2","0","10015103","0","0","1","1","2"
"10021","1003","pt","2","5021700","10021108","0","0","0","1","3"
"10027","1004","pt","3","5027700","5027007","0","0","0","1","4"
"10040","1005","pt","2","5040700","10040105","0","0","0","1","5"
"10046","1006","pt","1","0","5046006","5046006","1","0","1","6"
"10072","1007","pt","3","0","5072006","5072006","3","0","1","7"
"10080","1008","pt","3","5080700","5080007","5080000","3","0","0","8"
"0","1009","pt","0","9004201","0","0","0","0","0","9"
"10096","1010","pt","1","5096700","5096007","5096007","3","0","1","10"
"10126","1012","pt","2","0","10126107","5126000","3","0","1","11"
"10142","1013","pt","3","5142700","5142007","5142000","1","0","1","12"
"10156","1014","pt","3","5156700","5156007","5156000","1","0","1","13"
