155b638990d33de7bce4f84f31a54ee754d5651b9067d8c15069aaefc75cc775,fe2fb8e889f826a93c25fff048bb1f19af697d12a20b7cda42bf2a403a498fa2,c0482f5cb1297a6ed121f471f950cfc4c4f78c09c9834401b9a46d424f3539d2,0b5e670f76a69ecf5f6fd9f02f6e49cc474118466e519ad6184fcb6d80e8e1fc,12e5332f35b3f6b9b864f10f99e0e951b429f98085a04e3c66b4baa483b6f6d7,8dbe840aa972a21a784a677ebc3a44ca6bc23bcac31eaecf345ef1322f9dbca4,6421086e9bd16bcd9765b61f6da5d83882bc4e8de2d9f15cd547cc8e951f0c3c,e076fc9e9f87e86d054097109baf7f41fb3d773c66f7a63907c82cfd168602af,a3916fae8abcfd30fc27baab70ae5b7329a5ad6bc441c4d7e2906569d6d3314d,ce394eaefa13fb2e11e5a771b5f041743f60b2f10645b8c37926847bee273998,fc19f24c4620c473abba7dc8fb369872aa760b27009a037fd0cb21ef1ab590bb
"1","10011","0","1","0","0","pt","0","2","10011105","1001"
"1","10015","0","2","1","0","m","0","2","10015103","1002"
"1","10021","0","3","0","0","pt","5021700","2","10021108","1003"
"1","10027","0","4","0","0","pt","5027700","3","5027007","1004"
"1","10040","0","5","0","0","pt","5040700","2","10040105","1005"
"1","10046","5046006","6","0","1","pt","0","1","5046006","1006"
"1","10072","5072006","7","0","3","pt","0","3","5072006","1007"
"0","10080","5080000","8","0","3","pt","5080700","3","5080007","1008"
"0","0","0","9","0","0","pt","9004201","0","0","1009"
"1","10096","5096007","10","0","3","pt","5096700","1","5096007","1010"
"1","10126","5126000","11","0","3","pt","0","2","10126107","1012"
"1","10142","5142000","12","0","1","pt","5142700","3","5142007","1013"
"1","10156","5156000","13","0","1","pt","5156700","3","5156007","1014"
