a3916fae8abcfd30fc27baab70ae5b7329a5ad6bc441c4d7e2906569d6d3314d,c0482f5cb1297a6ed121f471f950cfc4c4f78c09c9834401b9a46d424f3539d2,ce394eaefa13fb2e11e5a771b5f041743f60b2f10645b8c37926847bee273998,12e5332f35b3f6b9b864f10f99e0e951b429f98085a04e3c66b4baa483b6f6d7,8dbe840aa972a21a784a677ebc3a44ca6bc23bcac31eaecf345ef1322f9dbca4,e076fc9e9f87e86d054097109baf7f41fb3d773c66f7a63907c82cfd168602af,155b638990d33de7bce4f84f31a54ee754d5651b9067d8c15069aaefc75cc775,6421086e9bd16bcd9765b61f6da5d83882bc4e8de2d9f15cd547cc8e951f0c3c,fe2fb8e889f826a93c25fff048bb1f19af697d12a20b7cda42bf2a403a498fa2,0b5e670f76a69ecf5f6fd9f02f6e49cc474118466e519ad6184fcb6d80e8e1fc,fc19f24c4620c473abba7dc8fb369872aa760b27009a037fd0cb21ef1ab590bb
"2","0","10011105","0","0","0","1","pt","10011","1","1001"
"2","0","10015103","1","0","0","1","m","10015","2","1002"
"2","0","10021108","0","0","5021700","1","pt","10021","3","1003"
"3","0","5027007","0","0","5027700","1","pt","10027","4","1004"
"2","0","10040105","0","0","5040700","1","pt","10040","5","1005"
"1","5046006","5046006","0","1","0","1","pt","10046","6","1006"
"3","5072006","5072006","0","3","0","1","pt","10072","7","1007"
"3","5080000","5080007","0","3","5080700","0","pt","10080","8","1008"
"0","0","0","0","0","9004201","0","pt","0","9","1009"
"1","5096007","5096007","0","3","5096700","1","pt","10096","10","1010"
"2","5126000","10126107","0","3","0","1","pt","10126","11","1012"
"3","5142000","5142007","0","1","5142700","1","pt","10142","12","1013"
"3","5156000","5156007","0","1","5156700","1","pt","10156","13","1014"
