514ad407fa7a781deddf25090f5bebf4fa75f544c89ebe5f3d97beb1b16e88c5,c418d74caf0a2dde43a3def5bb77f83cb97253e8e4323b544a359961e7aa89c6,72ba3ee63ebe1b0a76d1bfe9935e324adcf137cf0046bc8ffc68b58415d85292,a58e5b6a9bfbd87ee48a1f00052913c9cf0a4825f17d1c40f8ffefb79839d06d,54b5fad261664149f4ca04c966b938443954e76b0d151d6417de8df44afc6df1,28a981659f2adb1de8a56f6ccb26af9dfa5fac07c1d1d17c424947e7a19aa16e,a21d2f5f0bbf52609102b772075797a4481ca30e9722ce21be3ba4c2b6d4a5cb,387032043a294497e6417de1fd7d64ac57291d13a142c5111684279abcfcd4f2,45a3f9c766fbcc9a16e876b1f4daceab14d2fa9544ba260a565b7d1bc2ee124d,6dce5cf86eb76dfa484e8c2044045e776b04bf0dc22fc4d10a41a93bee13810f,6254dfff8f5ec07419b406b7d6b31bd4e69da9ce41709b1d880392f2340f65b0
"2","91002","25021","10","31","1","282001001","25012","2","8","8"
"2","91002","25021","10","31","2","282001002","25012","2","8","8"
"2","91002","25021","10","32","3","282001003","25012","2","8","8"
"2","91002","25021","10","32","4","282001004","25012","2","8","8"
"2","91002","25021","10","33","5","282001005","25012","2","8","8"
"2","91002","25021","10","33","6","282001006","25012","2","8","9"
"2","91002","25021","10","34","7","282001007","25012","2","8","9"
"2","91002","25021","10","35","8","282001008","25012","2","8","9"
"2","91002","25021","10","35","9","282001009","25012","2","8","9"
"2","91002","25021","30","37","10","282001010","25012","2","8","10"
"2","91002","25021","10","41","11","282001011","25012","2","8","10"
"2","91002","25021","10","43","12","282001012","25012","2","8","11"
"2","91002","25021","10","46","13","282001013","25012","2","8","11"
"2","91002","25021","10","48","14","282001014","25012","2","8","12"
"2","91002","25021","10","50","15","282001015","25012","2","8","12"
"2","91002","25021","10","53","16","282001016","25012","2","8","13"
"2","91002","25021","10","55","17","282001017","25012","2","8","14"
"2","91002","25021","10","58","18","282001018","25012","2","8","14"
"2","91002","25021","10","60","19","282001019","25012","2","8","15"
"2","91002","25021","30","62","20","282001020","25012","2","8","15"
"2","91002","25021","10","68","21","282001021","25012","2","8","16"
"2","91002","25021","10","70","22","282001022","25012","2","8","16"
"2","91002","25021","10","72","23","282001023","25012","2","8","16"
"2","91002","25021","10","75","24","282001024","25012","2","8","17"
"2","91002","25021","10","77","25","282001025","25012","2","8","18"
"2","91002","25021","10","79","26","282001026","25012","2","8","18"
"2","91002","25021","10","82","27","282001027","25012","2","8","19"
"2","91002","25021","10","84","28","282001028","25012","2","8","19"
"2","91002","25021","10","86","29","282001029","25012","2","8","19"
"2","91002","25021","30","89","30","282001030","25012","2","8","20"
"2","91002","25021","10","94","31","282001031","25012","2","8","20"
"2","91002","25021","10","96","32","282001032","25012","2","8","21"
"2","91002","25021","10","99","33","282001033","25012","2","8","21"
"2","91002","25021","10","101","34","282001034","25012","2","8","22"
"2","91002","25021","10","103","35","282001035","25012","2","8","22"
"2","91002","25021","10","106","36","282001036","25012","2","8","23"
"2","91002","25021","10","108","37","282001037","25012","2","8","23"
"2","91002","25021","10","111","38","282001038","25012","2","8","24"
"2","91002","25021","10","113","39","282001039","25012","2","8","25"
"2","91002","25021","30","115","40","282001040","25012","2","8","25"
"2","91002","25021","10","121","41","282001041","25012","2","8","26"
"2","91002","25021","10","123","42","282001042","25012","2","8","27"
"2","91002","25021","10","125","43","282001043","25012","2","8","28"
"2","91002","25021","10","128","44","282001044","25012","2","8","28"
"2","91002","25021","10","130","45","282001045","25012","2","8","29"
"2","91002","25021","10","132","46","282001046","25012","2","8","30"
"2","91002","25021","10","135","47","282001047","25012","2","8","30"
"2","91002","25021","10","137","48","282001048","25012","2","8","31"
"2","91002","25021","10","139","49","282001049","25012","2","8","31"
"2","91002","25021","30","142","50","282001050","25012","2","8","31"
