a363c17b5fcd5814d2583b49f7d0a4ae858c29628e7cb79a274e74cb6275d3aa,9b2fae92465ba08f1f57c43298cd4783785067643b43706429d7a655f6d71d95,1295758c4e6398851d7daba9f8e76d02a6ce7232166c97ea71ed79e53dee74c9,2265e30e11de8df684fe4213f3957cea4fdd1a7b21643830dccb8e133e98a3cb,0bfa6b24c75bf5513b66e6f592ded7574f54fc0777ad80226e304da4c8d1dec3,f6ad0f3199ce76192371fbdc3bbaa440b7569e22f2db813663c897e07c8e656c,72da13909d40e517932ccf80b482ff4987e7e27bdf13fdbdf5c22beadfe3b774,933461273f61041f7ace188e15e86bbf6d81c6ac55da278a20eee41ef3f65e58,50cebb89d8fc508665c2ad31e37c46f5dcdc1436f4eda540cc664ece8bd42011,ed36b693fd696daef59fffba73950bddc7314e6c827adc7e86b3c150457868f2,52e1933057b7ea21ababc4386c9b61ab88ae7c3b69998484684957c59c71b8f9,79c390670751093fa863a3fb664732a832177c0fae45cdf74bdfe3d2dd6c3df8,42d830f7336ee80d76f712617001f7367a6a6693b522ef671c1d2b32e028475d,72485a97a59da77a945d217e3694eec8c3d42071ef90f1d0f04e09af81b31ac1
"401","太棒了，噗吉！\n這樣就能當\n哥哥他們的榜樣了！","綾音","10046","0","24","0","2020/07/31 12:00:00","102301","2030/12/17 14:59:59","2","0","2","24001"
"402","我們贏了！\n有噗吉和我在一起，\n不管來了怎麼樣的球，\n我都會打出全壘打的！","綾音","10046","0","24","2.21","2020/07/31 12:00:00","102301","2030/12/17 14:59:59","1","0","2","24002"
"403","好耶好耶！\n哥哥你有看見嗎？\n我有好好努力喔！","綾音","10046","0","24","0","2020/07/31 12:00:00","102301","2030/12/17 14:59:59","2","0","2","24003"
"701","特訓好像有成果了！\n照著這個步調繼續練習，\n持續進步下去吧！","旭","10046","0","24","1.99","2020/07/31 12:00:00","192201","2030/12/17 14:59:59","2","0","1","24004"
"702","很好，感覺很棒！\n看樣子我應該能夠好好地\n盡到隊長的職責。","旭","10046","0","24","2.21","2020/07/31 12:00:00","192201","2030/12/17 14:59:59","1","0","2","24005"
"703","比賽將近，\n我似乎有抓到感覺了！\n一口氣邁向全國大賽吧！","旭","10046","0","24","3.33","2020/07/31 12:00:00","192201","2030/12/17 14:59:59","2","0","1","24006"
"801","這點程度輕鬆得很，\n畢竟我們可是\n以全國大賽為目標啊。","社員3","10046","0","24","0","2020/07/31 12:00:00","192301","2030/12/17 14:59:59","2","0","2","24007"
"802","我也算是\n沙灘棒球選手啊，\n不管什麼球來了，\n我都會把它打飛到觀眾席去的。","社員3","10046","0","24","2.68","2020/07/31 12:00:00","192301","2030/12/17 14:59:59","1","0","2","24008"
"803","感覺很不錯，\n這樣比賽時應該也能好好活躍，\n我要大肆表現一番！","社員3","10046","0","24","0","2020/07/31 12:00:00","192301","2030/12/17 14:59:59","2","0","2","24009"
"501","太好了！","","10046","0","24","0","2020/07/31 12:00:00","192501","2030/12/17 14:59:59","1","0","1","24010"
"502","贏了！","","10046","0","24","0","2020/07/31 12:00:00","192501","2030/12/17 14:59:59","1","0","1","24011"
"503","感覺不錯！","","10046","0","24","0","2020/07/31 12:00:00","192501","2030/12/17 14:59:59","1","0","1","24012"
"111","哎呀～該不會我\n不小心贏了嗎？\n可能是因為我有\n看著大家練習吧～","美里","10046","0","24","5.33","2020/07/31 12:00:00","113501","2030/12/17 14:59:59","6","0","2","24013"
"112","老師想幫上大家的忙，\n所以也努力試試看了～！\n看來似乎有順利丟出去，\n太好了～！","美里","10046","0","24","6.85","2020/07/31 12:00:00","113501","2030/12/17 14:59:59","1","0","2","24014"
"113","練習辛苦了～！\n老師也很高興\n能夠幫上忙喔～♪\n接下來也一起努力加油吧～！","美里","10046","0","24","3","2020/07/31 12:00:00","113501","2030/12/17 14:59:59","1","0","2","24015"
"611","看來練習得還不夠啊，\n我甚至沒有\n拿出真本事投呢，\n再練一次！","大地","10046","0","24","6.11","2020/07/31 12:00:00","192401","2030/12/17 14:59:59","1","0","2","24016"
"612","哼，這是理所當然的結果。\n我的球才不會讓任何人打到！\n要是還想繼續打，\n我就奉陪到底！","大地","10046","0","24","6.75","2020/07/31 12:00:00","192401","2030/12/17 14:59:59","1","0","2","24017"
"613","很好！\n就以這股氣勢，朝全國前進吧！\n看我用三振解決掉所有對手！","大地","10046","0","24","0","2020/07/31 12:00:00","192401","2030/12/17 14:59:59","2","0","2","24018"
"211","閃亮亮☆\n初音大勝利喲～！\n為了讓大家能更加進步，\n我也會繼續努力下去的！","初音","10046","0","24","4.52","2020/07/31 12:00:00","113401","2030/12/17 14:59:59","2","0","1","24019"
"212","好耶！我贏了！\n不管是啦啦隊還是投手，\n都交給我初音吧！","初音","10046","0","24","3.89","2020/07/31 12:00:00","113401","2030/12/17 14:59:59","2","0","1","24020"
"213","很好～就像這樣繼續\n努力吧……雖然是這麼想，\n但因為用了超能力……\n我開始想睡了……呼嚕……","初音","10046","0","24","13.49","2020/07/31 12:00:00","113401","2030/12/17 14:59:59","1","0","2","24021"
