a1b711cb1cd4b44a40c7932d84d7de3f2c738e565e942d9ff4a9451546813a8c,f7397f23b0022357ee331e79b0729dded66d95a971ae49f820718ae67280d7a7,af3a58ee3f169467635bd41c222d29872b7a9cde164eb3712f896c4930630afd,efc8056f2ef5a9194375d4292cf35f1a36fef867515bab7c046bd665e4c5b875,b903d88726d50443b0b0b54a8a135e5986eb4683db387fee7e85bdd5b726cc02
"3","1","3001","803100201","0"
"3","2","3001","803100202","0"
"3","3","3001","803100203","0"
"3","1","3002","803100204","0"
"3","2","3002","803100205","0"
"3","3","3002","803100206","0"
"3","1","3003","803100207","0"
"3","2","3003","803100208","0"
"3","3","3003","803100209","0"
"3","1","3004","803100210","0"
"3","2","3004","803100211","0"
"3","3","3004","803100212","0"
"3","1","3005","803100213","0"
"3","2","3005","803100214","0"
"3","3","3005","803100215","0"
"3","1","3006","803100216","0"
"3","2","3006","803100217","0"
"3","3","3006","803100218","0"
"3","1","3007","803100219","0"
"3","2","3007","803100220","0"
"3","3","3007","803100221","0"
