f36f5395bf91ac6d6e1348316f982c8ba3ca8fde621fcdd24b06597b510a4ff1,f419cb2cebf57e1faa9c444dee4f0a82ed374261135e22413784f2bc514a88f8,94b67331bc5cd12e887706be0e0a5237e27e034ebee2c9086fe20980b1e6581b,2b57f6822cc0e4e82d7f3ca2b8d0121ea61de23ed86f1e853ca59b6da258a92e,2c4e90f8cad5790fffc353746c0d6c24ba0ebb56acee71d10dc46406801e752f,21690d2b597638109d50b37fde21639c05e007e4ffcfe6a94ae908c266487790,d3e041eac4c5b87ff7ce982e64aa6f1a1036d42d2bf9c44539c6c6a8b3f84dd3,ebaa3df77c42511d4f0188a64c9340340be810f73dde06f0a8ec25e3ece2c678,3574f6c636991edf13392072b2d3d721ca4631b7bf003dd319c5055142eb6cd3,14cc3e61d38028f32bc7a9d5cc57c8a9eef2126b656da97275c61dcb62a0f991,e366d20362c80d8db7c1f32be42f4b1e572a0b60ae322e4c43402700effe5992,6ff3bdd188e693eb7c4b570482d6d8918d74b218acb607dd42b20b3e3e1b97af,ed0a2113c0b61be324ad28c06d87ed5d28fa655ef2114f9d983fd9cee196c532,4534273383efe07715fef979dfe0365c324ae927913158183e0a26715709c31f,952b109d056019ec061e0574d45cbbba3e355379db1d23cf6a458eb40d5c4cd4,b07de01be8990cba3cefedce95859bb6d9d556496a21a35f779a3645f224d502,52bddf98fb084928c495c93674392386d2d1fbe8d4e62f5c5c43f7c88e89bca9,0ff59744f7911b29e2c08ebde304a0d1a3f5d32d7b266bc83dbe0c64f1e93eb4,01fb7a0f49730e8258ea6eef3ff11f755535bb07946a8f2a6e4c0d281b6b10e4,84cb649cc0b98100ea8bc642cc9540d77b57ec1c4e939ead2df650c66af9e169,8ebfa4de0304464942784e210c6149d932b25694af5a85d134db04633dee7c96,eaef29140e5bf336daa318e03508ea1422c638ce020c6ae93569555a66c1295a,4ff82afdf9953a7b6a364c91982e712dcb8fb3da603ac7fb248389081f3cd0cc,4b96e7c6f357afd0edfef560bb80d04b2a82997162c62d8b5bd7d971ad67fc24,69d194a3c64d7ee1fdd9e75e2b5c6012d8156ab18eec9e8d173e4477960b48bc
"0","2015/04/01 15:00:00","1","2030/12/31 15:00:00","1","0","100101","100101","日和","1","0","100101","2.295","450","100101","7","200","日和","0","0","0","0","1","【物理】位於前衛，壓制敵方前線，精神百倍並帶著笑容的女孩。\n擁有能大幅度攻擊前衛的必殺技，以及能加強自身攻擊力的技能的攻擊者。","0"
"0","2015/04/01 15:00:00","2","2030/12/31 15:00:00","1","0","100201","100201","優衣","7","0","100201","2.27","450","100201","7","800","優衣","0","0","0","0","7","【魔法】位於最後列，恢復及輔助己方的魔法師。\n打擊力量微弱，但擁有高度魔法攻擊力，當 Rank 上升，其攻擊力及輔助能力將會取得平衡。","0"
"0","2015/04/01 15:00:00","1","2030/12/31 15:00:00","1","0","100301","100301","怜","4","0","100301","1.965","450","100301","7","250","怜","0","0","0","0","4","【物理】位於前衛，能使出單點突破來討伐敵方，是一名\n孤高的劍士。必殺技與一般技能，皆為了打倒眼前敵人而\n特化，並驅使高火力攻擊技能來壓制前線。","0"
"0","2015/04/01 15:00:00","1","2030/12/31 15:00:00","1","0","100401","100401","禊","1","0","100401","2.17","450","100401","13","205","禊","0","0","0","0","1","【物理】在最前線干擾敵人物理攻擊的淘氣少女。\n擁有能使眼前的敵人陷入黑暗狀態、命中率大幅下降之外，\n還能使一名敵人的物理攻擊力下降的技能。","0"
"0","2019/01/22 16:00:00","1","2030/12/31 15:00:00","2","0","100501","100501","茉莉","2","0","100501","2.125","450","100501","2","185","茉莉","0","0","0","0","2","【物理】以機敏的行動在敵陣穿梭的先鋒見習騎士。\n以必殺技衝進對手陣地中央，\n再攻擊自己周圍的技能來進攻對手。","0"
"0","2015/04/01 15:00:00","2","2030/12/31 15:00:00","2","0","100601","100601","茜里","6","0","100601","2.19","450","100601","14","570","茜里","0","0","0","0","6","【魔法】位於中衛，擔任魔法隊中強化與恢復的角色，是雙胞胎中的妹妹。\n擁有能大幅降低敵人魔法防禦力的技能，以及可提升魔法攻擊力及擁有恢復效果的必殺技。","0"
"0","2015/04/01 15:00:00","1","2030/12/31 15:00:00","2","0","100701","100701","宮子","3","0","100701","1.7","450","100701","14","125","宮子","0","0","0","0","3","【物理】在最前線專門閃避敵人攻擊的幽靈少女。\n以技能變身成為幽靈來躲避敵人攻擊，\n必殺技則是把敵人變成布丁吃掉。","0"
"0","2015/04/01 15:00:00","2","2030/12/31 15:00:00","2","0","100801","100801","雪","7","0","100801","2.07","450","100801","12","805","雪","0","0","0","0","21","【魔法】位於後衛，能輔助物理隊伍，是個活生生的藝術品。\n除了能提早發動己方必殺技的技能，還擁有能使敵人陷入黑暗狀態，藉此封鎖敵人物理攻擊的技能。","0"
"0","2015/04/01 15:00:00","2","2030/12/31 15:00:00","3","0","100901","100901","杏奈","5","0","100901","2.25","450","100901","11","440","杏奈","0","0","0","0","5","【魔法】可從中衛發動壓倒性的魔力來攻擊敵人，人稱之疾風之冥姬。\n施展必殺技能雖能給予敵軍全體大規模的傷害，\n然而卻因這份魔力過於強大，對自己也有相當的風險。","0"
"0","2015/04/01 15:00:00","2","2030/12/31 15:00:00","3","0","101001","101001","真步","7","0","101001","2.27","450","101001","4","795","真步","0","0","0","0","7","【魔法】位於後衛，負責支援己方的童話少女。\n擁有可加強己方全體，恢復ＴＰ之必殺技，\n以及可恢復ＨＰ，使敵方陷入黑暗的技能，能使戰況好轉。","0"
