ed0a540a0d5392b360dfd438c628bc9107ee69df85b4e75e77eefce3006010d5,7d556fd18ab775f8f8f44da7f372d7eb3fa9e26f2b00cdf7696c31a647826e45,39060048eae95d078583a54e48356d537953e21b4599e53292cd8c4fe3d49d40,04c798875a13b050e927e801377500b9449a3f0a2a712a02648269eeb99b7181,f92d1c67bb58022fda4fa03eda8c8370f9afc95502ea3373527493a7ac7d4c85
"1","1001","1","0","0"
"1","1002","2","0","0"
"1","1003","3","0","0"
"1","1004","4","0","0"
"2","2001","1","0","0"
"2","2002","2","0","0"
"2","2003","3","0","0"
"2","2004","4","0","0"
"2","2101","1","0","1"
"2","2102","2","0","1"
"2","2103","3","0","1"
"2","2104","4","0","1"
"2","2111","11","10001","2"
"2","2112","12","10001","2"
"2","2113","13","10001","2"
"3","3001","1","0","0"
"3","3002","2","0","0"
"3","3003","3","0","0"
"3","3004","4","0","0"
"4","4001","1","0","0"
"4","4002","2","0","0"
"4","4003","3","0","0"
"4","4004","4","0","0"
"4","4005","100","0","0"
"5","5010","10101","0","1"
"5","5020","10201","1","2"
"5","5021","10202","2","2"
"5","5030","10301","0","3"
"5","5031","10301","1","3"
"5","5040","10302","0","4"
"5","5050","10303","0","5"
"5","5060","10304","0","6"
"6","6001","90001","0","1"
"6","6002","90001","0","2"
"6","6003","90001","1","2"
"6","6006","90001","0","3"
"6","6007","91101","1","3"
"6","6008","91201","2","3"
"6","6009","91301","3","3"
"6","6010","90001","0","4"
"6","6011","91101","1","4"
"6","6012","91201","2","4"
"6","6013","91301","3","4"
"6","6014","90001","0","5"
"6","6015","91101","1","5"
"6","6016","91201","2","5"
"6","6017","91301","3","5"
"6","6018","90001","0","6"
"6","6019","91101","1","6"
"6","6020","91201","2","6"
"6","6021","91301","3","6"
"6","6022","92001","0","7"
"6","6023","92101","1","7"
"6","6024","92201","2","7"
"6","6025","92301","3","7"
"6","6026","92401","4","7"
"6","6027","92001","0","8"
"6","6028","92101","1","8"
"6","6029","92201","2","8"
"6","6030","92301","3","8"
"6","6031","92401","4","8"
"6","6032","92001","0","9"
"6","6033","92101","1","9"
"6","6034","92201","2","9"
"6","6035","92301","3","9"
"6","6036","92401","4","9"
"7","7000","90002","0","0"
"7","7001","90002","1","0"
"7","7002","90003","2","0"
"7","7003","90002","1","2"
"7","7004","90003","2","2"
"7","7005","91102","1","3"
"7","7006","91103","2","3"
"7","7007","91102","1","4"
"7","7008","91103","2","4"
"7","7009","91102","1","5"
"7","7010","91103","2","5"
"7","7011","91102","1","6"
"7","7012","91103","2","6"
"7","7013","92102","1","7"
"7","7014","92103","2","7"
"7","7015","92102","1","8"
"7","7016","92103","2","8"
"7","7017","92102","1","9"
"7","7018","92103","2","9"
"9","9001","20101","0","0"
"10","10001","20201","0","0"
"10","10002","20202","0","1"
"101","10180","10501","0","8"
"100","100001","1","0","1"
"100","100002","1","0","2"
"100","100003","2","0","3"
"100","100004","2","0","4"
"100","100005","2","0","5"
"100","100006","2","0","6"
"100","100007","3","0","7"
"100","100008","3","0","8"
"100","100009","3","0","9"
"101","980001","10301","0","98001"
"101","980002","10402","2","98001"
"101","980011","10401","1","98011"
"101","980012","10402","2","98012"
