8e4685b6cc980cf5a5e2d53c76dfc7b61e18d10326552cf6b9f5a3c328928d6b,e317e2273ce581a7e7b1d351a413bd9955c27f3c833f8646f05537d2988e91c0,01cdedc349d50a172cce0b1b77e19668236a4e73d1f13f58a65b0431b3518ea7,3049691af315c0b763dc49146d74a97d45119c1235c3b3095aae661047226574,b93dac76da3d546515be23f2b727cc3c572b792ebe4dad4716c5bc09763109d1,188a771c6730a96ce3696e3ed3abc96375f9a21e3d1fd9ef66e8d7689cfdbea7,c57f10125984c8db2f9dbb844e2a5b16187098ecfdfdc81be4059e17e45eeaf9,8d2402db708821826e42f5c86732b787ddae8eda4ecb2b7f6217d51a62449704,0fed6b7db115abbabeada02a96f215b19db8c89710ccb6559cd8beeea601d2a3,e7306bd9bf9959cc1dd438095985f825be462f030a2318c8552dd2d2e7ac11f4,7645966c5506b64f463f64a14d01f991696218fbe7f039bdbd41f834ece604f6
"2","0","0","25","只有兩人的元旦日出","10157107","0","8","10128","5128071","91002"
"2","0","5128071","25","新家的必備條件","0","0","8","10128","5128072","91002"
"2","0","5128072","25","其實比誰都還要","0","0","8","10128","5128073","91002"
"2","0","5128073","25","想要一家人\n一起珍惜的事","0","0","8","10128","5128074","91002"
"2","0","5128074","50","誓約的諾言","0","0","8","10128","5128075","91002"
"3","0","0","25","染血的訂婚通知","10157107","0","8","10128","5128081","91002"
"3","0","5128081","25","漂泊之人的尋家路","0","0","8","10128","5128082","91002"
"3","0","5128082","25","珍愛時光","0","0","8","10128","5128083","91002"
"3","0","5128083","25","東國的\n家族文化","0","0","8","10128","5128084","91002"
"3","0","5128084","50","傳達真誠的愛","0","0","8","10128","5128085","91002"
"4","0","5128075","0","口頭約定是禍端","0","5128085","0","10128","5128091","0"
"4","11001271","5128091","0","不容退讓的家庭味道","0","0","0","10128","5128092","0"
"1","0","0","0","夢境說書人的邀請","10157107","0","0","10128","5128161","0"
