4f5f84189056c664511e00388b781c2815cb85b9508518b8af87ff48504b24d4,b223dfa513b7bcbf0394524dd5930d575e91a24d803e491d61b6b6934bc4af8c,01d18c07d8a62d63bb7972be4b5f8e03758f2141d89c1dc04d2dee1702aa908a,18d779227b13dfde200126431e1c8f368a8e25a3ecfc414d0c941449716ab88d,34de6c3ec5f11267c3625258196c167c7dc6d1c14906b98a15119a6d1425a969,60f9164511569e8de66cb50b486c903cbedf0fd1dea370848a39c0dd4be57bb0,a26af20ed823ec6ab2d0b667d7d698125f16a21501178609e57b1271a4283647,22f2921d6c8adcec5a59f36c762ed5992f4010fa22a9a7193227718b799f0950,f243307e0e45ff9feb6c06cb41fb897792c160c6afe8f273d28f1117abe5d250,fe0cea5a919ea4df95f3d37d4653fa7bab37a5d2e4b535f4ad020d5573707d6f,c97377aa27d65e2baa780a27108859af1dc95f6ed584ce4d2a70c86938e83d29,e349cd6edf4b133ed4fbc810577ae6d9f545a7df269301159ae46c3ac3467cf1,4e8e10577e7af1715cc5683a768c663e79acc4c3fed689c1bc877f0c1267b490,30793368f65a35f7b600c9ea2af0378a650f0cd5b840eeae9caf06e90fa9a5f4
"30","10","0","1.5","-30","100000","0","0","1005001","10050","1.7","0","0","2"
"-17","0","10050101","1.5","25","100000","0","-40","1005001","10050","1.7","0.03","1","1"
"-32","10","0","1.5","-47","100000","0","-23","1005001","10050","1.7","0","0","3"
"30","10","0","1.5","-30","100000","0","0","1005002","10050","1.7","0","0","2"
"-17","0","10050201","1.5","25","100000","0","-40","1005002","10050","1.7","0.03","1","1"
"-32","10","0","1.5","-47","100000","0","-23","1005002","10050","1.7","0","0","3"
"30","10","0","1.5","-30","100000","0","0","1005003","10050","1.7","0","0","2"
"-17","0","10050301","1.5","25","100000","0","-40","1005003","10050","1.7","0.03","1","1"
"-32","10","0","1.5","-47","100000","0","-23","1005003","10050","1.7","0","0","3"
"30","10","0","1.5","-30","100000","0","0","1005004","10050","1.7","0","0","2"
"-17","0","10050401","1.5","25","100000","0","-40","1005004","10050","1.7","0.03","1","1"
"-32","10","0","1.5","-47","100000","0","-23","1005004","10050","1.7","0","0","3"
"30","10","0","1.5","-30","100000","0","0","1005005","10050","1.7","0","0","2"
"-17","0","0","1.5","25","100000","0","-40","1005005","10050","1.7","0.03","1","1"
"-32","10","0","1.5","-47","100000","0","-23","1005005","10050","1.7","0","0","3"
"30","10","0","1.5","-30","100000","0","0","1007701","10077","1.7","0","0","2"
"-17","0","10077101","1.5","25","100000","0","-40","1007701","10077","1.7","0.03","1","1"
"-32","10","0","1.5","-47","100000","0","-23","1007701","10077","1.7","0","0","3"
