33b9ec848e0d2c3e3ac0967a0bdb3e0324ab6fa947af09d6e9727afdbe1b2c32,4fb79fad765aef97cbffabdf14a7d88fde0747bbc8539d8df39aeff625bf65a0,314c63c9c0d813abadccae986427680143fc1497abe10010c0d182f9560f51d3,7987adbada9da76d51487f6a689a5e02ec9459c72aa48e3fa0d9a44aa666b863,d03dacda7cdf9c5e0d1018ef27db26eefaa0c9a41c5019c4cbef854eb13ace14,069d441ae6ca4852a1e247f3b3e324def6f631eecd05df86a1e8d29f115138ee,1394159d2cd5d74b314a7b64a367f8e22a66e9221b86e99a56cb36c121d5c3cd,d7599c3db71a98843c05f7860f1979a3013f78c98b77ee39ab33d74fc5c9dbb9,ce3f9bd362184ff1c59e7507ab6760413ebacad18c92169ce068d2471b2cc7ff,8b21710895aeb42da96bf9f5f75449d58f5208916cc7893b3edde86c8b94e645,703eb065c32f75e84da31d5d0cc6a59a24548e301cc892a2816e8b11ba706bed
"10","0","進行1場戰鬥","0","2021/12/17 16:00:00","7000","10000101","2021/12/24 15:59:59","1000","10000101","1"
"10","0","進行5場戰鬥","0","2021/12/17 16:00:00","7000","10000102","2021/12/24 15:59:59","1000","10000102","5"
"10","0","進行10場戰鬥","0","2021/12/17 16:00:00","7000","10000103","2021/12/24 15:59:59","1000","10000103","10"
"10","0","進行15場戰鬥","0","2021/12/17 16:00:00","7000","10000104","2021/12/24 15:59:59","1000","10000104","15"
"10","0","進行20場戰鬥","0","2021/12/17 16:00:00","7000","10000105","2021/12/24 15:59:59","1000","10000105","20"
"10","0","進行25場戰鬥","0","2021/12/17 16:00:00","7000","10000106","2021/12/24 15:59:59","1000","10000106","25"
"10","0","進行30場戰鬥","0","2021/12/17 16:00:00","7000","10000107","2021/12/24 15:59:59","1000","10000107","30"
"10","0","進行35場戰鬥","0","2021/12/17 16:00:00","7000","10000108","2021/12/24 15:59:59","1000","10000108","35"
"10","0","進行40場戰鬥","0","2021/12/17 16:00:00","7000","10000109","2021/12/24 15:59:59","1000","10000109","40"
"50","0","對美空造成300萬累積傷害","1005","2021/12/17 16:00:00","7001","10050501","2021/12/24 15:59:59","1005","10050501","3000000"
"50","0","對美空造成900萬累積傷害","1005","2021/12/17 16:00:00","7001","10050502","2021/12/24 15:59:59","1005","10050502","9000000"
"50","0","對美空造成1500萬累積傷害","1005","2021/12/17 16:00:00","7001","10050503","2021/12/24 15:59:59","1005","10050503","15000000"
"51","1000000","在1場戰鬥中對美空造成100萬傷害","1005","2021/12/17 16:00:00","7002","10050511","2021/12/24 15:59:59","1005","10050511","1"
"51","3000000","在1場戰鬥中對美空造成300萬傷害","1005","2021/12/17 16:00:00","7002","10050512","2021/12/24 15:59:59","1005","10050512","1"
"60","0","對蘭法造成500萬累積傷害","1006","2021/12/17 16:00:00","7001","10060601","2021/12/24 15:59:59","1006","10060601","5000000"
"60","0","對蘭法造成1500萬累積傷害","1006","2021/12/17 16:00:00","7001","10060602","2021/12/24 15:59:59","1006","10060602","15000000"
"60","0","對蘭法造成2400萬累積傷害","1006","2021/12/17 16:00:00","7001","10060603","2021/12/24 15:59:59","1006","10060603","24000000"
"61","2000000","在1場戰鬥中對蘭法造成200萬傷害","1006","2021/12/17 16:00:00","7002","10060611","2021/12/24 15:59:59","1006","10060611","1"
"61","5000000","在1場戰鬥中對蘭法造成500萬傷害","1006","2021/12/17 16:00:00","7002","10060612","2021/12/24 15:59:59","1006","10060612","1"
"70","0","對阿澤爾德造成300萬累積傷害","1007","2021/12/17 16:00:00","7001","10070701","2021/12/24 15:59:59","1007","10070701","3000000"
"70","0","對阿澤爾德造成900萬累積傷害","1007","2021/12/17 16:00:00","7001","10070702","2021/12/24 15:59:59","1007","10070702","9000000"
"70","0","對阿澤爾德造成1500萬累積傷害","1007","2021/12/17 16:00:00","7001","10070703","2021/12/24 15:59:59","1007","10070703","15000000"
"71","1000000","在1場戰鬥中對阿澤爾德造成100萬傷害","1007","2021/12/17 16:00:00","7002","10070711","2021/12/24 15:59:59","1007","10070711","1"
"71","3000000","在1場戰鬥中對阿澤爾德造成300萬傷害","1007","2021/12/17 16:00:00","7002","10070712","2021/12/24 15:59:59","1007","10070712","1"
"80","0","對卡里莎造成500萬累積傷害","1008","2021/12/17 16:00:00","7001","10080801","2021/12/24 15:59:59","1008","10080801","5000000"
"80","0","對卡里莎造成1500萬累積傷害","1008","2021/12/17 16:00:00","7001","10080802","2021/12/24 15:59:59","1008","10080802","15000000"
"80","0","對卡里莎造成2400萬累積傷害","1008","2021/12/17 16:00:00","7001","10080803","2021/12/24 15:59:59","1008","10080803","24000000"
"81","2000000","在1場戰鬥中對卡里莎造成200萬傷害","1008","2021/12/17 16:00:00","7002","10080811","2021/12/24 15:59:59","1008","10080811","1"
"81","5000000","在1場戰鬥中對卡里莎造成500萬傷害","1008","2021/12/17 16:00:00","7002","10080812","2021/12/24 15:59:59","1008","10080812","1"
