89f6aa9344969e275962d082095515fbf487c954815135097b517f5adafc5c5d,db943cf963ee93c86460e61564043f0413e2459d7b50017f434b147bb82a654a,05bad04d374a95a69dd2ee6374733a12588e2903ef3211812e9aa6ca250bef39,36d20763d76c873a3128b45ce8edad7835e584979f0bff32bcd8ae4934a5a989,460aafd90cfae7180bb4a674145b7fe2a430050f572b13c2a17ac4bfe1af4453,59028a399befbdcb54c06c506188a4251070944da93c82b747174efe2faeb40a,a46b8eba3bac74580a5a5ee289510774b2015b0f5f0c5985b3ed17752bdd0802,882dc09bba6560a657888ea70e1a47662b48ec06840543fb3c433e6a9a8d637c
"2020-06-22 16:00:00","1000001","2030-04-01 14:00:00","準備了各式各樣的\n小遊戲哦！\n要遊玩哪個小遊戲呢？","13","190801","0","1000"
"2020-06-22 16:00:00","1000002","2030-04-01 14:00:00","介紹你有趣的小遊戲！\n你要遊玩哪個\n小遊戲呢？","13","190801","0","1000"
"2020-06-22 16:00:00","1001001","2030-04-01 14:00:00","這個賣\n{0}盧幣！\n請務必購買\n遊玩哦！","13","190801","0","1001"
"2020-06-22 16:00:00","1002001","2030-04-01 14:00:00","請點擊動來動去的愛心！\n來幫忙\n靜流和惠理子\n製作巧克力蛋糕吧！","12","190801","0","1002"
"2020-06-22 16:00:00","1003001","2030-04-01 14:00:00","請拉空花，\n讓她飛得越遠越好吧！\n利用各種事件讓空花\n得到絕頂體驗吧！","11","190801","0","1003"
"2020-06-22 16:00:00","1004001","2030-04-01 14:00:00","點擊左邊右邊，\n打倒奄美魔物吧！\n釋放！\n琉球犬大迴旋踢擊！","3","190801","0","1004"
"2020-06-22 16:00:00","1005001","2030-04-01 14:00:00","要不要點擊面板，\n和龍族巢穴的大家一起\n進行接龍對決？\n用韻腳把字詞連接起來吧！","7","190801","0","1005"
"2020-09-01 16:00:00","1006001","2030-04-01 14:00:00","配合老鼠靈敏的動作，\n點擊擊退牠吧！\n和充滿幹勁的鈴一起\n保護重要的起司吧！","2","190801","0","1006"
"2021-01-06 16:00:00","1007001","2030-04-01 14:00:00","這是美里與社員們的\n打擊特訓喔！\n以全壘打為目標，\n看準擊球時機把球打出去吧。","4","190801","0","1007"
"2022-01-03 16:00:00","1008001","2030-04-01 14:00:00","使用慈樂之音代幣\n來獲得加油道具吧！\n代幣可以用盧幣來交換喔。\n","6","190801","0","1008"
"2022-04-25 16:00:00","1009001","2030-04-01 14:00:00","試著在布丁筆記本中確認\n吃掉的布丁吧！\n布丁的材料可以使用\n盧幣購買喔。","13","190801","0","1009"
"2022-08-01 16:00:00","1010001","2030-04-01 14:00:00","小隊一起來挑戰謎題看看吧！\n看是要單獨試試自己的實力，還是要和多\n位夥伴一起遊玩，請選擇\n喜歡的模式吧♪","4","190801","0","1010"
"2022-11-25 16:00:00","1011001","2030-04-01 14:00:00","在3個回合內盡情奔馳，\n以綜合排名第１名為目標吧！\n各參加角色與GP的特徵，\n也是值得注目喔♪","6","190801","0","1011"
"2024-01-17 16:00:00","1012001","2030-04-01 14:00:00","跟凱留同學、鈴奈同學一起\n用猜謎來學習吧！\n放學後兩個人單獨待在教室……\n總覺得很令人怦然心動呢♪","6","190801","0","1012"
"2024-08-15 16:00:00","1013001","2030-04-01 14:00:00","開始行軍，出發討伐魔物！\n惠理子小姐和真琴小姐她們\n那可靠的背影，\n真是令新兵們十分景仰呢♪","6","190801","0","1013"
