e059cc4a6c4cbcab390dd48dfd54b604fb67d4a3ccc5ef9251c6da5c972502dd,c5651cc506fe82b366c081a2fcf8dccacb345873c8557bf7233444ee5e7996a4,0c8b8645b629dbd23d9660ac2ceb9086e7cad0ac1b7ed4314d43503e5e3f322d,be0fc29f3521100e60c7a47370ea33c4675bd875e65bc1148ca3b97ed2397304,1e69bc55b13bc53f4495a788d55e9ec331ed0212c7454376894ff4178aa036f6,3bf3b5d6def6834cca9c70e801fd1ec3c0191e1aafd7e082a02bc6491fe21367,00b7de7870a953bcb9a590e18df8a8e7e3174493bfdda8cf3a867fc8676456c2,567c5b58f73a3094dc482174dbe321a44f1c84bfc686d94daedd1e7b4408d325,dd9ab90c52a2d66095e3bd746297ec9c17eb0534c367856b473a64c1b5e6b7fc,9ade69c945d39cfcc9e07248175a9aebc2c5dfad9584abc70612740e27ecdf30,13a259dcabe962146f43da432fc3d10b116f655f285e31e6019cf85c5d4396cd,4f4e66c23b07228a7b7be774560997b1b2d6aa6e82c9bc1f115479594ba1ab76,e8fe0db7907b4d06a80f481a489c05d406fafcde03717c4650342bfc10126e29,15b474916088e576dacfe310c89af05390ba54ab182af0308c943eab5038d337
"2030/12/17 14:59:59","10046","2","2","太棒了，噗吉！\n這樣就能當\n哥哥他們的榜樣了！","24","綾音","0","24001","401","0","0","102301","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","1","2","我們贏了！\n有噗吉和我在一起，\n不管來了怎麼樣的球，\n我都會打出全壘打的！","24","綾音","0","24002","402","2.21","0","102301","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","2","2","好耶好耶！\n哥哥你有看見嗎？\n我有好好努力喔！","24","綾音","0","24003","403","0","0","102301","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","2","1","特訓好像有成果了！\n照著這個步調繼續練習，\n持續進步下去吧！","24","旭","0","24004","701","1.99","0","192201","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","1","2","很好，感覺很棒！\n看樣子我應該能夠好好地\n盡到隊長的職責。","24","旭","0","24005","702","2.21","0","192201","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","2","1","比賽將近，\n我似乎有抓到感覺了！\n一口氣邁向全國大賽吧！","24","旭","0","24006","703","3.33","0","192201","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","2","2","這點程度輕鬆得很，\n畢竟我們可是\n以全國大賽為目標啊。","24","社員3","0","24007","801","0","0","192301","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","1","2","我也算是\n沙灘棒球選手啊，\n不管什麼球來了，\n我都會把它打飛到觀眾席去的。","24","社員3","0","24008","802","2.68","0","192301","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","2","2","感覺很不錯，\n這樣比賽時應該也能好好活躍，\n我要大肆表現一番！","24","社員3","0","24009","803","0","0","192301","2020/07/31 12:00:00"
"2030/12/17 14:59:59","10046","1","1","太好了！","24","","0","24010","501","0","0","192501","2020/07/31 12:00:00"
