ccd7a17728a7d47989823bda7dd6a53bfba7309b16c87172de0bf2605ec81bac,92e500c095bf53cc72821de77c31ee516fb2cbad4e8f3fa6b65f042772a5cd65,69cfac68c06fe8136c0ce19b17bda564091e67dcb7bb0c93af16eca74d9ef069,6e0d28f6d3c4dc6645f84fedcc1a07bd856664d3bfac268bbe5247f0f14c406b,1516f0885f15275b75b20961c5e0f1285a5c715f5e5ee3c7c8f76ba8d8c2e1ad,fe25a1811ca5690a72b658bda891d40dffdef4b0cfd7a0403d95dc54331e72f1,04678e7de4847258b54d15dc46c1a9bcc9a6e4323bb1cb744204303fa7ed2b20,828b3e18cffc630645b23b4053ce7adadff3d6806dee8c84be20b27fb8de4704,b50227ce5adcc2203a1758680cec00bcab4fd5b293e4806261847b1ca982a1fc,fc7ac13f0ce9dea1c79243ebca05dc1f18504925e6a120b3ef25a4069e0df9c9,f477287ae6f599bf93f8866e68d19086353bcfd77f83aea35f41f48bd2a4c62d,d7d75fef84711d4d2a494d2bc8b59cb15ef3b8e8e8d71a3a5a06f49039e0ae29,5076932edc880306ff57acf14c0155246aa2a47d19030c2b31eb2097cfc5a453,b62982a9b44bdb754f99dff0f7ac4d732fa2cf585179d124f699b5d215e9f395,567d648ec29a1ae075ee9b04c1b4605e0aa2501785cc550505877bfa8ae56aa6,f2f010666c0b24d77298d1cb0752d8facaa398fa1a26c7ab0bde499f9a95ebf6,a969fe7a492be00def6a7dda7bd45a2d3ea7c663c85ec4448410491c2dd51681,c6b320c3db536ab9922d1b223758c842afec521348aa0d3df3f504afc5c03fb1,393e0c708e93d2002a78ae8558490ba7eb2013637c5b2d8822ce7d9856fe74ae
"2","610010004","0","5","5010321","10010","0","1","0","90","1.5","0","0","0","","0","610010401","0","0"
"3","610010005","0","5","5010322","10010","0","2","0","90","1.5","0","108","0","","0","610010402","0","0"
"1","610010006","0","5","0","10010","0","3","0","90","1.5","0","0","0","","0","0","0","0"
"1","610011004","0","5","5011322","10011","0","1","0","90","1.5","0","0","70","","0","0","0","5011321"
"1","610011005","0","5","5011323","10011","0","2","0","90","1.5","0","0","40","","0","0","0","0"
"1","610011006","0","5","0","10011","0","3","0","90","1.5","0","0","0","","0","0","0","0"
"2","610012004","0","5","5012321","10012","600","1","3","90","1.5","0","0","0","","1","610012401","0","0"
"1","610012005","0","5","5012322","10012","0","2","0","90","1.5","0","0","51","","1","0","0","0"
"1","610012006","0","5","0","10012","0","3","0","90","1.5","0","0","0","","1","0","0","0"
"2","610013004","0","5","5013321","10013","600","1","3","90","1.5","0.9","0","0","","1","610013401","50","0"
"1","610013005","0","5","5013322","10013","0","2","0","90","1.5","1","0","50","","0","0","84","0"
"1","610013006","0","5","0","10013","0","3","0","90","1.5","1","0","0","","0","0","84","0"
"2","610015004","0","5","5015321","10015","600","1","3","90","1.5","0.9","0","0","","1","610015401","1","0"
"1","610015005","0","5","5015322","10015","0","2","0","90","1.5","1.3","0","50","","1","0","-50","0"
"1","610015006","0","5","0","10015","0","3","0","90","1.5","1.3","0","0","","1","0","-50","0"
"2","610017004","0","5","5017321","10017","600","1","3","90","1.5","0.9","0","0","","1","610017401","50","0"
"1","610017005","0","5","5017322","10017","0","2","0","90","1.5","1","0","50","","1","0","84","0"
