74a0e8d4ef2f65ef9bc670ede4c182b3ee043f0ac645e2dc995c787edca571de,3572452968e8850fb214456ccdc57048f3170cc78669c450afde9f3dcaca0918,e952a31edf88e2269d1dd78093f240a20ff67b34f2a02d8b393ad580cf7859c6,9b9c5cc9f81b36bb5d785f74005151dd131e8c11b714ae6be9351602e8a8fc26,add3f7f54093541c8e2137a09a91ee4d7cedf3b23aabd1dd84e5a2b183168dd7,211deacd63bcfdfc159649e6645b608a24299699ed388ac723f073241e518560,a0e4f3dd8a065a36f10aad37d189bf8969fabcadf3ec20f0203b26d215d09f0e
"1","1","105","3","105","105","2"
"1","2","120","3","120","105","2"
"1","3","100","3","120","100","2"
"1","4","120","3","120","105","2"
"1","5","105","3","120","105","2"
"1","6","100","3","105","100","2"
"1","7","100","3","105","120","2"
"1","8","100","3","105","100","2"
"1","9","120","3","120","105","2"
"1","10","100","3","105","120","2"
"1","11","105","3","100","100","2"
"1","12","120","3","120","105","2"
"1","13","105","3","105","105","2"
"1","14","120","3","105","105","2"
"1","15","120","3","120","120","2"
"1","16","100","3","100","100","2"
"1","17","105","3","120","120","2"
"1","18","120","3","105","120","2"
"1","19","105","3","100","105","2"
"1","20","105","3","105","100","2"
"1","21","105","3","100","100","2"
"1","22","120","3","120","120","2"
"1","23","100","3","100","105","2"
"1","24","120","3","120","120","2"
"1","25","105","3","120","105","2"
"1","26","100","3","100","100","2"
"1","27","100","3","100","100","2"
"1","28","100","3","100","100","2"
"1","29","120","3","120","120","2"
"1","30","120","3","105","105","2"
