a3e345f0bc194a1130648aa061d1d7267d26e426457fa49d81e1d3270f41c218,3be40ef87ce8547a272919c6e2e2507c8f617f1bd7acdfbb012b874d542d5093,4b6ad7152db6d78726bb9f176504f514b67ee32f1a61b493dcb0c68ad1870703,a60c03c725c22982c2f8ed4255ba4409159e827e259f4d7ac32fe31bbdf30b7e,ce4edbed03d983dd09bd8c96ec9b175584287d1db6e2928d222c1a46867008d0,0c477b595e2e08cc34fc704639d1de3e5e018ba506da283dee4d002f09098ec1,430e50d0d20a1727416183fa5824bfb23df5485aea83db427de6ea5ff0c2d8c9,3399843041605ea5ee0e3e53b5f081db286eaf85158cb0cb4cae8830f3933cbb,95e19d566ebbf90ec91d5f77860547079700f4f1b8ae0835bd732071b2da5318
"10213","萊拉耶爾 第1道","108","1","","0","5213062","0","102130108"
"10213","萊拉耶爾 第2道","109","1","","0","5213062","1","102130109"
"10213","萊拉耶爾 第3道","110","1","","0","5213064","2","102130110"
"10213","萊拉耶爾 第4道","111","1","","0","5213066","3","102130111"
"10213","萊拉耶爾 第5道","112","1","","0","5213068","4","102130112"
"10213","萊拉耶爾 第6道","113","1","","0","5213070","5","102130113"
"10213","萊拉耶爾 第7道","114","1","","0","5213072","6","102130114"
"10213","涅妃‧涅羅 第1道","208","2","","0","5213076","0","102130208"
"10213","涅妃‧涅羅 第2道","209","2","","0","5213076","1","102130209"
"10213","涅妃‧涅羅 第3道","210","2","","0","5213078","2","102130210"
"10213","涅妃‧涅羅 第4道","211","2","","0","5213080","3","102130211"
"10213","涅妃‧涅羅 第5道","212","2","","0","5213082","4","102130212"
"10213","涅妃‧涅羅 第6道","213","2","","0","5213084","5","102130213"
"10213","涅妃‧涅羅 第7道","214","2","","0","5213086","6","102130214"
"10213","薇歐莉特 第1道","308","3","","0","5213090","0","102130308"
"10213","薇歐莉特 第2道","309","3","","0","5213090","1","102130309"
"10213","薇歐莉特 第3道","310","3","","0","5213092","2","102130310"
"10213","薇歐莉特 第4道","311","3","","0","5213094","3","102130311"
"10213","薇歐莉特 第5道","312","3","","0","5213096","4","102130312"
"10213","薇歐莉特 第6道","313","3","","0","5213098","5","102130313"
"10213","薇歐莉特 第7道","314","3","","0","5213100","6","102130314"
