4a9cd8ccfc679d23b800c696f55ea29949f3807ae229f9b6f1edbf33cd004636,05d857454f7b5c7ff163f91b337b9f9264e66867fdd77b285c80c046380f504c,b0944846e9129558e35ca4484126211d172853398d3a56b4c05a9a649cdf244a,283d1321077e34653c956a2115e7056fcd1da8951b5795d65c4e58bbbb890181,d20f1c28969165e84fccc291f0a0ab618cc5da451e49ad19dd25be249a8b2978
"8","30109001","100","91002","1"
"2","30109001","10","20002","2"
"8","30109002","100","91002","3"
"12","30109002","40000","94002","4"
"8","30109003","300","91002","5"
"8","30109004","500","91002","6"
"8","30109005","500","91002","7"
"12","30109005","1000000","94002","8"
"8","30109006","500","91002","9"
"12","30109006","500000","94002","10"
"8","30110001","600","91002","11"
"12","30110006","200000","94002","12"
