cf0ae9271cef2d394deb8a87c02b898c9724b0e65f7f1894787f5327f912e58c,676edecb737dabf5e83920c9ab72ea44af3133fef07b5a8d80fa4270360c9352,c1f0ce18dc8cf121a5c17fb15f916666090f953d646f6aea35d176b7147f6542,cfdf4d07399e78dc79fc0e31cb8c1cdb4656ee5c6c5c7a3f541cf52b120ce484,7becec8150635b0754d2ef2eb2541e05e85796d22874cd16ee96403dca05cfec,e77ea1382fdf0b7c9c4a1b55e1e8cac8a79458907d6168f69ffcb5fa7c86ed00,a5eba1bb8786fba9fa8f729c7d2bbe8acad3546e15b272bd1ee53277b60abe12,54572feca8b5d3863c2605c58e78aa121cc288681c3ce81804330deaea0798bc,f1489da4246608e08e1f0c314254f459ce81b88d72e9ff73ab1efe71a2ffafcc,760c89d6be0e4a99bd1369977f2d08e2c67a2dea1f3b31984cf494078fe6079a,3997b645c8b25d4eeced67cc55e3816f91e1712db6bc029bb4c91cd2fac15672,bf34dc13859d38227fde653e2a3f8583e9a72a2e0718fb5c37eae51700ed64c0,97b8395745501209e5de618b05ce9a7b55fd292f0538df676795d63cb66c7f72,365b987c1a9306e19baf5a04c72df68352675914e0db5ce0a2ac42dc90741c14,ffb60e8e49f01a07d5729a44519b46c2bff50edd88d5f83f20d7c71269b65075,21ef62196f79f4bca76b3943dc19e9a321110ec640e562f8b6ee540c021e3a9a,72b11922dbadeedb8cbbff5bd78fce47b919389eba691320746681be449fb36b,57dca58aa7605a374007d56ab580d109045a62d4d6a3120617116f8c762fa417,28a29a8f0dc61b06c185591fdde8e4605bb64639929d9e6b32056a13a640b3b0,1b61189d0e452596770a4eb6834227827e6231edd2f40b0eed7cc1dd14b51465,779b3577da5884e551a6c72c67c05830a3bf84e833207563144666662c1e78f6,44a7e9ecb6f924c7056a663e4f80bc2d3ebdc94fc7df2ab9933d37ee53b96a4e,30c458e40ee3cc72c30748c27b43e80e7f913c9acd5db1da92529e21bf832452,79f58839ebf62d5524e07c0481c12f151832c7edf74b6e7feb956b1dbb475681,92cf009f7cc49f033056c68b70c466ff3d4652b8dd0d3145fbcc1fa1e95c9bcf,fae8a4e166bd50929e65d0bd6f03afe26aca5b0e59a84c911d1c615eca048223,1e80bb4c61ea0ec5f82e789cb7170a7ec9e9d17df61ececfc73e18e811b1c4c1,89b03ae98fcec0120e48e0e18efbdef77e5795fb274e8ea24665594d3dc236e0,ef63782896792c4bea2e50b6d80de4fda024af0204132a0aafb57b7bd7bf8d7c,5038e8dd4f5229cb79e2e37f301274de4ad51796ee5306a0fa123f3e9f8da33e,6f8cd3b84ace3bdb12bffb3692157480d50abf10c9e6780e7475d73f4f09abde,f84fe22cdf5987625552dd40da85be0f86f326daceb6b3ebe55d83320dff0b2e,e10edb69057e6d14de993f00ee16f860e9286bc8a28104fc25852f0351ca6780,290d16c88f47aaa6e6645c018463c5150d27fe13a94090d1cab4e442a8a07e11,96f1a51d6dee6b88f4df78335eb1ca5ef7456e256b8ac3a94f95e4997d237385,5b146b6efca45755a37ced8a2836989961ef93b332341c62cf4c4a0d0b393b32,d2fcb889d41f3cd40e5b52a47773131755cf07a105a62a562904e4d7a6ef68ad,dc2d17189c17bb53fc1a14ae6ceec619285d05c5706a039fff8cc8b887fb2d0a,71e284122b0207a303803deb12d032af17c3621b38d9883a5e6af7515d59468c,c065ad29a87051825832b548ec4c217aa57331ed09ee186637885b8dbaed8fdb
"10","329","10","1","200100","1","30","1","1","0","4","0","0","24","1","1","1","1","0","3","1","200000006","0","1","1","0","1","1","0","0","1","1","0","1","1","670010001","1","0","1","1"
"10","338","10","2","200100","2","30","2","2","0","9","0","0","28","2","2","2","2","0","3","2","200000006","0","2","2","0","2","2","0","0","1","2","0","2","2","670010002","1","0","1","2"
"10","347","10","3","200100","3","30","3","3","0","5","0","0","32","3","3","3","3","0","4","3","200000006","0","3","3","0","3","3","0","0","1","3","0","3","3","670010003","1","0","1","3"
"10","347","10","4","200100","4","30","4","4","0","5","0","0","32","4","4","4","4","0","4","4","200000006","0","4","4","0","4","4","0","0","1","4","0","4","4","670010004","1","0","1","4"
"10","349","10","5","200100","5","30","5","5","0","5","0","0","35","5","5","5","5","0","4","5","200000006","0","5","5","0","5","5","0","0","1","5","0","5","5","670010005","1","0","1","5"
"10","367","10","6","200100","6","30","6","6","0","7","0","0","48","6","6","6","6","0","6","6","200000006","0","6","6","0","6","6","0","0","1","6","0","6","6","670010006","1","0","1","6"
"10","413","10","7","200100","7","30","7","7","0","8","0","0","55","7","7","7","7","0","7","7","200000006","0","7","7","0","7","7","0","0","1","7","0","7","7","670010007","1","0","1","7"
"10","459","10","8","200100","8","30","8","8","0","9","0","0","62","8","8","8","8","0","7","8","200000006","0","8","8","0","8","8","0","0","1","8","0","8","8","670010008","1","0","1","8"
"10","505","10","9","200100","9","30","9","9","0","9","0","0","68","9","9","9","9","0","8","9","200000006","0","9","9","0","9","9","0","0","1","9","0","9","9","670010009","1","0","1","9"
"10","551","10","10","200100","10","30","10","10","0","10","0","0","75","10","10","10","10","0","9","10","200000006","0","10","10","0","10","10","0","0","1","10","0","10","10","670010010","1","0","1","10"
"10","598","10","11","200100","11","30","11","11","0","11","0","0","82","11","11","11","11","0","9","11","200000006","0","11","11","0","11","11","0","0","1","11","0","11","11","670010011","1","0","1","11"
"10","644","10","12","200100","12","30","12","12","0","12","0","0","89","12","12","12","12","0","10","12","200000006","0","12","12","0","12","12","0","0","1","12","0","12","12","670010012","1","0","1","12"
"10","690","10","13","200100","13","30","13","13","0","12","0","0","95","13","13","13","13","0","11","13","200000006","0","13","13","0","13","13","0","0","1","13","0","13","13","670010013","1","0","1","13"
"10","736","10","14","200100","14","30","14","14","0","13","0","0","102","14","14","14","14","0","11","14","200000006","0","14","14","0","14","14","0","0","1","14","0","14","14","670010014","1","0","1","14"
"10","782","10","15","200100","15","30","15","15","0","14","0","0","109","15","15","15","15","0","12","15","200000006","0","15","15","0","15","15","0","0","1","15","0","15","15","670010015","1","0","1","15"
"10","851","10","16","200100","16","30","16","16","0","15","0","0","123","16","16","16","16","0","12","16","200000006","0","16","16","0","16","16","0","0","1","16","0","16","16","670010016","1","0","1","16"
"10","919","10","17","200100","17","30","17","17","0","15","0","0","136","17","17","17","17","0","12","17","200000006","0","17","17","0","17","17","0","0","1","17","0","17","17","670010017","1","0","1","17"
"10","1296","10","18","200100","18","30","18","18","0","15","0","0","164","18","18","18","18","0","13","18","200000006","0","18","18","0","18","18","0","0","1","18","0","18","18","670010018","1","0","1","18"
"10","1482","10","19","200100","19","30","19","19","0","15","0","0","177","19","19","19","19","0","13","19","200000006","0","19","19","0","19","19","0","0","1","19","0","19","19","670010019","1","0","1","19"
