aad62c3ee0a62fb1a7b83e32970d09bf2dd06c097d1c152879cff4b15f99d170,95f4fbf0b719a90d1e2290f62c87d82b9b776fd2b12f8096083a7e2b99bb8950,e3ded5c927d5cb03f4a403b25779bcce9aabf012a0d176047d59ee1c0634244a,743b37870cb02a3af567648e77fcef5912fbc6484097f235ac5f981b1d5b6dc2,25063329cb32dbd03ea2da7bd118388db898bf6ce5935c8f0b0a59adc4adb86c,21862c41e268e67b5daa042da14dad75860e7dacd820b4ef9787160e020b5319,c70f2882a6befca7d47bd8d5fb64dc599256b26b880d7721adf67e18c1d75762,9c23d6346372b75f4c6cd6caf7e32e3a800bbca061f0daec5f00554f78a973ac
"0","0","600060001","610201001","600130001","0","600090001","0"
"0","0","600090001","610201002","600070001","0","600300101","0"
"0","600230001","600380001","610201003","600420001","0","600050001","0"
"0","0","600090103","610201004","600110003","0","600300003","0"
"0","0","600120001","610201005","600390003","0","600300003","0"
"0","600340003","600290103","610201006","600160003","0","600380102","0"
"0","0","600370004","610201007","600440004","0","600060004","0"
"0","0","600330002","610201008","600080004","0","600210104","0"
"0","600160004","600270004","610201009","600420004","0","600380103","0"
"0","0","600380009","610201010","600340010","0","600320010","0"
"0","0","600050009","610201011","600140010","0","600300010","0"
"0","600130110","600330008","610201012","600250010","0","600290210","0"
"0","0","600030011","610201013","600020011","0","600280011","0"
"0","0","600210111","610201014","600280011","0","600010011","0"
"0","600210111","600040010","610201015","600100011","0","600030011","0"
"0","0","600060013","610201016","600130013","0","600090013","0"
"0","0","600090013","610201017","600070013","0","600300113","0"
"0","600230013","600380012","610201018","600420013","0","600050012","0"
"0","0","600090114","610201019","600110014","0","600300014","0"
"0","0","600120012","610201020","600390014","0","600300014","0"
"0","600340014","600290114","610201021","600160014","0","600380113","0"
"0","0","600370016","610201022","600440016","0","600060016","0"
"0","0","600330014","610201023","600080016","0","600210116","0"
"0","600160016","600270016","610201024","600420016","0","600380115","0"
"0","0","600380016","610201025","600340017","0","600320017","0"
"0","0","600050016","610201026","600140017","0","600300017","0"
"0","600130117","600330015","610201027","600250017","0","600290217","0"
"0","0","600030019","610201028","600020019","0","600280019","0"
"0","0","600210119","610201029","600280019","0","600010019","0"
"0","600210119","600040018","610201030","600100019","0","600030019","0"
"0","0","600030020","610201031","600390020","0","600290120","0"
"0","0","600060020","610201032","600300120","0","600230018","0"
"0","600020020","600130120","610201033","600050020","0","600040020","0"
"0","0","600090022","610201034","600110022","0","600400022","0"
"0","0","600070022","610201035","600430022","0","600090122","0"
"0","600140022","600120022","610201036","600420022","0","600380122","0"
"0","0","600090023","610201037","600110023","0","600400023","0"
"0","0","600280022","610201038","600010021","0","600270023","0"
"0","600150023","600240023","610201039","600220023","0","600380123","0"
"0","0","610201101","610201101","0","0","0","0"
"0","0","610201201","610201102","0","0","0","0"
"0","0","610201202","610201103","0","0","0","0"
"0","0","610201203","610201104","0","0","0","0"
"0","0","610201301","610201105","0","0","0","0"
"0","0","610201302","610201106","0","0","0","0"
"0","0","610201303","610201107","0","0","0","0"
"0","0","610201151","610201151","0","0","0","0"
"0","610201453","610201251","610201152","610201452","0","610201451","0"
"0","0","610201252","610201153","0","0","0","0"
"0","0","610201253","610201154","0","0","0","0"
"0","610201553","610201351","610201155","610201552","0","610201551","0"
"0","0","610201352","610201156","0","0","0","0"
"0","0","610201353","610201157","0","0","0","0"
"0","0","610202101","610202101","0","0","0","0"
"0","610202403","610202201","610202102","610202402","0","610202401","610202404"
"0","0","610202202","610202103","0","0","0","0"
