e730aed26d0da5ab09164f4bf0fea821e8a4a24c51ff6294ef436ea6c84c814b,7edeeaadce35827f2c9a0c0339cfc65fc655396ba1647db7a34b7d9c9f2c482e,97b4c6eb0aa7c006ae078aa8fd7109830f018d74ccb9b5dbf42443b90e843b10,235b048958b18ea3a5b50b0e4f0260071f87e496bf8d742473ca21b67bec863f,73d690fd6e4440581f528d83b0b588a45548951e35471e5053c279f890da6ccf,8026468a9cb1890da0b4f532c077146c851c6e26ae82bf3e5ae8580a708f939b,3719dccb18725374aaa2bc7877efa679739c101abd18779142035111d46ce249,604e91170a2c0894c3c0f03291458bb61fc56bac1c2a4fa676aa81df99198692,211424761b42044a95cbd5b7ae7435f1074cfe7b105669712e5bd2c252962a28,cd2121dc33856615c863b2cd45ea30486f68190372111aa8ef22406fbc0b3d61,017843fb7263eaf9db55a553a8542cf72562baf7f1aa65d45d4b8d5ab679f520,3fe90da991c2ae57fefcae57969c85f1af4921e8f1549219d79c96a150f57a8b,48dd5a520b2c68fd631cb2916babfeaa2dde1ae0d171e8ca6232fb5e99f6428e,454070f3c9603f651a5992951290634459bda8a1a4df321e5b7ba1fcfbc2e5ca,2ab1211e2175122df10944bc4cc34199ea7af6bfc6da3cd839914be07f70a287
"1","1","40001","2","0","0","20012","7","0","1","0","0","2001","0","20011"
"1","1","40001","2","0","0","20022","7","0","1","0","0","2002","0","20021"
"1","1","40001","2","0","0","20032","7","0","1","0","0","2003","0","20031"
"1","1","40001","2","0","0","20042","7","0","1","0","0","2004","0","20041"
"1","1","40001","2","0","0","20052","7","0","1","0","0","2005","0","20051"
"1","1","40001","2","0","0","20062","7","0","1","0","0","2006","0","20061"
"1","1","40001","2","0","0","20072","7","0","1","0","0","2007","0","20071"
"1","1","40001","2","0","0","20082","7","0","1","0","0","2008","0","20081"
"1","1","40001","2","0","0","20092","7","0","1","0","0","2009","0","20091"
"1","1","40001","2","0","0","20102","7","0","1","0","0","2010","0","20101"
"1","1","40001","2","0","0","20112","7","0","1","0","0","2011","0","20111"
"1","1","40001","2","0","0","20122","7","0","1","0","0","2012","0","20121"
"1","1","40001","2","0","0","20132","7","0","1","0","0","2013","0","20131"
"1","1","40001","2","0","0","20142","7","0","1","0","0","2014","0","20141"
"1","1","40001","2","0","0","20152","7","0","1","0","0","2015","0","20151"
"1","1","40001","2","0","0","20162","7","0","1","0","0","2016","0","20161"
"1","1","40001","2","0","0","20172","7","0","1","0","0","2017","0","20171"
"1","1","40001","2","0","0","20182","7","0","1","0","0","2018","0","20181"
"1","1","40001","2","0","0","20192","7","0","1","0","0","2019","0","20191"
"1","1","40001","2","0","0","20202","7","0","1","0","0","2020","0","20201"
"1","1","40001","2","0","0","20212","7","0","1","0","0","2021","0","20211"
"1","1","40001","2","0","0","20222","7","0","1","0","0","2022","0","20221"
"1","1","40001","2","0","0","20232","7","0","1","0","0","2023","0","20231"
"1","1","40001","2","0","0","20242","7","0","1","0","0","2024","0","20241"
"1","1","40001","2","0","0","20252","7","0","1","0","0","2025","0","20251"
"1","1","40001","2","0","0","20262","7","0","1","0","0","2026","0","20261"
"1","1","40001","2","0","0","20272","7","0","1","0","0","2027","0","20271"
"1","1","40001","2","0","0","20282","7","0","1","0","0","2028","0","20281"
"1","1","40001","1","0","0","30012","7","0","1","40","0","3001","0","30011"
"1","1","40001","1","0","0","30022","7","0","5","40","0","3002","0","30021"
"1","1","40001","1","0","0","30032","7","0","6","40","0","3003","0","30031"
"2","1","40001","1","0","0","30042","0","0","6","-58","0","3004","0","30041"
"1","1","40001","1","0","0","30052","-20","0","1","-42","0","3005","0","30051"
"1","1","40001","1","0","0","30062","-20","0","5","-42","0","3006","0","30061"
"1","1","40001","1","0","0","30072","40","0","1","0","0","3007","0","30071"
"1","1","40001","1","0","0","30082","40","0","5","0","0","3008","0","30081"
"1","1","40001","1","0","0","30092","40","0","6","0","0","3009","0","30091"
"1","2","40001","1","0","0","40012","0","0","1","0","0","4001","0","40011"
"1","2","40001","1","0","0","40022","0","0","5","0","0","4002","0","40021"
"1","2","40001","1","0","0","40052","0","0","1","0","0","4005","0","40051"
"1","2","40001","1","0","0","40062","0","0","5","0","0","4006","0","40061"
"2","2","40001","1","0","0","40072","0","0","6","0","0","4007","0","40071"
"2","2","40004","1","0","0","40092","0","0","6","0","0","4009","0","40091"
"1","2","40004","1","0","0","40102","0","0","1","0","0","4010","0","40101"
"1","2","40004","1","0","0","40112","0","0","5","0","0","4011","0","40111"
"1","2","40001","1","0","0","40122","0","0","6","0","0","4012","0","40121"
"1","2","40004","1","0","0","40132","0","0","1","0","0","4013","0","40131"
"1","2","40004","1","0","0","40142","0","0","5","0","0","4014","0","40141"
"1","2","40001","1","0","0","40152","0","0","6","0","0","4015","0","40151"
"1","2","40004","1","0","0","40162","0","0","1","0","0","4016","0","40161"
"1","2","40004","1","0","0","40172","0","0","5","0","0","4017","0","40171"
"1","2","40001","1","0","0","40182","0","0","6","0","0","4018","0","40181"
