056a8906ae6c78849c6a82291e75ed9ba62e1f249c153389b248da55dfe101d1,0cc4ebdfc9e507f58a17f006e59188963f84742e077b3a05b6e263070ad35806,75e187d2f4610890ccd52ce34bc617eed7f2b01b12502f4993ab0d58b89488d6,253b81f56b221e87f6f5647d50299fd890daa1e75ad1dd376c418e5916e7f59d,c670319b5ab23a86ab232fe15afdb7f0e5838347c8c97acdb0b369aeedbda559,7442d22bba86bf09a799837b6a56399dd5fc4f45ad4eeb42d55ee0e29097af03,06711ad3e2706f72b8a96343bfe5a76162118fc48ac856d60103bc7c682db827,918ff8d1e2495cf6b7adea2fee4acaeb012031f3d2fcbc4d73ced7f6c9287e1e,64dff4a071ce35e71b5d4dfa5fe563e3176154612aa6911d78a43e1693f4a88c,2685f88b9362e142a6d363dcc918c896424b70ffe24c984107022ff5d7df5722,6e1d08a356c889bdf795b87d36e4452b6d470729bf7e566ebd895aa433d70103,801bf24e020dab6e0c6489905bc4f52d7edd7d9f482ee28454167bb5b7fda47a
"大蜂蜜雲霄飛車1","10146","5146061","105801","106001","1","20","8","105901","91002","1","2024/10/01 16:00:00"
"大蜂蜜雲霄飛車2","10146","5146062","100901","0","1","20","8","0","91002","1","2024/10/02 16:00:00"
"大蜂蜜雲霄飛車3","10146","5146063","106601","0","1","20","8","0","91002","1","2024/10/04 16:00:00"
"漂浮之花摩天輪1","10146","5146064","105801","0","1","20","8","131501","91002","2","2024/10/02 16:00:00"
"漂浮之花摩天輪2","10146","5146065","130901","0","1","20","8","131001","91002","2","2024/10/04 16:00:00"
"漂浮之花摩天輪3","10146","5146066","104001","0","1","20","8","0","91002","2","2024/10/03 16:00:00"
"莓果糖咖啡杯1","10146","5146067","106501","0","1","20","8","106601","91002","3","2024/10/01 16:00:00"
"莓果糖咖啡杯2","10146","5146068","105801","0","1","20","8","106001","91002","3","2024/10/03 16:00:00"
"莓果糖咖啡杯3","10146","5146069","131301","0","1","20","8","131401","91002","3","2024/10/02 16:00:00"
"潛入3D世界1","10146","5146070","102101","0","1","20","8","0","91002","4","2024/10/03 16:00:00"
"潛入3D世界2","10146","5146071","130901","0","1","20","8","0","91002","4","2024/10/01 16:00:00"
"表演者介紹：植物羊","10146","5146072","0","0","2","20","8","0","91002","0","2024/10/01 16:00:00"
"表演者介紹：啾二＆啾三","10146","5146073","0","0","2","20","8","0","91002","0","2024/10/01 16:00:00"
"表演者介紹：玩具王","10146","5146074","0","0","2","20","8","0","91002","0","2024/10/01 16:00:00"
"表演者介紹：招財貓","10146","5146075","0","0","2","20","8","0","91002","0","2024/10/01 16:00:00"
"魔物遊行","10146","5146901","0","0","3","1","15","0","11001313","0","2024/10/01 16:00:00"
