5ad08bfbc7e70b31347a455fdcd93a3df24ef3e0a2a0eaca1841c8bd7c426743,d71c32e7d17235b8e3f7534faef01f9b038dec78106c5a3c502de02b47261e65,82dc42d8982a3e4f01fb55207255a119bd910599c4c3f9347e618153b92ce67b,cdbe327c3ca6f7ec618d9b8002daef3e1bf8330893a719bf665a606b6303aba4,5504d765b77ae4b7b8962d36cd5b33b56b24f8ce8c4851369267b203b6f3932f,28b94934e8ae93334d916f1b7d97870fa362f3b83512105259d8681c34d91cde,299e3ce2c08828102b7e4830d3f18a9b2c8e001c275ef4a5fc6929cfbcb0bcd8,9ad663db6687e579673a88f9df8a8e11627c2951f44a35f281f6515f99c84e4f
"10050650","30050236","0","3000","0","0","30050237","10050640"
"10050670","30050413","0","3000","0","0","30050414","10050659"
"10050735","30050421","0","3000","0","30050423","30050422","10050723"
"10050360","30050424","0","3000","0","30050426","30050425","10050818"
"10060413","30060187","0","3000","30060190","30060189","30060188","10060402"
"10060492","30060191","0","3000","0","30060193","30060192","10060480"
"10060545","30060194","0","3000","30060197","30060196","30060195","10060542"
"10060606","30060208","30060212","3000","30060211","30060210","30060209","10060591"
"10070626","30070186","0","3000","30070189","30070188","30070187","10070608"
"10070926","30070198","30070202","3000","30070201","30070200","30070199","10070914"
"10071052","30070206","30070210","3000","30070209","30070208","30070207","10071038"
"10071131","30070193","0","3000","30070196","30070195","30070194","10071117"
"10080650","30080236","0","3000","0","0","30080237","10080640"
"10080670","30080413","0","3000","0","0","30080414","10080659"
"10080735","30080421","0","3000","0","30080423","30080422","10080723"
"10080360","30080424","0","3000","0","30080426","30080425","10080818"
"10090413","30090187","0","3000","30090190","30090189","30090188","10090402"
"10090492","30090191","0","3000","0","30090193","30090192","10090480"
"10090545","30090194","0","3000","30090197","30090196","30090195","10090542"
"10090606","30090208","30090212","3000","30090211","30090210","30090209","10090591"
