5ad08bfbc7e70b31347a455fdcd93a3df24ef3e0a2a0eaca1841c8bd7c426743,9ad663db6687e579673a88f9df8a8e11627c2951f44a35f281f6515f99c84e4f,299e3ce2c08828102b7e4830d3f18a9b2c8e001c275ef4a5fc6929cfbcb0bcd8,82dc42d8982a3e4f01fb55207255a119bd910599c4c3f9347e618153b92ce67b,d71c32e7d17235b8e3f7534faef01f9b038dec78106c5a3c502de02b47261e65,cdbe327c3ca6f7ec618d9b8002daef3e1bf8330893a719bf665a606b6303aba4,28b94934e8ae93334d916f1b7d97870fa362f3b83512105259d8681c34d91cde,5504d765b77ae4b7b8962d36cd5b33b56b24f8ce8c4851369267b203b6f3932f
"10050650","10050640","30050237","0","30050236","3000","0","0"
"10050670","10050659","30050414","0","30050413","3000","0","0"
"10050735","10050723","30050422","0","30050421","3000","30050423","0"
"10050360","10050818","30050425","0","30050424","3000","30050426","0"
"10060413","10060402","30060188","0","30060187","3000","30060189","30060190"
"10060492","10060480","30060192","0","30060191","3000","30060193","0"
"10060545","10060542","30060195","0","30060194","3000","30060196","30060197"
"10060606","10060591","30060209","30060212","30060208","3000","30060210","30060211"
"10070626","10070608","30070187","0","30070186","3000","30070188","30070189"
"10070926","10070914","30070199","30070202","30070198","3000","30070200","30070201"
"10071052","10071038","30070207","30070210","30070206","3000","30070208","30070209"
"10071131","10071117","30070194","0","30070193","3000","30070195","30070196"
"10080650","10080640","30080237","0","30080236","3000","0","0"
"10080670","10080659","30080414","0","30080413","3000","0","0"
"10080735","10080723","30080422","0","30080421","3000","30080423","0"
"10080360","10080818","30080425","0","30080424","3000","30080426","0"
"10090413","10090402","30090188","0","30090187","3000","30090189","30090190"
"10090492","10090480","30090192","0","30090191","3000","30090193","0"
"10090545","10090542","30090195","0","30090194","3000","30090196","30090197"
"10090606","10090591","30090209","30090212","30090208","3000","30090210","30090211"
