82dc42d8982a3e4f01fb55207255a119bd910599c4c3f9347e618153b92ce67b,299e3ce2c08828102b7e4830d3f18a9b2c8e001c275ef4a5fc6929cfbcb0bcd8,5ad08bfbc7e70b31347a455fdcd93a3df24ef3e0a2a0eaca1841c8bd7c426743,d71c32e7d17235b8e3f7534faef01f9b038dec78106c5a3c502de02b47261e65,cdbe327c3ca6f7ec618d9b8002daef3e1bf8330893a719bf665a606b6303aba4,28b94934e8ae93334d916f1b7d97870fa362f3b83512105259d8681c34d91cde,9ad663db6687e579673a88f9df8a8e11627c2951f44a35f281f6515f99c84e4f,5504d765b77ae4b7b8962d36cd5b33b56b24f8ce8c4851369267b203b6f3932f
"0","30050237","10050650","30050236","3000","0","10050640","0"
"0","30050414","10050670","30050413","3000","0","10050659","0"
"0","30050422","10050735","30050421","3000","30050423","10050723","0"
"0","30050425","10050360","30050424","3000","30050426","10050818","0"
"0","30060188","10060413","30060187","3000","30060189","10060402","30060190"
"0","30060192","10060492","30060191","3000","30060193","10060480","0"
"0","30060195","10060545","30060194","3000","30060196","10060542","30060197"
"30060212","30060209","10060606","30060208","3000","30060210","10060591","30060211"
"0","30070187","10070626","30070186","3000","30070188","10070608","30070189"
"30070202","30070199","10070926","30070198","3000","30070200","10070914","30070201"
"30070210","30070207","10071052","30070206","3000","30070208","10071038","30070209"
"0","30070194","10071131","30070193","3000","30070195","10071117","30070196"
"0","30080237","10080650","30080236","3000","0","10080640","0"
"0","30080414","10080670","30080413","3000","0","10080659","0"
"0","30080422","10080735","30080421","3000","30080423","10080723","0"
"0","30080425","10080360","30080424","3000","30080426","10080818","0"
"0","30090188","10090413","30090187","3000","30090189","10090402","30090190"
"0","30090192","10090492","30090191","3000","30090193","10090480","0"
"0","30090195","10090545","30090194","3000","30090196","10090542","30090197"
"30090212","30090209","10090606","30090208","3000","30090210","10090591","30090211"
