51529dffe16a3ab554c1bdd7832cbf74073852124fccb2b351a03587aae395d6,99e4cb60a32ec7f1ff41c77ed49c074a82c25b6830ea4699a778a9cea62b438e,bdd48a96f06562d4e3da6dbd36586b33734553a3e2ae8ef953093630c55238b4,d98107c9f6f8c400c0e3e54e7d1aa4a25679685b2f1a1b30138467a650b91262,fb60d8eff47cee0a8907f1df0fa2ac4c20ac74f39161289f4be9a84f6a9a4485,f151a53fd1c6fda5d21d11c88b76dfd8fe87443bb30b4ddbb90eb6d2b134e487,7dfa2503094987380dcd99e7e3c3bd707e65fc74863098609badfcb038d8c36e,53b9852683933cc9f74b9a1f30b48328c5a951f75b19c0fb618a2d4798e5f108,96cfbd979b4d7ee276009407722a5a33bf2cf7ceafe59f95ae5b8b7c24305ed2,9591be28ace88873666e12b4386f4d61be84181c3f2458e04a0b1526dbdbf232,566a0d311e1919afb42a022d489cf521b1484bfaffb21dc20812590fd670bd0b,014a0c4ea74ad7ab812247f87573860142a2ed3671467f41916309d346d46daa,51e8cc8f26315b197f66dc1d47e01e4067a66cc70d05d4ad3232aa4c70c3efc8,e23f2971189f2f5522519817bbfd765c76f98dfb3aef0a9794e6ce402520bd55,589cc24caefcc7db21f246cfcfa3b4bf4b9a05e8c2c583eff8529eca0bd9937f,86d7daa2cfe40859ca1ab29699a784ce7b9cce1196c77c34b3a73fda45e0a74d,73701fec1673e694482a15531a58078b15166ef78d63b3ef6efa1b11708b4cf2,56f8dcd29e043c5a4e084d6cf661a0108312e32197648ff80aed6e4efde8cd4f,21dea88f28c74020a7229e520468e5df98d850c4f3edc06936d598130959bf0a
"12","1","1","5","90005","2","500000","500","4","94002","1","2","90008","140001","4","140000","10","32001","2"
"0","2","1","10","94002","8","0","200","2","0","1","1","91002","25001","4","140001","500000","32001","12"
"12","1","1","15","90005","2","750000","500","4","94002","2","2","90008","140001","4","140000","5","32001","2"
"0","2","1","20","94002","8","0","300","2","0","2","1","91002","25001","4","140001","750000","32001","12"
"12","1","1","25","90005","2","750000","500","4","94002","2","2","90008","140001","4","140000","5","32001","2"
"0","2","1","30","94002","8","0","500","2","0","3","1","91002","25001","4","140001","750000","32001","12"
"12","1","1","35","90005","2","1000000","750","4","94002","3","2","90008","140001","4","140000","5","32001","2"
"0","2","1","40","94002","2","0","1000","2","0","4","1","90008","25001","4","140001","1000000","32001","12"
"12","1","1","45","90005","2","2000000","1250","4","94002","4","2","90008","140001","4","140000","5","32001","2"
"0","2","1","50","94002","2","0","1500","2","0","4","1","90008","25001","4","140001","2000000","32001","12"
"12","1","1","5","90005","2","500000","500","4","94002","1","2","90008","140001","4","140000","10","32002","2"
"12","1","1","10","25001","8","500000","200","4","94002","1","2","91002","140001","2","21951","1","32002","2"
"12","1","1","15","90005","2","750000","700","4","94002","2","2","90008","140001","4","140000","5","32002","2"
"0","2","1","20","94002","8","0","300","2","0","2","1","91002","25001","4","140001","750000","32002","12"
"12","1","1","25","90005","2","750000","700","4","94002","2","2","90008","140001","4","140000","5","32002","2"
"0","2","1","30","94002","8","0","500","2","0","3","1","91002","25001","4","140001","750000","32002","12"
"12","1","1","35","90005","2","1000000","1000","4","94002","3","2","90008","140001","4","140000","5","32002","2"
