519ca220493ae1191ca22e5deabaffe97a95143dc2279646e7d3369b49fa8478,d2661c1d4018723334bec1343b4cc27e7d7415d14d0cab743b36c272731cf1e3,7fec90e1f97e1985f58668104a1ce783a9d7c488649ad5d7429868c69b2202f3,2413814d7b42575f3692e65f4a23651878d14790f154fa8ddec8152547802dc7,8c5a32409601b41d5fc49869fc8115727b3547c01a23c75eeae8f39288638af3,a04388395d8504c10380470b2f332f0f975d27b54d471ada5d0b6d05835bd462,1346d64235baa23dbe1f4405d8025cb20dc2198b6bb21ce952d18a7c274e3460
"0","1","0","獲得料理活動","3","1","0"
"0","2","0","獲得骰子活動1","1","2","0"
"0","2","0","獲得骰子活動2","2","3","0"
"1","3","3","跳過計算回合數","0","4","0"
"0","4","2","里程+100%","100","5","1"
"0","5","2","小遊戲里程+100%","100","6","1"
"0","6","3","商店打折活動","300","7","1"
"0","6","3","商店打折活動","300","8","1"
"2","3","3","跳過計算回合數1","0","98001","0"
"1","3","3","跳過計算回合數1","0","98011","0"
"2","3","3","跳過計算回合數2","0","98012","0"
