1346d64235baa23dbe1f4405d8025cb20dc2198b6bb21ce952d18a7c274e3460,8c5a32409601b41d5fc49869fc8115727b3547c01a23c75eeae8f39288638af3,d2661c1d4018723334bec1343b4cc27e7d7415d14d0cab743b36c272731cf1e3,2413814d7b42575f3692e65f4a23651878d14790f154fa8ddec8152547802dc7,519ca220493ae1191ca22e5deabaffe97a95143dc2279646e7d3369b49fa8478,7fec90e1f97e1985f58668104a1ce783a9d7c488649ad5d7429868c69b2202f3,a04388395d8504c10380470b2f332f0f975d27b54d471ada5d0b6d05835bd462
"0","3","1","獲得料理活動","0","0","1"
"0","1","2","獲得骰子活動1","0","0","2"
"0","2","2","獲得骰子活動2","0","0","3"
"0","0","3","跳過計算回合數","1","3","4"
"1","100","4","里程+100%","0","2","5"
"1","100","5","小遊戲里程+100%","0","2","6"
"1","300","6","商店打折活動","0","3","7"
"1","300","6","商店打折活動","0","3","8"
"0","0","3","跳過計算回合數1","2","3","98001"
"0","0","3","跳過計算回合數1","1","3","98011"
"0","0","3","跳過計算回合數2","2","3","98012"
