c9fe1df8626a2f1c92e47d3fedfd046a9cdf5d91d44f9e94b83dd117db5d9d7e,c121feaeb5c2821b042f947da146661bb9c6747ee98d4b4b3712087afcac4034,603088589b339f129c017a9302fc4a1fd5b2996102dbbb3761aac370b3eebf07,5ebf8369b2b3b69073f57a2851b2b7e7b5bf01dfc71b64719d3d0bb106e763bc,c8e9d317c1f20eb8defd86d39ef38752c0b3528f539a97c59193269d31bba521,3f6730dede595e810d5055a911598799c03995a1e7ed59175431607ccaadc14c,e17f059bc82ef356e906ead45fe1381c63ef06fdc0b52a9b7e43e24b6aa8d829,f3e0dfd6b5e95e32c5bce30bb1146c130d84caf6eb664d36a15bba53b6c79f4d,2eb2428d3848852819888679ae8457721db96100d62fa1495527c9c5ca94ded6,cc3128065c9537b0a6d584939a5f2bbffadfef82266a831917f2aee495d18148,848cf6b6a28c59691f8d8960bf2c1bdb04332268737906c882b39656bc84f5e9,d358a5d275bf6080547d6b6b9ae82ce3736548e28c91af6cbaa312ac4abd39d4
"105801","5146061","1","20","105901","91002","8","106001","10146","1","2024/10/01 16:00:00","大蜂蜜雲霄飛車1"
"100901","5146062","1","20","0","91002","8","0","10146","1","2024/10/02 16:00:00","大蜂蜜雲霄飛車2"
"106601","5146063","1","20","0","91002","8","0","10146","1","2024/10/04 16:00:00","大蜂蜜雲霄飛車3"
"105801","5146064","1","20","131501","91002","8","0","10146","2","2024/10/02 16:00:00","漂浮之花摩天輪1"
"130901","5146065","1","20","131001","91002","8","0","10146","2","2024/10/04 16:00:00","漂浮之花摩天輪2"
"104001","5146066","1","20","0","91002","8","0","10146","2","2024/10/03 16:00:00","漂浮之花摩天輪3"
"106501","5146067","1","20","106601","91002","8","0","10146","3","2024/10/01 16:00:00","莓果糖咖啡杯1"
"105801","5146068","1","20","106001","91002","8","0","10146","3","2024/10/03 16:00:00","莓果糖咖啡杯2"
"131301","5146069","1","20","131401","91002","8","0","10146","3","2024/10/02 16:00:00","莓果糖咖啡杯3"
"102101","5146070","1","20","0","91002","8","0","10146","4","2024/10/03 16:00:00","潛入3D世界1"
"130901","5146071","1","20","0","91002","8","0","10146","4","2024/10/01 16:00:00","潛入3D世界2"
"0","5146072","2","20","0","91002","8","0","10146","0","2024/10/01 16:00:00","表演者介紹：植物羊"
"0","5146073","2","20","0","91002","8","0","10146","0","2024/10/01 16:00:00","表演者介紹：啾二＆啾三"
"0","5146074","2","20","0","91002","8","0","10146","0","2024/10/01 16:00:00","表演者介紹：玩具王"
"0","5146075","2","20","0","91002","8","0","10146","0","2024/10/01 16:00:00","表演者介紹：招財貓"
"0","5146901","3","1","0","11001313","15","0","10146","0","2024/10/01 16:00:00","魔物遊行"
