9d18f214679ed7f45a111b27c6a3eddaf704fb428dfd0dcbbafb440b108c27e2,76dc367e039480cc1a3a6bc6a2516f2de8a495ce3d776c0cb0a06c8ad9a7875f,3696e4c202f52db34c5754d739245e11c47e0fff76a7a838dc86767d8652492a,03f0dbaa5b99eca53167fb36979b00d243dd50c1e34c4ca84174af90602a3090,0ad9893793eab64cd45092933895b4d504497fd6b2766a8cb95a6d2b191cd96a,bf763db8c81b62e36a342366bd24af33e012d9a1305ce9adce1ac752634d33d5,4ee1833091fd7841fe8b28df0db8f6cb16661884d4307a9cab4ff7c9f4f96f47,3694a43e8274ca506d7b136b96f3d22ff62c721d1cc98b3c695cf5bc235b182f,418776c6aeb91d4d1c2ec21b2d4393e65122fc5fe66f357c4edc7fd8fcc1b262,2f6045d22298181a93fec8ea18b4e8f104588a729729723d73965cc9a389376a,e296231a9c3a035ccc6f39e66613f23b0a01fb655e19d48afe3d088958ef620c,be870b3ff8c4f3f90c5d679695f1192eeb216efa7eced1576df601e33feb0d38,1124900d72153973871a91d5740078581519b5e16d72972cc7912f01a01bed22,1dfdec76dd4fdd8e3eb78d1b22fa5a12db23ca95404fd3dde578ff0e2397495c,ad777a5df14248a0ed0f5e2a5d7c439dacb41acd26b98b88a04c41d09c56f609,25907d2eb37e7c7ed0c3996341fe4b2802657f890eedbbc09eeab0c5d9f06677,0938ec6265d7bd2289ac4935e9707b4a38b0c13c0b6aa4cd74d615c4ea88c3dc,fa823ca4e368fd8a359b9b4450bf724fde3717d0cad5342b853cb408aa765704
"0","20000","0","0","0","0","0","0","0","5000","12","1","0","0","0","0","94002","分數累積獲得 20000 分"
"0","40000","0","0","0","0","0","0","0","10000","12","2","0","0","0","0","94002","分數累積獲得 40000 分"
"0","60000","0","0","0","0","0","0","0","15000","12","3","0","0","0","0","94002","分數累積獲得 60000 分"
"0","80000","0","0","0","0","0","0","0","20000","12","4","0","0","0","0","94002","分數累積獲得 80000 分"
"0","100000","0","5","0","23001","2","0","0","50","8","5","0","0","0","0","91002","分數累積獲得 100000 分"
"0","120000","0","0","0","0","0","0","0","25000","12","6","0","0","0","0","94002","分數累積獲得 120000 分"
"0","140000","0","0","0","0","0","0","0","30000","12","7","0","0","0","0","94002","分數累積獲得 140000 分"
"0","160000","0","0","0","0","0","0","0","35000","12","8","0","0","0","0","94002","分數累積獲得 160000 分"
"0","180000","0","0","0","0","0","0","0","40000","12","9","0","0","0","0","94002","分數累積獲得 180000 分"
"0","200000","0","5","0","23001","2","0","0","50","8","10","0","0","0","0","91002","分數累積獲得 200000 分"
"0","220000","0","0","0","0","0","0","0","55000","12","11","0","0","0","0","94002","分數累積獲得 220000 分"
"0","240000","0","0","0","0","0","0","0","35000","12","12","0","0","0","0","94002","分數累積獲得 240000 分"
"0","260000","0","0","0","0","0","0","0","40000","12","13","0","0","0","0","94002","分數累積獲得 260000 分"
"0","280000","0","0","0","0","0","0","0","45000","12","14","0","0","0","0","94002","分數累積獲得 280000 分"
"0","300000","0","10","0","23001","2","0","0","150","8","15","0","0","0","0","91002","分數累積獲得 300000 分"
