64a79b05d97635cf6bd1de92609b14f7bcdad63b46b7400bb8c450626be8dd3f,4d54a161be5f6cf1f27bcf8f6afdaea6dfb94806f9ca662a81256fb563196267,7fcc287746848b2104d5c04815cf55d8d7f675149acc9ad475c266ad9d3cb56c,f3b9ffb887c76bbc4422d7bb53a55a0456c6328af443f4f6acba799d726905d8,3fa7baf8e708d918a2fdb474157439a044f3bed961d9c4a3c4ae148abeae0b52,413f7333d3ab2da32c9a6993d99f870a9ae1aa2b950c7fe2caa5d7cae74d12e4,c45adc43b7452671f063ec2b8d4a6f32c3f0235f22fe1925ffe16e2c14e36596,2a0cae313b19820c523d594b3e02bc408877850f14ed43d776224cf1489697af
"0","1005","1005","戰鬥開始時，我方的TP提升250。","0","2","TP提升250","1005"
"0","1006","1006","戰鬥開始時，我方的TP提升250。","0","2","TP提升250","1006"
"0","1007","1007","戰鬥開始時，我方的TP提升250。","0","2","TP提升250","1007"
"0","1008","1008","戰鬥開始時，我方的TP提升250。","0","2","TP提升250","1008"
"36000","100501","100501","戰鬥開始90秒內，使敵人的物理攻擊力下降。","7469000000000","1","降低物理攻擊90秒","1005"
"36000","100502","100502","戰鬥開始90秒內，使敵人的物理攻擊力下降。","7161000000000","1","降低物理攻擊90秒","1005"
"36000","100503","100503","戰鬥開始90秒內，使敵人的物理防禦力下降。","6930000000000","1","降低物理防禦90秒","1005"
"36000","100504","100504","戰鬥開始90秒內，使敵人的魔法防禦力下降。","6699000000000","1","降低魔法防禦90秒","1005"
"36000","100505","100505","戰鬥開始90秒內，使敵人的物理攻擊力下降。","6468000000000","1","降低物理攻擊90秒","1005"
"36000","100506","100506","戰鬥開始90秒內，使敵人的物理攻擊力下降。","6160000000000","1","降低物理攻擊90秒","1005"
"36000","100507","100507","戰鬥開始90秒內，使敵人的物理防禦力下降。","5929000000000","1","降低物理防禦90秒","1005"
"36000","100508","100508","戰鬥開始90秒內，使敵人的魔法防禦力下降。","5698000000000","1","降低魔法防禦90秒","1005"
"36000","100509","100509","戰鬥開始90秒內，使敵人的物理攻擊力下降。","5390000000000","1","降低物理攻擊90秒","1005"
