f073a60ee0d1edb5e31ddaf6ed51833dab892b1bac3c2d970074693dfd1963ee,4e95279bc706b986afd5db701321690668ff4f89da32fab161ec68084e8e1442,152c12ea97729bbd575c7cbb4d8571a10e93689445ea12ffeae1bfafca93c144,fce14034fe930d5f196d8c98dfe17c57b214398ee0892254c6ba6b7fc7ac2d32,5382fa3003a5f691bd567cf3d463d88af09a1ec323cfe916c3718ead7a3ae3cf
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","1","火屬性獎勵特大幅度提升","92407010","12"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","2","提升物理防禦力（不可降低）","92407010","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","3","提升魔法防禦力（不可降低）","92407010","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","4","賦予TP上升的上限","92407010","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","5","降低HP吸收","92407010","9"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","6","火屬性獎勵特大幅度提升","92407020","12"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","7","提升物理防禦力（不可降低）","92407020","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","8","提升魔法防禦力（不可降低）","92407020","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","9","賦予TP上升的上限","92407020","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","10","降低HP吸收","92407020","9"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","11","火屬性獎勵特大幅度提升","92407030","12"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","12","提升物理防禦力（不可降低）","92407030","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","13","提升魔法防禦力（不可降低）","92407030","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","14","賦予TP上升的上限","92407030","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","15","降低HP吸收","92407030","9"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","16","火屬性獎勵特大幅度提升","92407110","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","17","傷害值衰減","92407110","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","18","提升物理防禦力（不可降低）","92407110","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","19","提升魔法防禦力（不可降低）","92407110","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","20","賦予TP上升的上限","92407110","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","21","降低HP吸收","92407110","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","22","減少降低TP","92407110","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","23","火屬性獎勵特大幅度提升","92407120","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","24","傷害值衰減","92407120","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","25","提升物理防禦力（不可降低）","92407120","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","26","提升魔法防禦力（不可降低）","92407120","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","27","賦予TP上升的上限","92407120","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","28","降低HP吸收","92407120","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","29","減少降低TP","92407120","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","30","火屬性獎勵特大幅度提升","92407130","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","31","傷害值衰減","92407130","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","32","提升物理防禦力（不可降低）","92407130","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","33","提升魔法防禦力（不可降低）","92407130","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","34","賦予TP上升的上限","92407130","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","35","降低HP吸收","92407130","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","36","減少降低TP","92407130","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","37","火屬性獎勵特大幅度提升","92407140","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","38","傷害值衰減","92407140","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","39","提升物理防禦力（不可降低）","92407140","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","40","提升魔法防禦力（不可降低）","92407140","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","41","賦予TP上升的上限","92407140","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","42","降低HP吸收","92407140","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","43","減少降低TP","92407140","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","44","火屬性獎勵特大幅度提升","92407210","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","45","傷害值衰減","92407210","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","46","提升物理防禦力（不可降低）","92407210","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","47","提升魔法防禦力（不可降低）","92407210","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","48","賦予TP上升的上限","92407210","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","49","降低HP吸收","92407210","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","50","減少降低TP","92407210","boss_tp_down_cut"
"戰鬥開始時，所有怪物特大幅度恢復自身的ＴＰ。","51","TP恢復","92407210","energy_recover"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","52","火屬性獎勵特大幅度提升","92407220","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","53","傷害值衰減","92407220","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","54","提升物理防禦力（不可降低）","92407220","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","55","提升魔法防禦力（不可降低）","92407220","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","56","賦予TP上升的上限","92407220","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","57","降低HP吸收","92407220","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","58","減少降低TP","92407220","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","59","火屬性獎勵特大幅度提升","92407230","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","60","傷害值衰減","92407230","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","61","提升物理防禦力（不可降低）","92407230","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","62","提升魔法防禦力（不可降低）","92407230","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","63","賦予TP上升的上限","92407230","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","64","降低HP吸收","92407230","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","65","減少降低TP","92407230","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","66","火屬性獎勵特大幅度提升","92407240","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","67","傷害值衰減","92407240","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","68","提升物理防禦力（不可降低）","92407240","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","69","提升魔法防禦力（不可降低）","92407240","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","70","賦予TP上升的上限","92407240","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","71","降低HP吸收","92407240","9"
"戰鬥開始時，所有怪物的ＴＰ下降為\n減少100％的狀態。","72","減少降低TP","92407240","boss_tp_down_cut"
"編組4位以上的火屬性角色時，會強化角色的屬性獎勵。火屬性以外的屬性獎勵無效。","73","火屬性獎勵特大幅度提升","92407310","12"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","74","傷害值衰減","92407310","18"
"戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","75","提升物理防禦力（不可降低）","92407310","boss_def_lower_limit"
"戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","76","提升魔法防禦力（不可降低）","92407310","boss_magic_def_lower_limit"
"戰鬥開始時，將全體角色ＴＰ上升的上限值提升至150。","77","賦予TP上升的上限","92407310","17"
"戰鬥開始時，大幅度降低全體角色的ＨＰ吸收。","78","降低HP吸收","92407310","9"
