69c168eb361040d02a9a23756deb2d86d67cefdf8634a07d1cc1aa383596776f,fbc3aed2d59b7867ce6efb7103646ef20f5e20f88c6f1dc6e4e9bd1b01069052,51376d75c078f9323e9010da0bed63186080ce9afc54b8c7bda970aaf819c508,d563fe508f8a5c28ff1c3caa1b91081e5af67da56d6be2ce132651e98be596cc,cf3f27717691359e91ffea89cec4f0c9ae6f88b4d2465a469a3bb6929b002cab,379d9a6c0950459f661f10e87cd067fcf59411e41d5f5ba80ff281e54f9fdca9,934f0cb1e26bf451b70bdb321ab54d5ae288194c36033054db7987a00bcd4867
"開幕式","0","4","0","1006401","20036104","10064"
"開幕式","0","3","0","1006402","20036104","10064"
"賽跑","0","1","1006402","1006403","20036104","10064"
"賽跑","0","4","1006402","1006404","20036104","10064"
"賽跑","0","2","1006402","1006405","20036104","10064"
"騎馬戰","0","2","1006405","1006406","20036104","10064"
"騎馬戰","0","4","1006405","1006407","20036104","10064"
"午休時間","0","3","1006406","1006408","20036106","10064"
"午休時間","0","4","1006406","1006409","20036106","10064"
"各種學術文化展覽","0","3","1006408","1006410","20036106","10064"
"各種學術文化展覽","0","4","1006408","1006411","20036106","10064"
"各種學術文化展覽","0","1","1006408","1006412","20036106","10064"
"女僕咖啡廳","0","4","1006410","1006413","20036108","10064"
"女僕咖啡廳","0","3","1006410","1006414","20036108","10064"
"綜合接力賽","0","3","1006414","1006415","20036113","10064"
"綜合接力賽","0","4","1006414","1006416","20036113","10064"
"頒獎典禮","2003601","1","1006415","1006417","0","10064"
"頒獎典禮","2003601","4","1006415","1006418","0","10064"
"頒獎典禮","2003601","2","1006415","1006419","0","10064"
"閉幕式","2003601","3","1006419","1006420","0","10064"
"閉幕式","2003601","4","1006419","1006421","0","10064"
"達成動畫","2003601","4","1006420","1006422","0","10064"
