98b1759ff64a21fd7c301d0054e64d55c6af429fd134edc2d986b7a5cc2fca24,ed647041b5f8a55b4c1eaf452f3dab1a996fdf8db26268822ba004d1d4eba4e1,1c40b429bbce3ad012866772244ef395147727199c54fe4fb343414ade67ab84,124ed62fc1537e0d3520c00fe18e28be9531a761dc13025b74765f4ec30b6151,5384efa49476407168e826aad0adb1ec6545dead7ed4059303f8a4ecefb4f113,502cf05993643f27bda9709e908f457e5fec5fbf37d08c9553313b29017bf114,333b97fd970fe6fa49385a7b7b16160d51d189812c3f63e6d15e2cd7b0df3b5b,c10dc43b72434c5b4c6a23878e538694d802a8c5238d204bf4ec016351ef684a,82b1788c3f01f7e99ed6341313cdcf5a3cd2450e44fd654f5450ced2194e479d,02b7bb5aca5031dedd3c935a42958199706ea1ce0d6029ef2f9644c7ad5e7ca2,9ace62fc6b9896b8e05d8f3447bb5ad56ac05d188cf81b31ee210ceaccb9742b,398afdfd70c5e562b3576629073caf30ebe82ead3ee59e7105d3e271a66331a0,3151fb1ea93b040b3735e3a840bb8741806ededb5a3e13d642344e33599bf84e,c8510ce5aa36afd82046f35ed601897146a421fb7e681405b7ba6d6a9575d0a4,66c7d80a1a9db05dca064c88bb1563b8aedba41406d1e677659d55e5e4857932,03c17e8571826ec9032ffad8eb26c0332015ae3f4e3caed508c136892c532afd,e1b0212edb6903a77be00eba7656ae02d26924bc67f177eccc1f03e0df579585,bbc90598c55c74b9bacb74ad67fe264c509fd7bd6baba67248aac5e558aa4e82,9364ea84b2ebde4767564d28eb687303cc37cbcba933149f375ca2a611ce22ef,e18b32d982d5c2093410861482f75c59142d141dae86a638ee24889923824c89,205ee6899f4fd7f46e0e518a2bcd1e1a61af90ec5099e81c200a2ac4da986025,f1fab45a4eabdcb117f2da47c9117f2bb190d4cd83158a1ba0fa711add2259bd,afa39aee98c75cfa85bd9a8020f56e4cbfa2d6e6cc4964b33153eaca979daca9,27be0bf7f64156ab17256f703a18e416a16b855426aa88862e469e2a63974387,18760cfe4dd8e7461b0a713f588ec21c4af53f7096c7120fdbc85bfbae9a849d,92d4329f748eacb32d9377d333ea04f0157536ba51d7363d62146b044e0786cb,d43c8479d46f0ea12793472a415d0a8094b7573af54c4d3a1c3f78f6bf1f308a,b0beeebea1e957145cdc0890eec04e38818c3958504880b15ace3443f2808d4d,c7aeb904309fc046af95e65c24efd2e7a67309d58eb2e26c1e1eef9ee8481dd1,abff40210263fbaf42e561020096f43f8a32e7ff8f4234298d01197ce143e7b6,e6a8c5d718d9a8d55619e066e545fbe8f46df55a2e33c74bf957904f5b9c9415,8ca2cdd8dd2ad5e6ffe15ab22f6911a7c864c42c7b74762a729480cff0cdb482,730ba9c6e984780498c0651ff79b0fa8a4bcec5f4feca8c26f0af00cb9e36e2a,7337e23c0618155cbb09a8c68a7f0bb6107d4ccc26f0bf3dd45ac43e1c02285a,33df282b8b74c1cca28a94566718bfce31fe909aace783b093d006e828ace6aa,183c382732907b3bffd90ed083823dd6beef5b3aa82e920f28b8952d334f1f64,914bb9031cb4e4e51034b56ad3ecf5be37acd55cd3b5a8771ccff8c1b3d95b38,f2788d582b25962479bac153eca4a14ea182c54d7b50011469725a44e4239232,a0e690ae7881175b83be0b12b58066014fd1c668dafc675d3e7cfcff6de3d4d0,3d8d77955511047eead07f1624f4fd10a8bb669f5cbc441e55291fa2c4da5e70,cfa8e2d6c739392670247e7c8b9542124985d871cb8d5b80f82f2d9c8766930e,b4d176387d788038e5d4c0e5a1ad1d8c173b021a347a0d486e3d8054e9c709de,a9f563e45200db8029d58666545e982e02039c7844147fc322e65da25daf8e1f,1cec1db8b50401bb5ba7b50ba8061eb5607b4676e0f816d681b7f07115461c46
"0","11","1","11","30","82","0","600010011","11","0","11","200100","11","0","11","0","11","1","598","11","11","1","10","9","200000006","11","11","11","0","0","10","0","11","11","0","11","0","11","0","11","0","0","擲岩猴","11"
"0","19","1","19","30","177","0","600010019","19","0","19","200100","19","0","15","0","19","1","1482","19","19","1","10","13","200000006","19","19","19","0","0","10","0","19","19","0","19","0","19","0","19","0","0","擲岩猴","19"
"0","21","1","21","30","206","0","600010021","21","0","21","200100","21","0","18","0","21","1","1784","21","21","1","10","15","200000006","21","21","21","0","0","10","0","21","21","0","21","0","21","0","21","0","0","擲岩猴","21"
"0","11","1","11","30","138","0","600020011","11","0","11","200200","11","0","11","0","11","1","954","11","11","1","10","13","200000001","11","11","11","0","0","10","0","11","11","0","11","0","11","0","11","0","0","氣球鳥","11"
"0","19","1","19","30","215","0","600020019","19","0","19","200200","19","0","14","0","19","1","2090","19","19","1","10","16","200000001","19","19","19","0","0","10","0","19","19","0","19","0","19","0","19","0","0","氣球鳥","19"
"0","20","1","20","30","223","0","600020020","20","0","20","200200","20","0","14","0","20","1","2296","20","20","1","10","16","200000001","20","20","20","0","0","10","0","20","20","0","20","0","20","0","20","0","0","氣球鳥","20"
"0","11","1","11","30","0","0","600030011","11","0","11","200300","11","0","22","0","11","1","1076","11","11","1","10","13","200000008","11","11","11","0","0","10","0","11","11","0","11","0","11","123","11","0","0","守門者","11"
"0","19","1","19","30","0","0","600030019","19","0","19","200300","19","0","27","0","19","1","2828","19","19","1","10","18","200000008","19","19","19","0","0","10","0","19","19","0","19","0","19","200","19","0","0","守門者","19"
"0","20","1","20","30","0","0","600030020","20","0","20","200300","20","0","27","0","20","1","2939","20","20","1","10","18","200000008","20","20","20","0","0","10","0","20","20","0","20","0","20","203","20","0","0","守門者","20"
"0","10","1","10","30","247","0","600040010","10","0","10","200400","10","0","8","0","10","1","1702","10","10","1","10","6","200000001","10","10","10","0","0","10","0","10","10","0","10","0","10","0","10","0","0","狼人","10"
"0","18","1","18","30","426","0","600040018","18","0","18","200400","18","0","14","0","18","1","3229","18","18","1","10","11","200000001","18","18","18","0","0","10","0","18","18","0","18","0","18","0","18","0","0","狼人","18"
"0","20","1","20","30","490","0","600040020","20","0","20","200400","20","0","16","0","20","1","3804","20","20","1","10","13","200000001","20","20","20","0","0","10","0","20","20","0","20","0","20","0","20","0","0","狼人","20"
"0","1","1","1","30","40","0","600050001","1","0","1","200500","1","0","3","0","1","1","320","1","1","1","10","2","200000001","1","1","1","0","0","10","0","1","1","0","1","0","1","0","1","0","0","狂野角鹿","1"
"0","9","1","9","30","194","0","600050009","9","0","9","200500","9","0","10","0","9","1","1634","9","9","1","10","8","200000001","9","9","9","0","0","10","0","9","9","0","9","0","9","0","9","0","0","狂野角鹿","9"
"0","12","1","12","30","231","0","600050012","12","0","12","200500","12","0","13","0","12","1","1711","12","12","1","10","10","200000001","12","12","12","0","0","10","0","12","12","0","12","0","12","0","12","0","0","狂野角鹿","12"
"0","16","1","16","30","301","0","600050016","16","0","16","200500","16","0","16","0","16","1","2290","16","16","1","10","12","200000001","16","16","16","0","0","10","0","16","16","0","16","0","16","0","16","0","0","狂野角鹿","16"
"0","20","1","20","30","446","0","600050020","20","0","20","200500","20","0","18","0","20","1","3871","20","20","1","10","13","200000001","20","20","20","0","0","10","0","20","20","0","20","0","20","0","20","0","0","狂野角鹿","20"
"0","1","1","1","30","28","0","600060001","1","0","1","200600","1","0","3","0","1","1","154","1","1","1","10","2","200000001","1","1","1","0","0","10","0","1","1","0","1","0","1","0","1","0","0","鼠妖","1"
