ae17f5a959fc2a48caac829511dfd37870b645c9bbb359a68e1f63e330ebd881,d0e802a1c0695e45794f5fcfa9114b990b94827fafbdc636a2f20d7175693bd0,a32d732da9fb17af2a3d726dbffd1b410ad5da9a531a38102ac9586df4309632,277b582fd1ad72011b6c0ff34ba18edc1ee635def792c9942060e735811e7663,10179cc55f4ca7c8009565225a1e70cb98451a4645c267d90df3d351b7c25198
"53001","22","10001001","10001","1"
"53004","22","10001002","10001","1"
"53007","22","10001003","10001","1"
"53010","22","10001004","10001","1"
"53013","22","10001005","10001","1"
"53016","22","10001006","10001","1"
"53019","22","10001007","10001","1"
"53022","22","10001008","10001","1"
"53002","22","10001009","10001","1"
"53005","22","10001010","10001","1"
"53008","22","10001011","10001","1"
"53011","22","10001012","10001","1"
"53014","22","10001013","10001","1"
"53017","22","10001014","10001","1"
"53020","22","10001015","10001","1"
"53023","22","10001016","10001","1"
"53001","22","10002001","10002","1"
"53002","22","10002002","10002","1"
"53005","22","10002003","10002","1"
"53008","22","10002004","10002","1"
"53011","22","10002005","10002","1"
"53014","22","10002006","10002","1"
"53017","22","10002007","10002","1"
"53020","22","10002008","10002","1"
"53023","22","10002009","10002","1"
"53003","22","10002010","10002","1"
"53006","22","10002011","10002","1"
"53009","22","10002012","10002","1"
"53012","22","10002013","10002","1"
"53015","22","10002014","10002","1"
"53018","22","10002015","10002","1"
"53021","22","10002016","10002","1"
"53024","22","10002017","10002","1"
"53002","22","10003001","10003","1"
"53002","22","10003002","10003","2"
"53003","22","10003003","10003","1"
"53003","22","10003004","10003","2"
"53003","22","10003005","10003","3"
"53006","22","10003006","10003","1"
"53009","22","10003007","10003","1"
"53012","22","10003008","10003","1"
"53015","22","10003009","10003","1"
"53018","22","10003010","10003","1"
"53021","22","10003011","10003","1"
"53024","22","10003012","10003","1"
"53006","22","10003013","10003","2"
"53009","22","10003014","10003","2"
"53012","22","10003015","10003","2"
"53015","22","10003016","10003","2"
"53018","22","10003017","10003","2"
"53021","22","10003018","10003","2"
"53024","22","10003019","10003","2"
"53006","22","10003020","10003","3"
"53009","22","10003021","10003","3"
"53012","22","10003022","10003","3"
"53015","22","10003023","10003","3"
"53018","22","10003024","10003","3"
"53021","22","10003025","10003","3"
"53024","22","10003026","10003","3"
