86fdc8033f44cb6bf71d285665dd6d5f7f3db49be70be364ab768083689cd617,97c45c7940beb12bb5e0da0d871a97f5c24855dd1842720d5d97c227915fc1d0,fb403b871d562e55de1df203a4b13dc6a34a76b6e64b07c48470c5c7ad0939d4,26df5ff3fef414602a192f301e4d001750b407c1c17d88771a5e03b14a0d7c72,008badae0f24d5f862ccba3e9fe0760100b9fa374d9eab8ac6464b4ba493f7a5,c78de814b920ec754b79fb0fd5518dafe2873306849fd234d056af665b9db26f,a5dc773c28573d71d13c41d7f8ed49d3c8b075aa9c0288a2dda09c5a5450d37a,c9a4df087c7f4f86d749e5a22d841588b2bbe35729976f4e7ee52a258fc1a726,6843e9604d8d949a28eb6ce9c50b4e4176b242a684be5e498118c337c83a460b,6321b4be733f5959314f58cbfea36ed1569d9ff4b7139268ae978075fea4a5da,e383ec23372e71c6d78a77aef28375aa02bef065fb05b7642d8202b9cd8a83c1,e9de84c891b9951c94af644df89aac3c16892818c447ced139b2daebdb502e46,45a27e035aee6e3cdf0b706ec0fe45bce7968c35009040bb357b5e97ef11b76b,01f1caccb03548562373b9dc09669aab3e8a2dedf78f1a59c450a721d9851cc9,b81f5d164c6b5a21549a1f64db1c7d926ed833e99c2e6839bf3dea8e411ae261,559a4cbfa643f08bd1c6bda1aa7208ad7daaaf2aaec4a5470a674427390d94b3,31a71c44b56374c585d8b0f9e35832a127a436724ea726590f364cb0f623b0ac,5dbd7ab96b56d519a56f2b0964177e6ffc83b5242144e47c00d3b30ed585d050
"0","0","0","0","0","0","10000","500","1","0","0","0","91002","0","0","0","1","8"
"0","0","0","0","0","0","10000","400","2","0","0","0","91002","0","0","0","2","8"
"0","0","0","0","0","0","10000","300","3","0","0","0","91002","0","0","0","3","8"
"0","0","0","0","0","0","10000","250","4","0","0","0","91002","0","0","0","4","8"
"0","0","0","0","0","0","10001","500","1","0","0","0","91002","0","0","0","5","8"
"0","0","0","0","0","0","10001","400","2","0","0","0","91002","0","0","0","6","8"
"0","0","0","0","0","0","10001","300","3","0","0","0","91002","0","0","0","7","8"
"0","0","0","0","0","0","10001","250","4","0","0","0","91002","0","0","0","8","8"
"0","0","0","0","0","0","10002","500","1","0","0","0","91002","0","0","0","9","8"
"0","0","0","0","0","0","10002","400","2","0","0","0","91002","0","0","0","10","8"
"0","0","0","0","0","0","10002","300","3","0","0","0","91002","0","0","0","11","8"
"0","0","0","0","0","0","10002","250","4","0","0","0","91002","0","0","0","12","8"
"0","0","0","0","0","0","10003","500","1","0","0","0","91002","0","0","0","13","8"
"0","0","0","0","0","0","10003","400","2","0","0","0","91002","0","0","0","14","8"
"0","0","0","0","0","0","10003","300","3","0","0","0","91002","0","0","0","15","8"
"0","0","0","0","0","0","10003","250","4","0","0","0","91002","0","0","0","16","8"
"0","0","0","0","0","0","10004","500","1","0","0","0","91002","0","0","0","17","8"
"0","0","0","0","0","0","10004","400","2","0","0","0","91002","0","0","0","18","8"
"0","0","0","0","0","0","10004","300","3","0","0","0","91002","0","0","0","19","8"
"0","0","0","0","0","0","10004","250","4","0","0","0","91002","0","0","0","20","8"
"0","0","0","0","0","0","10005","500","1","0","0","0","91002","0","0","0","21","8"
"0","0","0","0","0","0","10005","400","2","0","0","0","91002","0","0","0","22","8"
"0","0","0","0","0","0","10005","300","3","0","0","0","91002","0","0","0","23","8"
"0","0","0","0","0","0","10005","250","4","0","0","0","91002","0","0","0","24","8"
"0","0","0","0","0","0","10006","500","1","0","0","0","91002","0","0","0","25","8"
"0","0","0","0","0","0","10006","400","2","0","0","0","91002","0","0","0","26","8"
"0","0","0","0","0","0","10006","300","3","0","0","0","91002","0","0","0","27","8"
"0","0","0","0","0","0","10006","250","4","0","0","0","91002","0","0","0","28","8"
"0","0","0","0","0","0","10007","500","1","0","0","0","91002","0","0","0","29","8"
"0","0","0","0","0","0","10007","400","2","0","0","0","91002","0","0","0","30","8"
"0","0","0","0","0","0","10007","300","3","0","0","0","91002","0","0","0","31","8"
"0","0","0","0","0","0","10007","250","4","0","0","0","91002","0","0","0","32","8"
"0","0","0","0","0","0","10008","500","1","0","0","0","91002","0","0","0","33","8"
"0","0","0","0","0","0","10008","400","2","0","0","0","91002","0","0","0","34","8"
"0","0","0","0","0","0","10008","300","3","0","0","0","91002","0","0","0","35","8"
"0","0","0","0","0","0","10008","250","4","0","0","0","91002","0","0","0","36","8"
"0","0","0","0","0","0","10009","500","1","0","0","0","91002","0","0","0","37","8"
"0","0","0","0","0","0","10009","400","2","0","0","0","91002","0","0","0","38","8"
"0","0","0","0","0","0","10009","300","3","0","0","0","91002","0","0","0","39","8"
"0","0","0","0","0","0","10009","250","4","0","0","0","91002","0","0","0","40","8"
