2639937af946f6159504195b49e99bc070a812c6ab8f25355d79aba8ed08844d,f23e856091f3aed9d5d442827d3bedeaaaa2f52b4a54588190fe85e5724b0f4b,0d5419df41728c9afd75dff9939bc4b816cffc31bc8c7622fcec89badabf3d8e,f2c4e4c7f7f1f281675ac0eec0c06f8005992bba0f78f29c1da00c9090bdce7a,492c30afb50dae763b58b7d0d286b4e67efbd4ee61431e72e9108f0696bbb4f8,4dd488d945766557d227842fd964415c5ec035bf8fd6586f67e229febfe18de4,50f8940b809b18186b608bad711098318ee3694be3b82f71ad738ff18c7a4fa6,858488938fc83ad81487a601745197eb1cf5c093de0660be051ed8f8885d1c13,e7c9becc03cfd49285a5001e052feedd753dc8e74b97535da3d5fa575796f095,46e84ca189626450f38e50802fae710d0602438a35cfa99086f076541c863a31,c95f0ab416830f9d5e3fd971440d5856816263a31e074f768abc2690c3f642c3,e5e5b00a19d00733651d28d73ec5ae24148a4b4eebd59270cbe7e3ca356254c7,a72b66a3e1888e70d203dbb3def165476d82673b278f2a6132a1294488794087,e5bfd153f2256c4efb9a8a2a519f3371c2bd0c2c607c177cd5953c588e74f238,7035efc31db2a393d0b6d216db5ddbd06c38f58fdcf385828bba492d0b49c73a
"1st Round Clear！","3200101","32001001","0","603","1004110","0","1","2030/04/01 14:59:59","登頂1次特殊地下城","80001","1","32001","0","2015/04/01 15:00:00"
"2nd Round Clear！","3200102","32001002","0","603","1004110","0","2","2030/04/01 14:59:59","登頂2次特殊地下城","80001","1","32001","0","2015/04/01 15:00:00"
"3rd Round Clear！","3200103","32001003","0","603","1004110","0","3","2030/04/01 14:59:59","登頂3次特殊地下城","80001","1","32001","0","2015/04/01 15:00:00"
"4th Round Clear！","3200104","32001004","0","603","1004110","0","4","2030/04/01 14:59:59","登頂4次特殊地下城","80001","1","32001","0","2015/04/01 15:00:00"
"CONQUEST！","3200105","32001005","0","603","1004110","0","5","2030/04/01 14:59:59","登頂5次特殊地下城","80001","1","32001","0","2015/04/01 15:00:00"
"1st Round Clear！","3200201","32001001","0","603","1004110","0","1","2030/04/01 14:59:59","登頂1次特殊地下城","80001","1","32002","0","2015/04/01 15:00:00"
"2nd Round Clear！","3200202","32001002","0","603","1004110","0","2","2030/04/01 14:59:59","登頂2次特殊地下城","80001","1","32002","0","2015/04/01 15:00:00"
"3rd Round Clear！","3200203","32001003","0","603","1004110","0","3","2030/04/01 14:59:59","登頂3次特殊地下城","80001","1","32002","0","2015/04/01 15:00:00"
"4th Round Clear！","3200204","32001004","0","603","1004110","0","4","2030/04/01 14:59:59","登頂4次特殊地下城","80001","1","32002","0","2015/04/01 15:00:00"
"CONQUEST！","3200205","32001005","0","603","1004110","0","5","2030/04/01 14:59:59","登頂5次特殊地下城","80001","1","32002","0","2015/04/01 15:00:00"
