2b11b03a4602d596098ccd80db66e6f6015517fa7fe7f73e96c0b728ab72c0b7,c7bb80955115efa66e03224bae560ed2c52c6c294ee0b3dc6f9d6b35a2ef9071,f8df180c87ada50bf00edd4bff7be8c0cf6ad88129a98b3ff5cc43a3e92e0cc3,4242fb991fa4edb97f37b761354aa8743683ed655fc4adba77dd853323080b13,1b5cc2aae6fab285342796a293812d932e2a3bcac008451fe3ef3888bea90365
"8","100","1","30109001","91002"
"2","10","2","30109001","20002"
"8","100","3","30109002","91002"
"12","40000","4","30109002","94002"
"8","300","5","30109003","91002"
"8","500","6","30109004","91002"
"8","500","7","30109005","91002"
"12","1000000","8","30109005","94002"
"8","500","9","30109006","91002"
"12","500000","10","30109006","94002"
"8","600","11","30110001","91002"
"12","200000","12","30110006","94002"
