b0e2022812b56e417752f5f7b83553642d9a8c415149cf87bb2fcd51033f2cec,d0d49e8351eab9eaa5f65353d0648d2e8197d1e41a13e03d9a92822ebc38aa2c,d1992dbad9c7e7479ee8f96f9b874ff8bcd418393109705e28ac5d555ba80dd1,011b1e73b1f9d4c24d6a029649d4b7b3584d8af13f8b3fe43b5cb300d1173839,2435531dacc73f9bf8c576fad71f4328d9d003f4880b43c4d0d0fcd43d348021
"32000101","2","25011","320001011","1000"
"32000101","2","25012","320001012","1000"
"32000102","2","25013","320001021","1000"
"32000102","2","25014","320001022","1000"
"32000103","8","91002","320001031","1000"
"32000103","12","94002","320001032","3000000"
"32000103","2","25015","320001033","1000"
"32000103","2","25021","320001034","1000"
"32000104","2","25013","320001041","1000"
"32000104","2","25014","320001042","1000"
"32000105","2","25012","320001051","1000"
"32000105","2","25015","320001052","1000"
"32000106","8","91002","320001061","1000"
"32000106","12","94002","320001062","3000000"
"32000106","2","25011","320001063","1000"
"32000106","2","25021","320001064","1000"
"32000107","2","25014","320001071","1000"
"32000107","2","25015","320001072","1000"
"32000108","2","25011","320001081","1000"
"32000108","2","25013","320001082","1000"
"32000109","8","91002","320001091","1000"
"32000109","12","94002","320001092","3000000"
"32000109","2","25012","320001093","1000"
"32000109","2","25021","320001094","1000"
"32000110","2","25011","320001101","3000"
"32000110","2","25012","320001102","3000"
"32000110","2","25013","320001103","3000"
"32000110","2","25014","320001104","3000"
"32000110","2","25015","320001105","3000"
"32000111","2","25011","320001111","3000"
"32000111","2","25012","320001112","3000"
"32000111","2","25013","320001113","3000"
"32000111","2","25014","320001114","3000"
"32000111","2","25015","320001115","3000"
"32000112","2","25011","320001121","3000"
"32000112","2","25012","320001122","3000"
"32000112","2","25013","320001123","3000"
"32000112","2","25014","320001124","3000"
"32000112","2","25015","320001125","3000"
"32000113","2","21953","320001131","1"
"32000113","2","25021","320001132","2000"
