6eb9f7ae3fa93169e6c8c3d08c794f71f6d2c5e333a58525aa9216db7c4b448b,a056822cec66b79b2a8f2131ac10285b5d3db2935b96dbfd624d1e4ea0de5d25,717800f311c13556ac8f9a7c5962e86e0418728a4eed9ea9ff8828f41fe76a88,13d50c23411ee8dad78717369fcacb18a9c2c8a68494675c3a11baac27ccebff,1b0e0d53714a3ff54d77b8f601bc1900539018ce71766698de47724110a73677
"1","0","1","3030100","0"
"1","0","2","3050100","0"
"1","0","3","3040100","0"
"1","0","4","3020100","0"
"1","0","5","2040100","0"
"2","0","5","2040100","0"
"1","0","6","2020100","0"
"2","0","6","2020100","0"
"1","314","7","1030100","0"
"1","0","8","4030100","0"
"1","502","9","1050100","0"
"1","0","10","4020100","0"
"1","0","11","2030100","0"
"2","0","11","2030100","0"
"1","0","12","3040100","10301010"
"1","202","13","1020100","0"
"1","406","14","1040102","20201010"
"1","105","15","1010200","0"
"2","0","15","2010200","0"
"3","0","15","2010200","0"
"1","0","16","3050200","0"
"1","0","17","3040200","0"
"1","0","18","3020200","0"
"1","0","19","2040200","0"
"2","0","19","2040200","0"
"1","0","20","2020200","0"
"2","0","20","2020200","0"
"1","315","21","1030200","0"
"1","205","22","1020200","0"
"1","509","23","1050200","0"
"1","0","24","4020200","0"
"1","0","25","2030200","0"
"2","0","25","2030200","0"
"1","0","26","4030200","0"
"1","0","27","3020200","10101020"
"1","408","28","1040200","20201020"
"1","0","29","3040200","10101020"
"1","0","30","3010200","10101020"
"1","102","31","1010300","0"
"2","0","31","2010300","0"
"3","0","31","2010300","0"
"1","0","32","3050300","0"
"1","0","33","3040300","0"
"1","0","34","3020300","0"
"1","0","35","2040300","0"
"2","0","35","2040300","0"
"1","0","36","2020300","0"
"2","0","36","2020300","0"
"1","306","37","1030300","0"
"1","206","38","1020300","0"
"1","502","39","1050300","0"
"1","0","40","4020300","0"
"1","0","41","2030300","0"
"2","0","41","2030300","0"
"1","0","42","4030300","0"
"1","0","43","3020300","10101030"
"1","406","44","1040300","20201030"
"1","0","45","3010300","10101050"
"1","0","46","3040300","10101050"
"1","0","47","3030300","10101050"
"1","0","48","3010300","10101050"
"1","0","49","3020300","10101050"
"1","112","50","1010300","30102050"
