776bdfb531d91b550c8643b4c83740424e2c153f9e95332b5b80ec45a71d8ca5,7e56eae9fa32c4d861fafec34c71c3f5278eccd58b7257a67366f429d1dbeb55,fadc9f7bbddd16d9475ba3bb9067f4ba928b1a564647550ff4eaeb0b4b37fe98,93d5405fa13e589d0e7d2ed0bd6a2f94195181e8ac6663c8d13b82b058a048fb,86edc2488176247540079bd2123077a7de5f1231999bcbe6a9128e805d705acc,86f2621b844d9877b1fa4a87ff8f4f36db20c03433b23ab206ccf4e5113dfffe,8b92df376d12723aa4a80b0702074103173780a225ed5b62bc994896e2769e3f,1c5dbf76dc89cc8c874411f7209fb17832de9375c3e67c24e8071163a0547fff,5283d9b86e6f702125e262561cd5cc0712a79c3a975ff0108634242a3f465dc1,f80a786e2d0196ab02e1708a53a1c0bfff2224dce06dc77eef92cea5fad3847e,f9de2f15317327c7c9e0a9a88eb85e5e84336c4225136895b8a64709e48e6799,a0f81b4a0d88948f68f422f1d3ec4b7edfad81428b749d49eec9c533bef25a6f
"200","0","201","110111","0","1","0","0","4","0","0","110111"
"200","0","201","110121","0","1","0","0","4","0","0","110121"
"200","0","201","110211","0","1","0","0","4","0","0","110211"
"200","0","201","110221","0","1","0","0","4","0","0","110221"
"200","0","201","110311","0","1","0","0","4","0","0","110311"
"200","0","201","110321","0","1","0","0","4","0","0","110321"
"200","0","201","110411","0","1","0","0","4","0","0","110411"
"200","0","201","110421","0","1","0","0","4","0","0","110421"
"200","0","411","110511","0","1","0","0","6","0","0","110511"
"300","0","421","110521","0","1","0","0","6","0","0","110521"
"0","0","711","110711","0","0","0","0","3","0","0","110711"
"0","0","712","110712","0","0","0","0","3","0","0","110712"
"0","0","721","110721","0","0","0","0","4","0","0","110721"
"0","0","722","110722","0","0","0","0","4","0","0","110722"
"0","0","731","110731","0","0","0","0","1","0","0","1500"
"0","0","732","110732","0","0","0","0","1","0","0","2000"
"0","0","821","110811","0","0","0","0","3","0","0","110811"
"0","0","823","110812","0","0","0","0","4","0","0","110812"
"0","0","822","110813","0","0","0","0","3","0","0","110813"
"0","0","811","110821","0","0","0","0","1","0","0","1000"
"300","0","411","110911","0","1","0","0","6","0","0","110911"
"450","0","421","110921","0","1","0","0","6","0","0","110921"
"0","0","311","111011","0","0","0","0","1","0","0","3000"
"0","0","312","111012","0","0","0","0","1","0","0","1000"
"0","0","321","111021","0","0","0","0","1","0","0","3000"
"0","0","322","111022","0","0","0","0","1","0","0","1000"
"0","0","331","111031","0","0","0","0","1","0","0","3000"
"0","0","332","111032","0","0","0","0","1","0","0","1000"
"0","0","1011","111111","0","0","0","0","1","0","0","2000"
"0","0","1023","111121","0","0","0","0","3","0","0","111121"
"0","0","1022","111122","0","0","0","0","3","0","0","111122"
"0","0","1021","111123","0","0","0","0","3","0","0","111123"
"0","0","1111","111211","0","0","0","0","1","0","0","2000"
"111221","0","1121","111221","0","4","0","0","4","0","0","111220"
"111222","0","1122","111222","0","4","0","0","4","0","0","111220"
"111223","0","1123","111223","0","4","0","0","4","0","0","111220"
"400","0","411","111311","0","1","0","0","6","0","0","111311"
"600","0","421","111321","0","1","0","0","6","0","0","111321"
"500","0","411","111711","0","1","0","0","6","0","0","111711"
"750","0","421","111721","0","1","0","0","6","0","0","111721"
"131411","0","511","131411","0","7","0","0","3","0","0","131411"
"0","0","513","131412","0","0","0","0","1","0","0","500"
"0","0","911","131511","0","0","0","0","7","0","0","131511"
"0","0","912","131512","0","0","0","0","1","0","0","500"
"131611","0","611","131611","0","7","0","0","1","0","0","2000"
"0","0","612","131612","0","0","0","0","1","0","0","500"
"231411","0","512","231411","0","7","0","0","3","0","0","231411"
"0","0","513","231412","0","0","0","0","1","0","0","500"
"0","0","921","231511","0","0","0","0","7","0","0","231511"
"0","0","922","231512","0","0","0","0","1","0","0","500"
"0","0","0","231521","0","0","0","0","4","0","0","231521"
"231611","0","621","231611","0","7","0","0","1","0","0","4000"
"0","0","622","231612","0","0","0","0","1","0","0","500"
"0","0","0","231621","0","0","0","0","8","0","0","0"
"0","0","514","331411","0","0","0","0","3","0","0","331411"
"0","0","513","331412","0","0","0","0","1","0","0","500"
"0","0","931","331511","0","0","0","0","4","0","0","331511"
"0","0","932","331512","0","0","0","0","1","0","0","500"
"0","0","0","331521","0","0","0","0","4","0","0","331521"
"0","0","631","331611","0","0","0","0","1","0","0","8000"
"0","0","632","331612","0","0","0","0","1","0","0","500"
"0","0","0","331621","0","0","0","0","8","0","0","0"
