5843a6e02c8655d67028ffb71d1148ec0c59097ef1dd988cd006af710878a2b5,51fa8a651537bd8b5880b6499e5f9a25db8023e69290e7f544d1fcff833d4974,0f6b057f70512a7ec84117459281592735e858720cf97b8ec9001bba652488a5,798e8b7cab201d24809d434b7fc13a34823480e42805ebfae591fc9b892732fb,f2b33ab39d8fd7fafbe05e847ea692d114598d7ff5ac7d3c4ca717d8d4b95263,8862fe3a7844429dcd4459835e46b23cb13a1324b49a1713198f7f6800ed1120,55dbd5ffb4a883b6a53f9701f2d605960bc81c4b0733aabedbbde9f460a2bcde,35d716547e3aeb77607a83430bff44005e25cbb92b7bb39d12d8a388990f4754,c5664ab20ae3ce7e8e2acb4967f68fbc25fa4023b6b858dba06d131606089016,41d39eb40e20458b1b4d01f326c90600cbba0131cdff2bad07a2970bb25c48fc
"vo_minigame_1013_icon_2_002_001","2","狀態逐漸\n變好了呢。","vo_minigame_1013_icon_1_002_001","2","1000","1","2","訓練現在\n才要開始。","3000"
"vo_minigame_1013_icon_2_003_001","2","喂喂，\n還能繼續的吧？","vo_minigame_1013_icon_1_003_001","2","5000","2","2","嘻嘻，局勢\n發展得不錯。","3000"
"vo_minigame_1013_icon_2_004_001","2","嘿嘿，你們\n挺行的嘛！","vo_minigame_1013_icon_1_004_001","2","10000","3","3","這是出色的\n紀錄。","3000"
"vo_minigame_1013_icon_2_005_001","3","我們還不能\n止步於此！","vo_minigame_1013_icon_1_005_001","2","10000","4","3","現在狀態\n絕佳呢。","3000"
"vo_minigame_1013_icon_2_005_002","3","看著吧！\n真琴班過關斬將！","vo_minigame_1013_icon_1_005_002","2","10000","5","3","還能繼續前進。\n給我跟上。","3000"
"vo_minigame_1013_icon_2_005_003","3","唔哦哦哦！\n狀態絕佳！","vo_minigame_1013_icon_1_005_003","2","10000","6","3","惠理子班\n發揮真本事！","3000"
"vo_minigame_1013_icon_2_006_001","4","能前進到什麼地方\n真讓人期待！","vo_minigame_1013_icon_1_006_001","2","0","7","3","接下來是\n前無古人的領域！","3000"
"vo_minigame_1013_icon_2_007_001","5","還不能放棄。","vo_minigame_1013_icon_1_007_001","3","1","8","4","真是棘手……","1000"
"vo_minigame_1013_icon_2_007_002","5","捏了把冷汗啊……！","vo_minigame_1013_icon_1_007_002","3","1","9","4","不可輕敵。","1000"
"vo_minigame_1013_icon_2_007_003","5","不准說喪氣話。","vo_minigame_1013_icon_1_007_003","3","1","10","4","真是可恨……","1000"
"vo_minigame_1013_icon_2_008_001","6","真琴班集合！","vo_minigame_1013_icon_1_008_001","4","99","11","3","人多勢眾呢。","1500"
"vo_minigame_1013_icon_2_008_002","6","齊心協力上吧！","vo_minigame_1013_icon_1_008_002","4","99","12","3","歡迎來到惠理子班。","1500"
"vo_minigame_1013_icon_2_020_001","8","賦予大家力量！","vo_minigame_1013_icon_1_020_001","1","0","13","6","儘管包在\n小七七香身上。","3000"
"vo_minigame_1013_icon_2_022_001","9","包在我身上。","vo_minigame_1013_icon_1_022_001","1","0","14","7","哈哈哈！\n交給我吧！","3000"
"vo_minigame_1013_icon_2_023_001","10","好哪，繼續前進吧。","vo_minigame_1013_icon_1_023_001","1","0","15","8","繼續前進囉。","3000"
