d38a0f68c133f6877da75ccd4f1fdc40c47ea86d680853aab8dff23485cf5251,07a2c88d1325333c8e87268e923be7e8981fcfefe0081d2363807f33829cc7b6,281a843dd8892ea183f00e0cca221962b5ceb5b923c481347e7b3b9340b1964c,4e93eed8f7707942467aa67e13871f1e065e46b5b99eb3aa9497e8ceb8aa0c03,acb97f5ad64de7c3a008cf5f91022f28e72626af3a2981ec1a4c4b7b1764da93,37c965aa618cdd3e37fe0c84d1c4cf2a71bd835a1efdb27bea3001b6303f459a,00c751daf60d61b9655cab071072b6c5a35287ff9cd1b343d937a7420d2af1cd,378588a29244c4bd0c29ace489f94ef38c04b5ebddccd643ed53d429cb217420,0e28ec0e60e3e3c75169d4525393bc757a04efd19a27a53d839d4bd08dc1c43b,1c0173c432b480493cca18ddca46ccba5d174ff3be282aba2c728fed914a4b78,bd11a746951f6533770a5c921a5316d909b50b7afcc7a2003add7e7fd99d851d
"10011105","0","1001","1","0","10011","0","pt","2","0","1"
"10015103","1","1002","2","0","10015","0","m","2","0","1"
"10021108","0","1003","3","0","10021","0","pt","2","5021700","1"
"5027007","0","1004","4","0","10027","0","pt","3","5027700","1"
"10040105","0","1005","5","0","10040","0","pt","2","5040700","1"
"5046006","0","1006","6","5046006","10046","1","pt","1","0","1"
"5072006","0","1007","7","5072006","10072","3","pt","3","0","1"
"5080007","0","1008","8","5080000","10080","3","pt","3","5080700","0"
"0","0","1009","9","0","0","0","pt","0","9004201","0"
"5096007","0","1010","10","5096007","10096","3","pt","1","5096700","1"
"10126107","0","1012","11","5126000","10126","3","pt","2","0","1"
"5142007","0","1013","12","5142000","10142","1","pt","3","5142700","1"
"5156007","0","1014","13","5156000","10156","1","pt","3","5156700","1"
