1c7ec2653c6da736931577e6e565260a5f2dc13ebdb35f9f5c9d62f50cb9932e,a8486abfdad81304e8b51ca708da4b582e969a45ee466736925ff2ea49526de2,c304075b30bb6c3ae9c7803778a7cc6ee1b3ddff1cfd6c708daa675024f0d348,dde4a5f581a26cbfb508e554ac24dd3331235c7541ba31f9bb4c4cd0d9608355,8b6d12a6b986e8d5839fec815ae2294c49d7d3d297aee7504b5b799568b73e50,f292c477d6e2c521683a6aa3e7dded52d90a69cb2b2b6dd4f0831865b6a4a049,25f6d600127ad39de6c104bc73ab5a7aba3fc7f196398819bdc019af54bd47a1,fc83a19f4484d83dcb47b32b5a9c12c86d355091b0c35f6ce5666f10cd9eb4e3,a2aab5db2a8dfb17b0d213cd1a71b9001cfd757df33dd447293ede849955822f,56b7c49fb0be19d1015cafb137e4936f7971d9d70297172b3745b4021b2b0c64,16efad82f403d943ea71c0f3509e06085b9e15e154025fa143cc1e46a7222c94,13aafedc48aa6b0f6ea79cb74fa7c405e3059c37399eef44c59630d876e31c13,dc3cf1d6b14b1f2f55f488d1c8514486b01a678aa650a73daef61dfb19bf24b3,5fe6ed3c91a2de093473e581f1dd0e86f41c29d7edb379b4e57867888aae3e04,3c6624d4ae220af0a62c0a37d89c43a8701a4187f6b6ee447913f863c12f6618,c527298aa65311dea6b373175d92af35cdf20e95a6484cb76ff25aee2863a7d7,8d4220da58b6a9ddfaf94e4185567015624e9b4404dfa208e1ddb074c9560a8d,b63c18b5c2d61048159ac5814a3733dcd78abcd83ddc66fec7b46e0827496739
"0","0","0","5000","20000","0","0","0","94002","0","0","0","0","分數累積獲得 20000 分","12","1","0","0"
"0","0","0","10000","40000","0","0","0","94002","0","0","0","0","分數累積獲得 40000 分","12","2","0","0"
"0","0","0","15000","60000","0","0","0","94002","0","0","0","0","分數累積獲得 60000 分","12","3","0","0"
"0","0","0","20000","80000","0","0","0","94002","0","0","0","0","分數累積獲得 80000 分","12","4","0","0"
"0","0","5","50","100000","23001","0","0","91002","0","2","0","0","分數累積獲得 100000 分","8","5","0","0"
"0","0","0","25000","120000","0","0","0","94002","0","0","0","0","分數累積獲得 120000 分","12","6","0","0"
"0","0","0","30000","140000","0","0","0","94002","0","0","0","0","分數累積獲得 140000 分","12","7","0","0"
"0","0","0","35000","160000","0","0","0","94002","0","0","0","0","分數累積獲得 160000 分","12","8","0","0"
"0","0","0","40000","180000","0","0","0","94002","0","0","0","0","分數累積獲得 180000 分","12","9","0","0"
"0","0","5","50","200000","23001","0","0","91002","0","2","0","0","分數累積獲得 200000 分","8","10","0","0"
"0","0","0","55000","220000","0","0","0","94002","0","0","0","0","分數累積獲得 220000 分","12","11","0","0"
"0","0","0","35000","240000","0","0","0","94002","0","0","0","0","分數累積獲得 240000 分","12","12","0","0"
"0","0","0","40000","260000","0","0","0","94002","0","0","0","0","分數累積獲得 260000 分","12","13","0","0"
"0","0","0","45000","280000","0","0","0","94002","0","0","0","0","分數累積獲得 280000 分","12","14","0","0"
"0","0","150","1","300000","91002","0","2","11001021","0","8","10","23001","分數累積獲得 300000 分","15","15","0","0"
