4805e0eafbb33939c4006e87b18393b0d3b0eae8b2b6d3299b7c6a1f9584921e,32cb2386956e8298d9dd651f7c86364428f1a8514f38faa485654606ec67fd7b,881c2555763abcc3560ad5addf94b1f19b49203ed2f321601993057a42610a59,50bbea0d8ade3f0efadc5792fb56c973c48994bd8baf3a4c66b68fba62af83ca
"1","1","170","1000"
"1","2","175","3000"
"1","3","180","5000"
"1","4","185","7000"
"1","5","190","9000"
"1","6","195","11000"
"1","7","200","13000"
"1","8","205","15000"
"1","9","210","17000"
"1","10","215","19000"
"1","11","220","21000"
"1","12","225","23000"
"1","13","230","25000"
"1","14","232","27000"
"1","15","234","29000"
"1","16","236","31000"
"1","17","238","33000"
"1","18","240","35000"
"1","19","242","37000"
"1","20","244","39000"
"1","21","246","41000"
"1","22","248","43000"
"1","23","250","9999999"
"2","24","170","1000"
"2","25","175","3000"
"2","26","180","5000"
"2","27","185","7000"
"2","28","190","9000"
"2","29","195","11000"
"2","30","200","13000"
"2","31","205","15000"
"2","32","210","17000"
"2","33","215","19000"
"2","34","220","21000"
"2","35","225","23000"
"2","36","230","25000"
"2","37","232","27000"
"2","38","234","29000"
"2","39","236","31000"
"2","40","238","33000"
"2","41","240","35000"
"2","42","242","37000"
"2","43","244","39000"
"2","44","246","41000"
"2","45","248","43000"
"2","46","250","9999999"
"3","47","170","1000"
"3","48","175","3000"
"3","49","180","5000"
"3","50","185","7000"
"3","51","190","9000"
"3","52","195","11000"
"3","53","200","13000"
"3","54","205","15000"
"3","55","210","17000"
"3","56","215","19000"
"3","57","220","21000"
"3","58","225","23000"
"3","59","230","25000"
"3","60","232","27000"
"3","61","234","29000"
"3","62","236","31000"
"3","63","238","33000"
"3","64","240","35000"
"3","65","242","37000"
"3","66","244","39000"
"3","67","246","41000"
"3","68","248","43000"
"3","69","250","9999999"
