6a038c82fc62b08d89964ff9dd869c0554fd154392c28f5f93f5bb9fcca36cb3,8a1bd6771df4304b4ec1d69f7b68187e83a403bfcc9aa6f0cb42449b7cf12898,810ccdb2e42a376555c8ebc515ccf90a29e733e9d585d7affd76fb9336af3158,5eeb1420d7e5fe02b4ff02fb4a817a414bb46c93ff7849464ba6113a0d7ab22e
"0","1","11","1"
"0","1","12","1"
"11002002","1","13","1"
"11003005","1","14","1"
"11002012","1","15","1"
"0","2","16","1"
"0","0","201","201"
"0","0","203","2000"
"0","0","204","2000"
"0","0","205","2000"
"0","0","206","206"
"0","0","207","207"
"0","0","301","301"
